STCODE,STNAME,DIST,DISTNAME,YEAR,RICE_TA,RICE_TQ,WHT_TA,WHT_TQ,SORG_KA,SORG_KQ,SORG_RA,SORG_RQ,SORG_TA,SORG_TQ,PMLT_TA,PMLT_TQ,MAIZ_TA,MAIZ_TQ,FMLT_TA,FMLT_TQ,BRLY_TA,BRLY_TQ,CERL_TA,CERL_TQ,CPEA_TA,CPEA_TQ,PPEA_TA,PPEA_TQ,MPUL_TA,PULS_TA,PULS_TQ,GNUT_TA,GNUT_TQ,SESA_TA,SESA_TQ,RM_TA,RM_TQ,SAFF_TA,SAFF_TQ,CAST_TA,CAST_TQ,LINS_TA,LINS_TQ,SUNF_TA,SUNF_TQ,SOYA_TA,SOYA_TQ,OILS_TA,OILS_TQ,SCAN_TA,SGUR_TQ,COTN_TA,COTN_TQ,FRUT_TA,VEGT_TA,TFV_TA,POTA_TA,ONIO_TA
1,Andhra Pradesh,44,Srikakulum,1966,279.00,226.00,0.00,0.00,3.40,1.70,3.50,1.70,6.90,3.40,11.00,8.00,1.00,1.00,46.00,38.00,0.00,0.00,355.66,276.26,0.10,0.00,2.00,1.00,51.32,53.42,8.95,56.00,73.00,12.10,2.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.31,75.30,5.90,37.10,0.00,0.00,13.53,2.48,16.01,0.00,0.40
1,Andhra Pradesh,44,Srikakulum,1967,277.00,193.00,0.00,0.00,2.50,1.20,0.60,0.30,3.10,1.50,13.00,12.00,0.20,0.30,42.00,46.00,0.00,0.00,343.32,254.67,0.00,0.00,2.00,1.00,39.72,41.72,8.87,67.00,58.00,8.30,2.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.90,59.99,5.80,33.80,0.00,0.00,13.25,3.12,16.37,0.00,0.40
1,Andhra Pradesh,44,Srikakulum,1968,305.30,172.00,0.00,0.00,3.90,1.40,5.20,2.60,9.10,4.00,13.40,9.00,0.20,0.10,44.40,42.00,0.00,0.00,300.53,229.45,0.10,0.00,1.60,1.00,51.33,53.03,10.67,69.90,67.00,7.30,1.30,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.26,68.30,8.90,63.20,0.00,0.00,14.14,3.04,17.18,0.00,0.45
1,Andhra Pradesh,44,Srikakulum,1969,266.30,229.70,0.00,0.00,3.00,1.40,4.10,1.60,7.10,3.00,12.70,12.40,0.40,0.50,43.10,41.00,0.00,0.00,339.59,289.91,0.10,0.00,1.60,0.40,58.55,60.25,9.28,66.20,74.40,8.70,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.11,76.90,10.80,67.90,0.00,0.00,12.58,2.56,15.14,0.01,0.26
1,Andhra Pradesh,44,Srikakulam,1970,281.10,297.90,0.00,0.00,2.70,0.90,3.10,1.10,5.80,2.00,11.90,8.00,0.30,0.40,38.20,28.90,0.00,0.00,347.87,341.48,0.10,0.10,1.60,0.60,48.67,50.37,19.33,68.20,83.70,8.50,3.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.75,86.70,7.90,51.80,0.00,0.00,14.61,2.69,17.30,0.00,0.33
1,Andhra Pradesh,44,Srikakulam,1971,267.00,382.80,0.00,0.00,2.70,1.30,3.10,1.50,5.80,2.80,11.90,9.30,0.20,0.20,43.40,47.20,0.00,0.00,336.39,444.29,0.10,0.00,1.60,0.30,45.93,47.63,17.87,67.40,80.30,8.00,1.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.54,81.60,5.80,53.60,0.00,0.00,14.58,2.39,16.97,0.00,0.16
1,Andhra Pradesh,44,Srikakulam,1972,259.90,290.70,0.00,0.00,2.00,0.70,3.40,1.50,5.40,2.20,10.70,8.60,0.20,0.20,33.40,34.10,0.00,0.00,317.46,338.73,0.10,0.00,1.40,0.30,42.54,44.04,12.48,65.80,59.40,6.70,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.79,60.20,5.90,44.60,0.00,0.00,14.75,2.47,17.22,0.00,0.25
1,Andhra Pradesh,44,Srikakulam,1973,263.40,316.70,0.00,0.00,3.20,1.20,3.50,2.00,6.70,3.20,10.50,11.30,0.20,0.30,35.30,35.50,0.00,0.00,324.81,370.24,0.00,0.00,1.10,0.20,42.54,43.64,11.21,69.70,89.80,6.20,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.41,90.80,7.30,58.70,0.00,0.00,14.72,2.60,17.32,0.00,0.39
1,Andhra Pradesh,44,Srikakulam,1974,214.20,152.50,0.00,0.00,3.10,1.40,5.40,4.00,8.50,5.40,10.30,10.10,0.20,0.30,36.20,41.70,0.00,0.00,278.88,212.94,0.00,0.00,1.20,0.20,45.06,46.26,9.62,79.70,85.70,10.80,1.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.99,87.20,9.50,83.00,0.00,0.00,14.96,2.92,17.88,0.01,0.34
1,Andhra Pradesh,44,Srikakulam,1975,270.20,351.60,0.10,0.10,2.00,0.60,5.00,2.90,7.00,3.50,13.60,10.10,0.20,0.20,44.70,52.30,0.00,0.00,349.35,422.94,0.10,0.00,1.80,0.40,56.55,58.45,12.76,63.40,34.60,9.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.33,36.00,9.80,66.70,0.00,0.00,14.38,3.10,17.48,0.02,0.42
1,Andhra Pradesh,44,Srikakulam,1976,272.20,220.70,0.00,0.00,2.00,0.90,4.70,3.10,6.70,4.00,14.40,11.30,0.20,0.20,46.90,52.90,0.00,0.00,352.65,292.12,0.40,0.10,2.20,0.40,48.12,50.72,17.68,41.40,24.30,10.70,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.30,26.10,9.50,71.50,0.00,0.00,13.90,3.23,17.12,0.00,0.31
1,Andhra Pradesh,44,Srikakulam,1977,263.20,226.40,0.00,0.00,1.90,1.20,4.20,2.90,6.10,4.10,12.50,13.90,0.50,0.70,43.40,49.70,0.00,0.00,335.55,299.06,0.40,0.20,1.90,0.30,48.28,50.58,20.43,42.70,34.30,12.40,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.32,36.40,11.60,88.00,0.00,0.00,13.40,3.03,16.43,0.00,0.30
1,Andhra Pradesh,44,Srikakulam,1978,274.00,289.10,0.00,0.00,1.80,1.20,2.50,1.80,4.30,3.00,14.00,14.20,0.20,0.20,42.70,49.80,0.00,0.00,347.60,363.14,0.50,0.20,1.50,0.40,47.60,49.60,16.96,35.60,26.30,7.70,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.35,27.20,10.10,62.10,0.00,0.00,13.26,3.29,16.55,0.00,0.47
1,Andhra Pradesh,44,Srikakulam,1979,267.00,263.00,0.00,0.00,1.80,1.40,4.00,2.70,5.80,4.10,14.00,11.00,0.20,0.10,35.70,32.30,0.00,0.00,328.41,395.23,0.60,0.30,1.40,0.40,50.94,52.94,13.80,45.20,46.60,7.60,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.81,47.50,7.10,52.00,0.00,0.00,14.71,3.79,18.50,0.00,0.56
1,Andhra Pradesh,44,Srikakulam,1980,276.00,386.00,0.00,0.00,1.40,0.40,4.20,2.40,5.60,2.80,15.00,16.00,0.20,0.20,34.70,35.30,0.00,0.00,338.45,442.72,0.40,0.10,1.80,0.40,57.05,59.25,30.27,57.50,40.80,8.20,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.23,41.90,8.30,62.10,0.00,0.00,17.10,3.59,20.69,0.00,0.64
1,Andhra Pradesh,44,Srikakulam,1981,273.00,393.00,0.00,0.00,0.80,0.60,4.00,2.70,4.80,3.30,14.00,18.00,0.20,0.60,34.90,39.40,0.00,0.00,332.77,457.39,0.40,0.20,1.90,0.90,50.29,52.59,19.62,65.50,60.40,7.70,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.43,61.40,8.60,66.50,0.00,0.00,17.26,3.36,20.62,0.00,0.67
1,Andhra Pradesh,44,Srikakulam,1982,259.50,404.10,0.00,0.00,0.50,0.20,2.60,1.80,3.10,2.00,13.10,14.60,0.30,0.70,26.80,29.70,0.00,0.00,309.48,450.87,0.50,0.40,1.80,0.50,54.50,56.80,23.75,69.90,59.90,7.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.74,60.70,8.80,55.30,0.00,0.00,17.62,3.49,21.11,0.02,0.63
1,Andhra Pradesh,44,Srikakulam,1983,274.80,523.70,0.00,0.00,1.90,0.90,3.70,2.70,5.60,3.60,14.10,14.30,0.30,0.90,30.90,37.00,0.00,0.00,332.71,581.23,0.50,0.30,1.90,1.10,53.66,56.06,21.09,73.30,82.90,7.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.69,83.70,8.50,52.90,0.00,0.00,18.19,2.83,21.01,0.02,0.80
