STCODE,STNAME,DIST,DISTNAME,YEAR,N_TC,P_TC,K_TC,NPK_TC
1,Andhra Pradesh,44,Srikakulam,1966,5360,1712,0,7072
1,Andhra Pradesh,44,Srikakulam,1967,3614,519,227,4360
1,Andhra Pradesh,44,Srikakulam,1968,3235,314,0,3549
1,Andhra Pradesh,44,Srikakulam,1969,4626,570,7,5203
1,Andhra Pradesh,44,Srikakulam,1970,5958,603,125,6686
1,Andhra Pradesh,44,Srikakulam,1971,5045,741,0,5786
1,Andhra Pradesh,44,Srikakulam,1972,5417,1265,49,6731
1,Andhra Pradesh,44,Srikakulam,1973,6245,1999,212,8456
1,Andhra Pradesh,44,Srikakulam,1974,6610,2448,487,9545
1,Andhra Pradesh,44,Srikakulam,1975,8628,1156,284,10068
1,Andhra Pradesh,44,Srikakulam,1976,8372,1653,200,10225
1,Andhra Pradesh,44,Srikakulam,1977,10421,1928,127,12476
1,Andhra Pradesh,44,Srikakulam,1978,10906,1570,74,12550
1,Andhra Pradesh,44,Srikakulam,1979,12889,1543,112,14544
1,Andhra Pradesh,44,Srikakulam,1980,13355,1348,210,14913
1,Andhra Pradesh,44,Srikakulam,1981,17585,2605,155,20345
1,Andhra Pradesh,44,Srikakulam,1982,20106,2087,116,22309
1,Andhra Pradesh,44,Srikakulam,1983,17371,3687,122,21180
1,Andhra Pradesh,44,Srikakulam,1984,19007,4930,172,24109
1,Andhra Pradesh,44,Srikakulam,1985,21322,6616,266,28204
1,Andhra Pradesh,44,Srikakulam,1986,25244,5962,191,31397
1,Andhra Pradesh,44,Srikakulam,1987,18065,4878,254,23197
1,Andhra Pradesh,44,Srikakulam,1988,32965,6501,814,40280
1,Andhra Pradesh,44,Srikakulam,1989,30844,9385,773,41002
1,Andhra Pradesh,44,Srikakulam,1990,31000,9303,1381,41684
1,Andhra Pradesh,44,Srikakulam,1991,36701,9102,2572,48375
1,Andhra Pradesh,44,Srikakulam,1992,37866,9379,1696,48941
1,Andhra Pradesh,44,Srikakulam,1993,43999,7221,1952,53172
1,Andhra Pradesh,44,Srikakulam,1994,39477,6928,2337,48742
1,Andhra Pradesh,44,Srikakulam,1995,39477,6928,2337,48742
1,Andhra Pradesh,44,Srikakulam,1996,37862,9599,1952,49413
1,Andhra Pradesh,44,Srikakulam,1997,33201,8039,3010,44249
1,Andhra Pradesh,44,Srikakulam,1998,40167,11016,3129,54311
1,Andhra Pradesh,44,Srikakulam,1999,40167,11016,3129,54311
1,Andhra Pradesh,44,Srikakulam,2000,40670,11736,4328,56733
1,Andhra Pradesh,44,Srikakulam,2001,36883,10766,4533,52182
1,Andhra Pradesh,44,Srikakulam,2002,31178,9885,3831,44893
1,Andhra Pradesh,44,Srikakulam,2003,37806,12193,5360,55358
1,Andhra Pradesh,44,Srikakulam,2004,39322,13032,5394,57747
1,Andhra Pradesh,44,Srikakulam,2005,39270,12284,5894,57448
1,Andhra Pradesh,44,Srikakulam,2006,44796,12886,7672,65354
1,Andhra Pradesh,44,Srikakulam,2007,42542,12845,8618,64004
1,Andhra Pradesh,44,Srikakulam,2008,45140,13899,13602,72641
1,Andhra Pradesh,44,Srikakulam,2009,45595,18654,13006,77254
1,Andhra Pradesh,44,Srikakulam,2010,49817,20425,13964,84205
1,Andhra Pradesh,44,Srikakulam,2011,55459,22257,6866,84582
1,Andhra Pradesh,45,Visakhapatnam,1966,3226,1431,0,4657
1,Andhra Pradesh,45,Visakhapatnam,1967,2900,686,341,3927
1,Andhra Pradesh,45,Visakhapatnam,1968,3068,474,0,3542
