STCODE,STNAME,DIST,DISTNAME,YEAR,N_TP,P_TP,K_TP
1,Andhra Pradesh,44,Srikakulam,1966,1511,1461,508
1,Andhra Pradesh,44,Srikakulam,1967,1578,1844,655
1,Andhra Pradesh,44,Srikakulam,1968,1911,1948,718
1,Andhra Pradesh,44,Srikakulam,1969,2096,2795,833
1,Andhra Pradesh,44,Srikakulam,1970,2053,3114,877
1,Andhra Pradesh,44,Srikakulam,1971,2010,3210,890
1,Andhra Pradesh,44,Srikakulam,1972,2080,3170,920
1,Andhra Pradesh,44,Srikakulam,1973,2280,3270,1130
1,Andhra Pradesh,44,Srikakulam,1974,4350,5630,2050
1,Andhra Pradesh,44,Srikakulam,1975,4020,6315,1900
1,Andhra Pradesh,44,Srikakulam,1976,3800,4510,1520
1,Andhra Pradesh,44,Srikakulam,1977,3480,3570,1340
1,Andhra Pradesh,44,Srikakulam,1978,3395,3699,1340
1,Andhra Pradesh,44,Srikakulam,1979,3150,4070,1340
1,Andhra Pradesh,44,Srikakulam,1980,4350,5415,1830
1,Andhra Pradesh,44,Srikakulam,1981,5110,5860,2170
1,Andhra Pradesh,44,Srikakulam,1982,4890,5570,2085
1,Andhra Pradesh,44,Srikakulam,1983,4670,5310,2000
1,Andhra Pradesh,44,Srikakulam,1984,4670,5310,2000
1,Andhra Pradesh,44,Srikakulam,1985,4670,5310,2000
1,Andhra Pradesh,44,Srikakulam,1986,5110,5940,2170
1,Andhra Pradesh,44,Srikakulam,1987,5110,5940,2170
1,Andhra Pradesh,44,Srikakulam,1988,5110,5940,2170
1,Andhra Pradesh,44,Srikakulam,1989,5110,5940,2170
1,Andhra Pradesh,44,Srikakulam,1990,5110,5940,2170
1,Andhra Pradesh,44,Srikakulam,1991,6650,7750,2830
1,Andhra Pradesh,44,Srikakulam,1992,6000,-1,-1
1,Andhra Pradesh,44,Srikakulam,1993,6000,-1,-1
1,Andhra Pradesh,44,Srikakulam,1994,7220,-1,-1
1,Andhra Pradesh,45,Visakhapatnam,1966,1511,1461,508
1,Andhra Pradesh,45,Visakhapatnam,1967,1578,1844,655
1,Andhra Pradesh,45,Visakhapatnam,1968,1911,1948,718
1,Andhra Pradesh,45,Visakhapatnam,1969,2096,2795,833
1,Andhra Pradesh,45,Visakhapatnam,1970,2053,3114,877
1,Andhra Pradesh,45,Visakhapatnam,1971,2010,3210,890
1,Andhra Pradesh,45,Visakhapatnam,1972,2080,3170,920
1,Andhra Pradesh,45,Visakhapatnam,1973,2280,3270,1130
1,Andhra Pradesh,45,Visakhapatnam,1974,4350,5630,2050
1,Andhra Pradesh,45,Visakhapatnam,1975,4020,6315,1900
1,Andhra Pradesh,45,Visakhapatnam,1976,3800,4510,1520
1,Andhra Pradesh,45,Visakhapatnam,1977,3480,3570,1340
1,Andhra Pradesh,45,Visakhapatnam,1978,3395,3699,1340
1,Andhra Pradesh,45,Visakhapatnam,1979,3150,4070,1340
1,Andhra Pradesh,45,Visakhapatnam,1980,4350,5415,1830
1,Andhra Pradesh,45,Visakhapatnam,1981,5110,5860,2170
1,Andhra Pradesh,45,Visakhapatnam,1982,4890,5570,2085
1,Andhra Pradesh,45,Visakhapatnam,1983,4670,5310,2000
1,Andhra Pradesh,45,Visakhapatnam,1984,4670,5310,2000
1,Andhra Pradesh,45,Visakhapatnam,1985,4670,5310,2000
1,Andhra Pradesh,45,Visakhapatnam,1986,5110,5940,2170
1,Andhra Pradesh,45,Visakhapatnam,1987,5110,5940,2170
1,Andhra Pradesh,45,Visakhapatnam,1988,5110,5940,2170
1,Andhra Pradesh,45,Visakhapatnam,1989,5110,5940,2170
1,Andhra Pradesh,45,Visakhapatnam,1990,5110,5940,2170
1,Andhra Pradesh,45,Visakhapatnam,1991,6650,7750,2830
1,Andhra Pradesh,45,Visakhapatnam,1992,6000,-1,-1
1,Andhra Pradesh,45,Visakhapatnam,1993,6000,-1,-1
1,Andhra Pradesh,45,Visakhapatnam,1994,7220,-1,-1
1,Andhra Pradesh,46,East Godavari,1966,1511,1461,508
1,Andhra Pradesh,46,East Godavari,1967,1578,1844,655
1,Andhra Pradesh,46,East Godavari,1968,1911,1948,718
1,Andhra Pradesh,46,East Godavari,1969,2096,2795,833
1,Andhra Pradesh,46,East Godavari,1970,2053,3114,877
1,Andhra Pradesh,46,East Godavari,1971,2010,3210,890
1,Andhra Pradesh,46,East Godavari,1972,2080,3170,920
1,Andhra Pradesh,46,East Godavari,1973,2280,3270,1130
1,Andhra Pradesh,46,East Godavari,1974,4350,5630,2050
1,Andhra Pradesh,46,East Godavari,1975,4020,6315,1900
1,Andhra Pradesh,46,East Godavari,1976,3800,4510,1520
1,Andhra Pradesh,46,East Godavari,1977,3480,3570,1340
1,Andhra Pradesh,46,East Godavari,1978,3395,3699,1340
1,Andhra Pradesh,46,East Godavari,1979,3150,4070,1340
1,Andhra Pradesh,46,East Godavari,1980,4350,5415,1830
1,Andhra Pradesh,46,East Godavari,1981,5110,5860,2170
1,Andhra Pradesh,46,East Godavari,1982,4890,5570,2085
1,Andhra Pradesh,46,East Godavari,1983,4670,5310,2000
1,Andhra Pradesh,46,East Godavari,1984,4670,5310,2000
1,Andhra Pradesh,46,East Godavari,1985,4670,5310,2000
1,Andhra Pradesh,46,East Godavari,1986,5110,5940,2170
1,Andhra Pradesh,46,East Godavari,1987,5110,5940,2170
1,Andhra Pradesh,46,East Godavari,1988,5110,5940,2170
1,Andhra Pradesh,46,East Godavari,1989,5110,5940,2170
1,Andhra Pradesh,46,East Godavari,1990,5110,5940,2170
1,Andhra Pradesh,46,East Godavari,1991,6650,7750,2830
1,Andhra Pradesh,46,East Godavari,1992,6000,-1,-1
1,Andhra Pradesh,46,East Godawari,1993,6000,-1,-1
1,Andhra Pradesh,46,East Godavari,1994,7220,-1,-1
1,Andhra Pradesh,47,West Godavari,1966,1511,1461,508
1,Andhra Pradesh,47,West Godavari,1967,1578,1844,655
1,Andhra Pradesh,47,West Godavari,1968,1911,1948,718
1,Andhra Pradesh,47,West Godavari,1969,2096,2795,833
1,Andhra Pradesh,47,West Godavari,1970,2053,3114,877
1,Andhra Pradesh,47,West Godavari,1971,2010,3210,890
1,Andhra Pradesh,47,West Godavari,1972,2080,3170,920
1,Andhra Pradesh,47,West Godavari,1973,2280,3270,1130
1,Andhra Pradesh,47,West Godavari,1974,4350,5630,2050
1,Andhra Pradesh,47,West Godavari,1975,4020,6315,1900
1,Andhra Pradesh,47,West Godavari,1976,3800,4510,1520
1,Andhra Pradesh,47,West Godavari,1977,3480,3570,1340
1,Andhra Pradesh,47,West Godavari,1978,3395,3699,1340
1,Andhra Pradesh,47,West Godavari,1979,3150,4070,1340
1,Andhra Pradesh,47,West Godavari,1980,4350,5415,1830
1,Andhra Pradesh,47,West Godavari,1981,5110,5860,2170
1,Andhra Pradesh,47,West Godavari,1982,4890,5570,2085
1,Andhra Pradesh,47,West Godavari,1983,4670,5310,2000
1,Andhra Pradesh,47,West Godavari,1984,4670,5310,2000
1,Andhra Pradesh,47,West Godavari,1985,4670,5310,2000
1,Andhra Pradesh,47,West Godavari,1986,5110,5940,2170
1,Andhra Pradesh,47,West Godavari,1987,5110,5940,2170
1,Andhra Pradesh,47,West Godavari,1988,5110,5940,2170
1,Andhra Pradesh,47,West Godavari,1989,5110,5940,2170
1,Andhra Pradesh,47,West Godavari,1990,5110,5940,2170
1,Andhra Pradesh,47,West Godavari,1991,6650,7750,2830
1,Andhra Pradesh,47,West Godavari,1992,6000,-1,-1
1,Andhra Pradesh,47,West Godawari,1993,6000,-1,-1
1,Andhra Pradesh,47,West Godavari,1994,7220,-1,-1
1,Andhra Pradesh,48,Krishna,1966,1511,1461,508
1,Andhra Pradesh,48,Krishna,1967,1578,1844,655
1,Andhra Pradesh,48,Krishna,1968,1911,1948,718
1,Andhra Pradesh,48,Krishna,1969,2096,2795,833
1,Andhra Pradesh,48,Krishna,1970,2053,3114,877
1,Andhra Pradesh,48,Krishna,1971,2010,3210,890
1,Andhra Pradesh,48,Krishna,1972,2080,3170,920
1,Andhra Pradesh,48,Krishna,1973,2280,3270,1130
1,Andhra Pradesh,48,Krishna,1974,4350,5630,2050
1,Andhra Pradesh,48,Krishna,1975,4020,6315,1900
1,Andhra Pradesh,48,Krishna,1976,3800,4510,1520
1,Andhra Pradesh,48,Krishna,1977,3480,3570,1340
1,Andhra Pradesh,48,Krishna,1978,3395,3699,1340
1,Andhra Pradesh,48,Krishna,1979,3150,4070,1340
1,Andhra Pradesh,48,Krishna,1980,4350,5415,1830
1,Andhra Pradesh,48,Krishna,1981,5110,5860,2170
1,Andhra Pradesh,48,Krishna,1982,4890,5570,2085
1,Andhra Pradesh,48,Krishna,1983,4670,5310,2000
1,Andhra Pradesh,48,Krishna,1984,4670,5310,2000
1,Andhra Pradesh,48,Krishna,1985,4670,5310,2000
1,Andhra Pradesh,48,Krishna,1986,5110,5940,2170
1,Andhra Pradesh,48,Krishna,1987,5110,5940,2170
1,Andhra Pradesh,48,Krishna,1988,5110,5940,2170
1,Andhra Pradesh,48,Krishna,1989,5110,5940,2170
1,Andhra Pradesh,48,Krishna,1990,5110,5940,2170
1,Andhra Pradesh,48,Krishna,1991,6650,7750,2830
1,Andhra Pradesh,48,Krishna,1992,6000,-1,-1
1,Andhra Pradesh,48,Krishna,1993,6000,-1,-1
1,Andhra Pradesh,48,Krishna,1994,7220,-1,-1
1,Andhra Pradesh,49,Guntur,1966,1511,1461,508
1,Andhra Pradesh,49,Guntur,1967,1578,1844,655
1,Andhra Pradesh,49,Guntur,1968,1911,1948,718
1,Andhra Pradesh,49,Guntur,1969,2096,2795,833
1,Andhra Pradesh,49,Guntur,1970,2053,3114,877
1,Andhra Pradesh,49,Guntur,1971,2010,3210,890
1,Andhra Pradesh,49,Guntur,1972,2080,3170,920
1,Andhra Pradesh,49,Guntur,1973,2280,3270,1130
1,Andhra Pradesh,49,Guntur,1974,4350,5630,2050
1,Andhra Pradesh,49,Guntur,1975,4020,6315,1900
1,Andhra Pradesh,49,Guntur,1976,3800,4510,1520
1,Andhra Pradesh,49,Guntur,1977,3480,3570,1340
1,Andhra Pradesh,49,Guntur,1978,3395,3699,1340
1,Andhra Pradesh,49,Guntur,1979,3150,4070,1340
1,Andhra Pradesh,49,Guntur,1980,4350,5415,1830
1,Andhra Pradesh,49,Guntur,1981,5110,5860,2170
1,Andhra Pradesh,49,Guntur,1982,4890,5570,2085
1,Andhra Pradesh,49,Guntur,1983,4670,5310,2000
1,Andhra Pradesh,49,Guntur,1984,4670,5310,2000
1,Andhra Pradesh,49,Guntur,1985,4670,5310,2000
1,Andhra Pradesh,49,Guntur,1986,5110,5940,2170
1,Andhra Pradesh,49,Guntur,1987,5110,5940,2170
1,Andhra Pradesh,49,Guntur,1988,5110,5940,2170
1,Andhra Pradesh,49,Guntur,1989,5110,5940,2170
1,Andhra Pradesh,49,Guntur,1990,5110,5940,2170
1,Andhra Pradesh,49,Guntur,1991,6650,7750,2830
1,Andhra Pradesh,49,Guntur,1992,6000,-1,-1
1,Andhra Pradesh,49,Guntur,1993,6000,-1,-1
1,Andhra Pradesh,49,Guntur,1994,7220,-1,-1
1,Andhra Pradesh,50,Nellore,1966,1511,1461,508
1,Andhra Pradesh,50,Nellore,1967,1578,1844,655
1,Andhra Pradesh,50,Nellore,1968,1911,1948,718
1,Andhra Pradesh,50,Nellore,1969,2096,2795,833
1,Andhra Pradesh,50,Nellore,1970,2053,3114,877
1,Andhra Pradesh,50,Nellore,1971,2010,3210,890
1,Andhra Pradesh,50,Nellore,1972,2080,3170,920
1,Andhra Pradesh,50,Nellore,1973,2280,3270,1130
1,Andhra Pradesh,50,Nellore,1974,4350,5630,2050
1,Andhra Pradesh,50,Nellore,1975,4020,6315,1900
1,Andhra Pradesh,50,Nellore,1976,3800,4510,1520
1,Andhra Pradesh,50,Nellore,1977,3480,3570,1340
1,Andhra Pradesh,50,Nellore,1978,3395,3699,1340
1,Andhra Pradesh,50,Nellore,1979,3150,4070,1340
1,Andhra Pradesh,50,Nellore,1980,4350,5415,1830
1,Andhra Pradesh,50,Nellore,1981,5110,5860,2170
1,Andhra Pradesh,50,Nellore,1982,4890,5570,2085
1,Andhra Pradesh,50,Nellore,1983,4670,5310,2000
1,Andhra Pradesh,50,Nellore,1984,4670,5310,2000
1,Andhra Pradesh,50,Nellore,1985,4670,5310,2000
1,Andhra Pradesh,50,Nellore,1986,5110,5940,2170
1,Andhra Pradesh,50,Nellore,1987,5110,5940,2170
1,Andhra Pradesh,50,Nellore,1988,5110,5940,2170
1,Andhra Pradesh,50,Nellore,1989,5110,5940,2170
1,Andhra Pradesh,50,Nellore,1990,5110,5940,2170
1,Andhra Pradesh,50,Nellore,1991,6650,7750,2830
1,Andhra Pradesh,50,Nellore,1992,6000,-1,-1
1,Andhra Pradesh,50,Nellore,1993,6000,-1,-1
1,Andhra Pradesh,50,Nellore,1994,7220,-1,-1
1,Andhra Pradesh,51,Kurnool,1966,1511,1461,508
1,Andhra Pradesh,51,Kurnool,1967,1578,1844,655
1,Andhra Pradesh,51,Kurnool,1968,1911,1948,718
1,Andhra Pradesh,51,Kurnool,1969,2096,2795,833
1,Andhra Pradesh,51,Kurnool,1970,2053,3114,877
1,Andhra Pradesh,51,Kurnool,1971,2010,3210,890
1,Andhra Pradesh,51,Kurnool,1972,2080,3170,920
1,Andhra Pradesh,51,Kurnool,1973,2280,3270,1130
1,Andhra Pradesh,51,Kurnool,1974,4350,5630,2050
1,Andhra Pradesh,51,Kurnool,1975,4020,6315,1900
1,Andhra Pradesh,51,Kurnool,1976,3800,4510,1520
1,Andhra Pradesh,51,Kurnool,1977,3480,3570,1340
1,Andhra Pradesh,51,Kurnool,1978,3395,3699,1340
