STCODE,STNAME,DIST,DISTNAME,LAT,LONG,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,ANNUAL
1,Andhra Pradesh,44,Srikakulam,18.6,84.3,8,18,15,26,53,119,162,189,229,192,83,10,1104
1,Andhra Pradesh,45,Visakhapatnam,17.7,83.3,7,15,9,13,54,88,122,132,167,259,91,18,975
1,Andhra Pradesh,46,East Godavari,17.0,82.2,8,9,12,20,42,122,190,145,151,238,136,15,1088
1,Andhra Pradesh,47,West Godavari,16.8,81.5,3,13,10,18,48,148,214,200,169,159,73,7,1062
1,Andhra Pradesh,48,Krishna,16.2,81.1,5,15,13,18,39,94,177,152,162,234,138,18,1065
1,Andhra Pradesh,49,Guntur,16.6,79.6,4,9,8,15,32,92,116,117,143,115,44,9,704
1,Andhra Pradesh,50,Nellore,14.5,80.0,32,7,7,10,37,37,71,76,110,266,317,88,1058
1,Andhra Pradesh,51,Kurnool,15.8,78.1,4,8,5,14,30,76,106,103,146,78,29,6,605
1,Andhra Pradesh,52,Ananthapur,14.6,77.0,3,5,4,16,57,41,38,71,122,92,41,7,497
1,Andhra Pradesh,53,Cuddapah,14.5,78.8,11,3,6,13,39,72,107,121,155,108,95,18,748
1,Andhra Pradesh,54,Chittoor,13.5,78.5,5,2,4,36,59,54,86,75,113,166,61,36,697
1,Andhra Pradesh,55,Hyderabad,17.5,78.5,2,11,13,24,30,107,105,147,163,71,25,6,704
1,Andhra Pradesh,56,Nizamabad,18.1,78.1,5,17,14,21,20,149,317,261,23,65,14,3,909
1,Andhra Pradesh,57,Medak,17.6,78.0,9,11,12,24,23,124,178,165,199,62,22,6,835
1,Andhra Pradesh,58,Mahboobnagar,16.7,78.0,6,10,7,17,29,112,176,146,185,74,26,4,792
1,Andhra Pradesh,59,Nalgonda,17.1,79.3,6,9,6,21,32,102,138,129,171,105,36,8,763
1,Andhra Pradesh,60,Warangal,18.0,79.6,9,14,11,23,29,146,228,175,190,68,27,5,925
1,Andhra Pradesh,61,Khammam,17.7,80.9,6,14,13,43,41,168,299,258,187,84,28,7,1148
1,Andhra Pradesh,62,Karimnagar,18.4,79.0,6,22,13,21,22,150,220,170,173,55,21,7,880
1,Andhra Pradesh,63,Adilabad,19.4,79.3,6,21,14,19,18,157,289,203,183,65,13,4,992
