STCODE,STNAME,DIST,DISTNAME,YEAR,DIESEL_PS,ELECTRIC_PS,POWER_T,TRACTOR
2,Bihar,901,Champaran,1966,0.17,0.04,0.05,0.47
2,Bihar,901,Champaran,1972,6.26,0.34,0.08,1.34
2,Bihar,901,Champaran,1977,11.03,0.18,0.06,1.83
2,Bihar,901,Champaran,1992,20.57,0.50,2.02,2.23
2,Bihar,901,Champaran,2003,24.76,0.33,0.24,7.15
2,Bihar,902,Muzaffarpur,1966,0.23,0.43,0.01,0.09
2,Bihar,902,Muzaffarpur,1972,5.73,2.49,0.01,0.21
2,Bihar,902,Muzaffarpur,1977,19.40,3.55,0.03,0.56
2,Bihar,902,Muzaffarpur,1982,41.02,3.85,0.51,3.04
2,Bihar,902,Muzaffarpur,1992,36.19,10.11,1.22,0.68
2,Bihar,902,Muzaffarpur,2003,45.00,0.80,0.33,5.86
2,Bihar,903,Darbhanga,1966,0.24,0.08,0.07,0.14
2,Bihar,903,Darbhanga,1972,4.91,0.68,0.02,0.25
2,Bihar,903,Darbhanga,1977,13.08,1.31,0.03,0.40
2,Bihar,903,Darbhanga,1982,24.34,3.52,0.18,0.99
2,Bihar,903,Darbhanga,1992,26.34,5.23,0.88,0.59
2,Bihar,903,Darbhanga,2003,54.15,1.12,0.48,8.34
2,Bihar,904,Saharsa,1966,0.14,0.05,0.02,0.11
2,Bihar,904,Saharsa,1972,2.39,0.10,0.02,0.33
2,Bihar,904,Saharsa,1977,5.50,0.20,0.01,0.47
2,Bihar,904,Saharsa,1992,9.78,0.85,0.29,0.61
2,Bihar,904,Saharsa,2003,28.52,0.65,0.23,5.23
2,Bihar,905,Purnea,1966,0.20,0.02,0.02,0.29
2,Bihar,905,Purnea,1972,3.77,0.16,0.04,0.80
2,Bihar,905,Purnea,1977,14.35,0.43,0.03,1.22
2,Bihar,905,Purnea,1992,25.48,1.82,1.26,1.59
2,Bihar,905,Purnia,2003,65.50,1.05,0.40,8.08
2,Bihar,906,Saran,1966,0.25,0.14,0.02,0.14
2,Bihar,906,Saran,1972,5.00,0.79,0.02,0.29
2,Bihar,906,Saran,1977,22.27,1.66,0.03,0.86
2,Bihar,906,Saran,1982,38.64,1.42,0.28,1.22
2,Bihar,906,Saran,1992,28.77,44.68,3.66,2.56
2,Bihar,906,Saran,2003,62.57,1.12,0.47,12.13
2,Bihar,907,Patna,1966,0.94,1.49,0.02,0.12
2,Bihar,907,Patna,1972,6.30,16.43,0.14,0.38
2,Bihar,907,Patna,1977,11.18,29.92,0.49,1.14
2,Bihar,907,Patna,1982,56.36,51.01,1.56,4.20
2,Bihar,907,Patna,1992,49.23,95.98,6.30,1.45
2,Bihar,907,Patna,2003,86.22,10.73,3.70,5.47
2,Bihar,908,Munger,1966,0.15,0.11,0.03,0.14
2,Bihar,908,Monghyr,1972,2.87,3.04,0.02,0.23
2,Bihar,908,Munger,1977,9.68,5.23,0.04,0.71
2,Bihar,908,Munger,1992,22.29,24.83,0.86,1.03
2,Bihar,908,Munger,2003,51.15,4.85,0.39,7.95
2,Bihar,909,Bhagalpur,1966,0.15,0.04,0.01,0.09
2,Bihar,909,Bhagalpur,1972,2.01,1.09,0.02,0.17
2,Bihar,909,Bhagalpur,1977,6.92,1.83,0.03,0.35
2,Bihar,909,Bhagalpur,1982,31.16,11.21,0.24,1.28
2,Bihar,909,Bhagalpur,1992,17.15,9.03,0.67,0.50
2,Bihar,909,Bhagalpur,2003,26.17,2.15,0.12,3.09
2,Bihar,910,Santhal Parganas,1966,0.19,0.06,0.01,0.02
2,Bihar,910,Santhal Parganas,1972,1.17,0.18,0.00,0.02
2,Bihar,910,Santhal Parganas,1977,4.45,0.31,0.01,0.03
2,Bihar,910,Santhal Parganas,1992,53.48,3.92,1.75,1.17
2,Bihar,911,Shahabad,1966,0.26,1.64,0.02,0.31
2,Bihar,911,Shahabad,1972,1.83,9.53,0.17,1.12
2,Bihar,911,Shahabad,1977,6.53,13.93,0.28,2.01
2,Bihar,911,Shahabad,1992,2.35,0.15,0.18,0.02
2,Bihar,911,Shahabad,2003,42.24,8.38,0.44,10.97
2,Bihar,912,Gaya,1966,0.34,2.22,0.03,0.13
2,Bihar,912,Gaya,1972,3.28,16.84,0.04,0.26
2,Bihar,912,Gaya,1977,6.77,32.11,0.11,0.71
2,Bihar,912,Gaya,1992,37.49,97.01,3.46,0.92
2,Bihar,912,Gaya,2003,108.94,23.97,0.74,7.11
2,Bihar,913,Hazaribagh,1966,0.17,0.16,0.01,0.05
2,Bihar,913,Hazaribagh,1972,1.04,0.44,0.00,0.03
2,Bihar,913,Hazaribagh,1977,2.58,0.45,0.02,0.08
2,Bihar,913,Hazaribagh,1992,11.01,2.74,4.13,0.09
2,Bihar,914,Dhanbad,1966,0.05,0.06,0.04,0.00
2,Bihar,914,Dhanbad,1972,0.32,0.03,0.00,0.03
2,Bihar,914,Dhanbad,1977,0.60,0.03,0.00,0.01
2,Bihar,914,Dhanbad,1992,2.58,0.20,0.41,0.01
2,Bihar,915,Palamau,1966,0.06,0.17,0.01,0.02
2,Bihar,915,Palamua,1972,0.87,0.69,0.01,0.07
2,Bihar,915,Palamau,1977,2.27,1.79,0.01,0.09
2,Bihar,915,Palamau,1992,4.88,6.48,0.49,0.24
2,Bihar,916,Ranchi,1966,0.09,0.09,0.02,0.03
2,Bihar,916,Ranchi,1972,1.07,0.20,0.01,0.05
2,Bihar,916,Ranchi,1977,2.97,0.26,0.00,0.09
2,Bihar,916,Ranchi,1992,6.39,0.95,0.18,0.24
2,Bihar,917,Singhbhum,1966,0.09,0.04,0.01,0.01
2,Bihar,917,Singhbhum,1972,0.28,0.02,0.00,0.01
2,Bihar,917,Singhbhum,1977,1.09,0.04,0.00,0.01
2,Bihar,917,Singhbhum,1992,11.03,1.52,0.22,0.05
