STCODE,STNAME,DIST,DISTNAME,YEAR,RICE_TA,RICE_TQ,WHT_TA,WHT_TQ,SORG_KA,SORG_KQ,SORG_RA,SORG_RQ,SORG_TA,SORG_TQ,PMLT_TA,PMLT_TQ,MAIZ_TA,MAIZ_TQ,FMLT_TA,FMLT_TQ,BRLY_TA,BRLY_TQ,CERL_TA,CERL_TQ,CPEA_TA,CPEA_TQ,PPEA_TA,PPEA_TQ,MPUL_TA,PULS_TA,PULS_TQ,GNUT_TA,GNUT_TQ,SESA_TA,SESA_TQ,RM_TA,RM_TQ,SAFF_TA,SAFF_TQ,CAST_TA,CAST_TQ,LINS_TA,LINS_TQ,SUNF_TA,SUNF_TQ,SOYA_TA,SOYA_TQ,OILS_TA,OILS_TQ,SCAN_TA,SGUR_TQ,COTN_TA,COTN_TQ,FRUT_TA,VEGT_TA,TFV_TA,POTA_TA,ONIO_TA
2,Bihar,901,Champaran,1966,389.49,159.79,76.45,41.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.56,22.18,1.65,0.61,71.94,28.53,582.15,-1.00,8.29,4.11,9.55,6.53,63.32,81.16,-1.00,0.05,0.03,0.99,0.33,8.17,2.57,0.01,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.33,-1.00,46.20,150.80,0.00,0.00,17.14,16.58,33.72,4.28,1.22
2,Bihar,901,Champaran,1967,430.45,338.03,98.85,84.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.37,37.56,1.82,0.99,73.87,47.83,666.16,-1.00,8.49,4.03,11.29,11.43,61.15,80.93,-1.00,0.08,0.07,1.03,0.39,8.94,4.97,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,-1.00,38.05,127.60,0.00,0.00,16.09,18.91,35.00,4.79,1.39
2,Bihar,901,Champaran,1968,450.45,371.31,113.13,108.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.01,33.87,1.60,0.56,60.16,32.78,679.80,-1.00,6.10,2.59,10.51,10.57,56.50,73.11,-1.00,0.07,0.03,1.77,0.45,10.27,4.48,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.06,-1.00,46.11,193.30,0.00,0.00,17.35,21.81,39.16,7.04,1.69
2,Bihar,901,Champaran,1969,467.07,286.41,131.65,159.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80,28.77,1.56,0.46,54.02,29.92,708.12,-1.00,6.10,2.56,10.51,10.57,52.53,69.14,-1.00,0.03,0.02,1.89,0.60,10.98,7.27,0.00,-1.00,0.00,0.00,0.00,0.00,0.12,0.06,0.00,0.00,21.67,-1.00,52.69,216.80,0.00,0.00,16.09,19.39,35.48,7.10,1.63
2,Bihar,901,Champaran,1970,425.50,346.06,131.65,142.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.71,52.13,1.48,0.85,45.74,31.88,718.94,-1.00,3.71,1.40,10.29,6.90,50.19,64.19,-1.00,0.01,0.03,1.01,0.39,10.98,7.28,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.44,-1.00,56.30,251.50,0.00,0.00,18.38,21.10,39.48,7.30,1.78
2,Bihar,901,champaran,1971,447.35,373.39,140.52,229.13,0.01,0.00,0.00,0.00,0.01,0.00,0.07,0.03,36.64,17.61,1.28,0.60,39.25,32.38,740.40,697.53,3.29,1.56,8.93,8.83,53.93,66.16,34.15,0.02,0.02,1.07,0.54,10.73,6.86,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,-1.00,51.10,183.90,0.00,0.00,18.08,20.50,38.58,6.96,1.56
2,Bihar,901,champaran,1972,435.38,358.86,306.58,328.86,0.02,0.01,0.00,0.00,0.02,0.01,0.07,0.04,39.89,58.23,1.60,0.92,32.00,19.30,878.08,803.27,4.17,2.08,8.71,9.57,149.34,162.22,26.57,0.09,0.07,1.42,0.62,10.60,6.16,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.75,-1.00,50.20,200.70,0.00,0.00,16.63,21.76,38.39,7.66,1.76
2,Bihar,901,Champaran,1973,433.35,322.51,129.65,257.18,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.02,44.81,46.04,1.25,0.79,34.79,15.84,702.48,671.87,3.13,1.78,7.56,5.03,-1.00,-1.00,21.64,0.03,0.02,1.59,0.59,8.00,4.04,0.00,-1.00,0.16,0.10,8.13,5.21,0.00,0.00,0.00,0.00,18.65,9.93,48.43,165.15,0.00,0.25,17.42,20.26,37.68,7.23,1.74
2,Bihar,901,Champaran,1974,412.52,349.26,137.09,194.73,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.03,38.19,27.10,1.28,0.62,34.00,27.18,686.66,635.42,2.65,1.85,7.01,5.64,47.51,57.16,27.10,0.07,0.07,1.20,0.40,9.42,4.87,0.00,-1.00,0.06,0.04,9.32,4.37,0.00,0.00,0.00,0.00,19.90,9.66,50.54,184.98,0.00,0.00,17.34,21.55,38.89,8.01,1.64
2,Bihar,901,Champaran,1975,418.97,345.63,168.31,215.66,0.02,0.01,0.00,0.00,0.02,0.01,0.14,0.08,37.03,44.97,1.67,0.62,28.92,18.22,716.88,665.95,2.06,1.12,6.12,6.12,46.06,54.23,27.11,0.03,0.03,1.11,0.24,8.82,6.98,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00,0.00,0.00,19.06,-1.00,53.01,227.45,0.00,0.00,17.18,22.43,39.61,8.36,1.95
