STCODE,STNAME,DIST,DISTNAME,YEAR,RICE_TAI,WHT_TAI,SORG_KAI,SORG_RAI,SORG_TAI,PMLT_TAI,MAIZ_TAI,FMLT_TAI,BRLY_TAI,CPEA_TAI,PPEA_TAI,MPUL_TAI,GNUT_TAI,SESA_TAI,RM_TAI,LINS_TAI,SCAN_TAI,COTN_TAI,TFV_TAI
2,Bihar,901,Champaran,1966,100.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,1.87,0.00,0.00,0.00,0.00,2.00,0.00,1.66
2,Bihar,901,Champaran,1967,103.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,0.00,0.00,0.71,0.00,0.00,0.00,0.00,1.00,0.00,1.50
2,Bihar,901,Champaran,1968,113.00,39.00,0.00,0.00,0.00,0.00,1.00,0.00,3.95,0.00,0.00,0.16,0.00,0.00,0.00,0.00,2.00,0.00,2.76
2,Bihar,901,Champaran,1969,114.00,55.00,0.00,0.00,0.00,0.00,3.00,0.00,4.08,0.00,0.00,0.69,0.00,0.00,0.00,0.00,2.00,0.00,2.57
2,Bihar,901,Champaran,1970,113.00,75.00,0.00,0.00,0.00,0.00,1.00,0.00,4.49,0.00,0.00,1.07,0.00,0.00,1.00,0.00,2.00,0.00,3.15
2,Bihar,901,Champaran,1971,112.00,73.00,0.00,0.00,0.00,0.00,2.00,0.00,4.01,0.00,0.00,1.85,0.00,0.00,1.00,0.00,1.00,0.00,3.56
2,Bihar,901,Champaran,1972,123.00,91.00,0.00,0.00,0.00,0.00,3.00,0.00,4.47,0.00,0.00,0.29,0.00,0.00,0.00,0.00,3.00,0.00,3.61
2,Bihar,901,Champaran,1973,131.00,65.00,0.00,0.00,0.00,0.00,5.00,0.00,3.20,0.00,0.00,0.19,0.00,0.00,1.00,0.00,3.00,0.00,3.48
2,Bihar,901,Champaran,1974,118.00,72.00,0.00,0.00,0.00,0.00,6.00,0.00,3.33,0.00,0.00,0.41,0.00,0.00,0.00,0.00,2.00,0.00,4.64
2,Bihar,901,Champaran,1975,127.00,99.00,0.00,0.00,0.00,0.00,11.00,0.00,2.56,0.00,0.00,0.65,0.00,0.00,0.00,0.00,2.00,0.00,5.24
2,Bihar,901,Champaran,1976,141.00,121.00,0.00,0.00,0.00,0.00,13.00,0.00,2.51,0.00,0.00,1.76,0.00,0.00,0.00,0.00,2.00,0.00,5.18
2,Bihar,901,Champaran,1977,155.00,97.00,0.00,0.00,0.00,0.00,15.00,0.00,2.22,1.00,0.00,0.87,0.00,0.00,0.00,0.00,3.00,0.00,6.32
2,Bihar,901,Champaran,1978,139.00,102.00,1.00,0.00,1.00,0.00,22.00,0.00,2.21,0.00,0.00,1.33,0.00,0.00,1.00,0.00,3.00,0.00,7.19
2,Bihar,901,Champaran,1979,139.50,100.00,0.00,0.00,0.00,0.00,15.00,0.00,1.92,1.00,0.00,0.38,0.00,0.00,1.00,0.00,3.00,0.00,7.24
2,Bihar,901,Champaran,1980,144.00,99.00,0.00,0.00,0.00,0.00,16.00,0.00,1.19,0.00,0.00,0.30,0.00,0.00,0.00,0.00,4.00,0.00,6.74
2,Bihar,901,Champaran,1981,139.00,92.00,0.00,0.00,0.00,0.00,19.00,0.00,0.62,0.00,0.00,0.73,0.00,0.00,0.00,0.00,3.00,0.00,6.95
2,Bihar,901,Champaran,1982,139.00,94.00,0.00,0.00,0.00,0.00,22.00,0.00,0.67,0.00,0.00,0.91,0.00,0.00,0.00,0.00,4.00,0.00,6.70
2,Bihar,901,Champaran,1983,152.00,102.00,0.00,0.00,0.00,0.00,19.00,0.00,0.64,0.00,0.00,0.49,0.00,0.00,0.00,0.00,2.00,0.00,6.44
2,Bihar,901,Champaran,1984,152.00,106.00,0.00,0.00,0.00,0.00,18.00,0.00,0.42,0.00,0.00,0.27,0.00,0.00,0.00,0.00,2.00,0.00,7.30
2,Bihar,901,Champaran,1985,150.00,116.00,0.00,0.00,0.00,0.00,17.00,0.00,0.20,0.00,0.00,0.25,0.00,0.00,0.00,0.00,2.00,0.00,7.58
2,Bihar,901,Champaran,1986,148.00,110.00,0.00,0.00,0.00,0.00,15.00,0.00,0.20,0.00,0.00,0.10,0.00,0.00,0.00,0.00,3.00,0.00,8.61
2,Bihar,901,Champaran,1987,127.00,122.00,0.00,0.00,0.00,0.00,18.00,0.00,0.07,0.00,0.00,0.36,0.00,0.00,0.00,0.00,5.00,0.00,7.21
2,Bihar,901,Champaran,1988,142.00,137.00,0.00,0.00,0.00,0.00,22.00,0.00,0.12,0.07,0.00,0.37,0.00,0.00,0.00,0.00,6.00,0.00,7.41
2,Bihar,901,Champaran,1989,135.00,134.00,0.00,0.00,0.00,0.00,22.00,0.00,0.03,0.05,0.00,1.23,0.00,0.00,0.00,0.00,10.00,0.00,8.72
2,Bihar,901,Champaran,1990,108.74,120.03,0.00,0.00,0.00,0.00,35.29,0.00,0.00,0.02,0.00,0.40,0.00,0.00,0.00,0.00,3.40,0.00,4.10
2,Bihar,901,Champaran,1991,142.81,141.32,0.00,0.00,0.00,0.00,20.21,0.00,0.00,0.61,0.00,0.31,0.00,0.00,0.00,0.00,2.67,0.00,4.33
2,Bihar,901,Champaran,1992,142.95,172.62,0.00,0.00,0.00,0.00,19.60,0.00,0.00,0.36,0.00,0.13,0.00,0.00,0.00,0.00,3.91,0.00,4.21
2,Bihar,901,Champaran,1993,159.00,150.60,0.00,0.00,0.00,0.00,18.59,0.00,0.00,0.02,0.00,-1.00,0.00,0.00,0.00,0.00,3.82,0.00,5.94
2,Bihar,901,Champaran,1994,139.11,131.34,0.00,0.00,0.00,0.00,20.49,0.00,0.00,0.38,0.00,-1.00,0.00,0.00,0.00,0.00,3.00,0.00,4.46
2,Bihar,901,Champaran,1995,216.01,183.45,-1.00,-1.00,-1.00,-1.00,41.99,-1.00,-1.00,0.11,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,13.13,-1.00,14.22
2,Bihar,901,Champaran,1996,212.67,188.66,-1.00,-1.00,-1.00,-1.00,60.16,-1.00,-1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,18.41,-1.00,16.74
2,Bihar,901,Champaran,1998,182.81,159.36,0.00,0.00,0.00,0.00,24.91,0.07,0.09,0.04,0.00,0.20,0.00,0.03,1.00,0.28,28.22,0.00,23.78
2,Bihar,901,Champaran,1999,166.05,169.49,0.00,0.00,0.00,0.00,25.66,0.06,0.26,0.00,0.00,0.31,0.00,0.00,0.95,0.30,22.33,0.00,23.98
2,Bihar,901,Champaran,2000,168.29,173.63,0.00,0.00,0.00,0.00,25.62,0.04,1.05,0.00,0.00,1.44,0.00,0.00,0.12,0.00,22.59,0.00,23.65
2,Bihar,901,Champaran,2001,135.76,169.19,0.00,0.00,0.00,0.00,24.18,0.07,0.65,0.00,0.00,0.05,0.00,0.00,0.13,0.03,30.76,0.00,13.37
2,Bihar,901,Champaran,2002,145.63,125.93,0.00,0.00,0.00,0.00,21.13,0.01,0.03,0.00,0.02,0.05,0.00,0.00,0.13,0.00,20.93,0.00,22.79
2,Bihar,901,Champaran,2003,133.33,131.34,0.00,0.00,0.00,0.00,23.61,0.01,0.00,0.19,0.00,0.00,0.00,0.00,0.08,0.00,20.98,0.00,22.46
