STCODE,STNAME,DIST,DISTNAME,YEAR,N_TC,P_TC,K_TC,NPK_TC
2,Bihar,901,Champaran,1966,2029,663,284,2976
2,Bihar,901,Champaran,1967,3639,1626,397,5662
2,Bihar,901,Champaran,1968,3989,3030,640,7659
2,Bihar,901,Champaran,1969,10842,6154,2768,19764
2,Bihar,901,Champaran,1970,6854,3449,1675,11978
2,Bihar,901,Champaran,1971,-1,-1,-1,-1
2,Bihar,901,Champaran,1973,5879,1573,977,8429
2,Bihar,901,Champaran,1974,8386,1660,1559,11605
2,Bihar,901,Champaran,1975,7271,1427,976,9674
2,Bihar,901,Champaran,1976,10002,1728,973,12703
2,Bihar,901,Champaran,1977,10074,1832,1093,12999
2,Bihar,901,Champaran,1978,12045,2228,1264,15537
2,Bihar,901,Champaran,1979,11440,2165,1122,14727
2,Bihar,901,Champaran,1980,12893,2951,1670,17514
2,Bihar,901,Champaran,1981,13740,3024,1498,18262
2,Bihar,901,Champaran,1982,14376,3287,1702,19365
2,Bihar,901,Champaran,1983,19820,5776,3454,29050
2,Bihar,901,Champaran,1984,22211,6228,2993,31432
2,Bihar,901,Champaran,1985,25962,7533,3238,36733
2,Bihar,901,Champaran,1986,28532,6788,2854,38174
2,Bihar,901,Champaran,1987,28532,6788,2854,38174
2,Bihar,901,Champaran,1988,42159,10780,4866,57805
2,Bihar,901,Champaran,1989,-1,-1,-1,-1
2,Bihar,901,Champaran,1990,-1,-1,-1,-1
2,Bihar,901,Champaran,1991,-1,-1,-1,-1
2,Bihar,901,Champaran,1992,42308,9388,2337,54033
2,Bihar,901,Champaran,1993,54090,6613,1547,62250
2,Bihar,901,Champaran,1994,37956,8044,4139,50139
2,Bihar,901,Champaran,1995,37956,8044,4139,50139
2,Bihar,901,Champaran,1996,43323,8166,4036,55525
2,Bihar,901,Champaran,1997,49637,6948,4598,61183
2,Bihar,901,Champaran,1998,61086,10958,4285,76329
2,Bihar,901,Champaran,1999,76700,18900,7300,102900
2,Bihar,901,Champaran,2000,78944,16599,3166,98709
2,Bihar,901,Champaran,2001,70577,13170,5964,89711
2,Bihar,901,Champaran,2002,70577,13170,5964,89711
2,Bihar,901,Champaran,2003,70065,2901,1078,74044
2,Bihar,901,Champaran,2004,77291,9592,3146,90029
2,Bihar,901,Champaran,2005,77164,15062,11245,103471
2,Bihar,901,Champaran,2006,85552,20693,7375,113620
2,Bihar,901,Champaran,2007,106325,17096,8108,131529
2,Bihar,901,Champaran,2008,101954,23361,15099,140414
2,Bihar,901,Chanmparn,2009,98059,23119,14982,136160
2,Bihar,901,Champaran,2010,112018,33079,20026,165123
2,Bihar,901,Champaran,2011,121712,34236,14362,170310
2,Bihar,902,Muzaffarpur,1966,1181,386,128,1695
2,Bihar,902,Muzaffarpur,1967,2243,750,232,3225
2,Bihar,902,Muzaffarpur,1968,2759,745,287,3791
2,Bihar,902,Muzaffarpur,1969,4250,1098,622,5970
2,Bihar,902,Muzaffarpur,1970,4888,162,586,5636
2,Bihar,902,Muzaffarpur,1971,6856,776,346,7978
2,Bihar,902,Muzaffarpur,1972,6743,943,1267,8953
2,Bihar,902,Muzaffarpur,1973,6075,1467,1390,8932
2,Bihar,902,Muzaffarpur,1974,7927,1009,781,9717
2,Bihar,902,Muzaffarpur,1975,10052,1405,907,12364
2,Bihar,902,Muzaffarpur,1976,12184,1319,834,14337
2,Bihar,902,Muzaffarpur,1977,15786,3344,1760,20890
2,Bihar,902,Muzaffarpur,1978,15947,3355,1813,21115
2,Bihar,902,Muzaffarpur,1979,14677,2734,1835,19246
2,Bihar,902,Muzaffarpur,1980,14631,2406,1172,18209
2,Bihar,902,Muzaffarpur,1981,12988,2498,1510,16996
2,Bihar,902,Muzaffarpur,1982,11477,3452,1802,16731
2,Bihar,902,Muzaffarpur,1983,17823,4209,2238,24270
2,Bihar,902,Muzaffarpur,1984,16805,5105,2614,24524
2,Bihar,902,Muzaffarpur,1985,24362,7963,2720,35045
2,Bihar,902,Muzaffarpur,1986,37552,9099,3333,49984
2,Bihar,902,Muzaffarpur,1987,37552,9099,3333,49984
2,Bihar,902,Muzaffarpur,1988,53637,15457,5447,74541
2,Bihar,902,Muzaffarpur,1989,-1,-1,-1,-1
2,Bihar,902,Muzaffarpur,1990,-1,-1,-1,-1
2,Bihar,902,Muzaffarpur,1991,-1,-1,-1,-1
2,Bihar,902,Muzaffarpur,1992,45469,7523,1221,54213
2,Bihar,902,Muzaffarpur,1993,34848,7921,1240,44009
2,Bihar,902,Muzaffarpur,1994,32676,7245,2214,42135
2,Bihar,902,Muzaffarpur,1995,32676,7245,2214,42135
2,Bihar,902,Muzaffarpur,1996,42934,10731,3065,56730
2,Bihar,902,Muzaffarpur,1997,49197,9168,2695,61060
2,Bihar,902,Muzaffarpur,1998,67864,14580,5001,87445
2,Bihar,902,Mujaffarpur,1999,74800,20500,7000,102300
2,Bihar,902,Mujaffarpur,2000,69302,16147,6007,91456
2,Bihar,902,Mujaffarpur,2001,59973,15925,7374,83272
2,Bihar,902,Mujaffarpur,2002,59973,15925,7374,83272
2,Bihar,902,Mujaffarpur,2003,59068,3815,2335,65218
2,Bihar,902,Mujaffarpur,2004,67425,5844,6470,79739
2,Bihar,902,Mujaffarpur,2005,77576,13768,11776,103120
2,Bihar,902,Mujaffarpur,2006,90035,17351,8708,116094
2,Bihar,902,Mujaffarpur,2007,61207,14315,5294,80816
2,Bihar,902,Mujaffarpur,2008,108442,34574,19961,162977
2,Bihar,902,Mujaffarpur,2009,110727,32206,23102,166035
2,Bihar,902,Mujaffarpur,2010,113455,39174,21053,173682
2,Bihar,902,Mujaffarpur,2011,108039,34543,14281,156863
2,Bihar,903,Darbhanga,1966,1133,207,122,1462
2,Bihar,903,Darbhanga,1967,2677,775,396,3848
2,Bihar,903,Darbhanga,1968,3253,965,348,4566
2,Bihar,903,Darbhanga,1969,3578,841,1006,5425
2,Bihar,903,Darbhanga,1970,5637,295,214,6146
2,Bihar,903,Darbhanga,1971,7000,1043,472,8515
2,Bihar,903,Darbhanga,1972,4474,1316,1065,6855
2,Bihar,903,Darbhanga,1973,4753,1495,518,6766
2,Bihar,903,Darbhanga,1974,7257,1174,964,9395
2,Bihar,903,Darbhanga,1975,6584,995,544,8123
2,Bihar,903,Darbhanga,1976,6911,1089,507,8507
2,Bihar,903,Darbhanga,1977,7899,1914,1050,10863
2,Bihar,903,Darbhanga,1978,8226,2057,991,11274
2,Bihar,903,Darbhanga,1979,8650,1911,1289,11850
2,Bihar,903,Darbhanga,1980,8454,2482,1138,12074
2,Bihar,903,Darbhanga,1981,8510,2254,1388,12152
2,Bihar,903,Darbhanga,1982,9452,2668,1778,13898
2,Bihar,903,Darbhanga,1983,16243,4474,2677,23394
2,Bihar,903,Darbhanga,1984,16697,5880,3100,25677
2,Bihar,903,Darbhanga,1985,18517,6821,2603,27941
2,Bihar,903,Darbhanga,1986,28000,11296,5185,44481
2,Bihar,903,Darbhanga,1987,28000,11296,5185,44481
2,Bihar,903,Darbhanga,1988,37074,14339,7100,58513
2,Bihar,903,Darbhanga,1989,-1,-1,-1,-1
2,Bihar,903,Darbhanga,1990,-1,-1,-1,-1
2,Bihar,903,Darbhanga,1991,-1,-1,-1,-1
2,Bihar,903,Darbhanga,1992,28157,8501,1676,38334
2,Bihar,903,Darbhanga,1993,26005,5482,1214,32701
2,Bihar,903,Darbhanga,1994,29633,7557,1659,38849
2,Bihar,903,Darbhanga,1995,29633,7557,1659,38849
2,Bihar,903,Darbhanga,1996,32636,11132,3737,47505
2,Bihar,903,Darbhanga,1997,37344,9490,3984,50818
2,Bihar,903,Darbhanga,1998,57137,15918,5691,78746
2,Bihar,903,Darbhanga,1999,46200,15500,4300,66000
2,Bihar,903,Darbhanga,2000,56166,18971,4401,79538
2,Bihar,903,Darbhanga,2001,51993,16559,5508,74060
2,Bihar,903,Darbhanga,2002,51993,16559,5508,74060
2,Bihar,903,Darbhanga,2003,51963,6042,3611,61616
2,Bihar,903,Darbhanga,2004,54665,10085,5566,70316
2,Bihar,903,Darbhanga,2005,60789,11962,9713,82464
2,Bihar,903,Darbhanga,2006,61104,15074,7407,83585
2,Bihar,903,Darbhanga,2007,61902,16795,6653,85350
2,Bihar,903,Darbhanga,2008,71181,24105,13515,108801
2,Bihar,903,Darbhanga,2009,69975,22047,16308,108330
2,Bihar,903,Darbharga,2010,80235,29888,15457,125580
2,Bihar,903,Darbharga,2011,84034,29319,8573,121926
