STCODE,STNAME,DIST,DISTNAME,YEAR,N_TP,P_TP,K_TP
2,Bihar,901,Champaran,1966,1511,1461,508
2,Bihar,901,Champaran,1967,1578,1844,655
2,Bihar,901,Champaran,1968,1911,1948,718
2,Bihar,901,Champaran,1969,2096,2795,833
2,Bihar,901,Champaran,1970,2053,3114,877
2,Bihar,901,Champaran,1971,-1,-1,-1
2,Bihar,901,Champaran,1973,2280,3270,1130
2,Bihar,901,Champaran,1974,4350,5630,2050
2,Bihar,901,Champaran,1975,4020,6315,1900
2,Bihar,901,Champaran,1976,3800,4510,1520
2,Bihar,901,Champaran,1977,3480,3570,1340
2,Bihar,901,Champaran,1978,3395,3699,1340
2,Bihar,901,Champaran,1979,3150,4070,1340
2,Bihar,901,Champaran,1980,4350,5415,1830
2,Bihar,901,Champaran,1981,5110,5860,2170
2,Bihar,901,Champaran,1982,4890,5570,2085
2,Bihar,901,Champaran,1983,4670,5310,2000
2,Bihar,901,Champaran,1984,4670,5310,2000
2,Bihar,901,Champaran,1985,4670,5310,2000
2,Bihar,901,Champaran,1986,5110,5940,2170
2,Bihar,901,Champaran,1987,5110,5940,2170
2,Bihar,901,Champaran,1988,5110,5940,2170
2,Bihar,901,Champaran,1989,5110,5940,2170
2,Bihar,901,Champaran,1990,5110,5940,2170
2,Bihar,901,Champaran,1991,6650,7750,2830
2,Bihar,901,Champaran,1992,6000,-1,-1
2,Bihar,901,Champaran,1993,6000,-1,-1
2,Bihar,901,Champaran,1994,7220,-1,-1
2,Bihar,902,Muzaffarpur,1966,1511,1461,508
2,Bihar,902,Muzaffarpur,1967,1578,1844,655
2,Bihar,902,Muzaffarpur,1968,1911,1948,718
2,Bihar,902,Muzaffarpur,1969,2096,2795,833
2,Bihar,902,Muzaffarpur,1970,2053,3114,877
2,Bihar,902,Muzaffarpur,1971,2010,3210,890
2,Bihar,902,Muzaffarpur,1972,2080,3170,920
2,Bihar,902,Muzaffarpur,1973,2280,3270,1130
2,Bihar,902,Muzaffarpur,1974,4350,5630,2050
2,Bihar,902,Muzaffarpur,1975,4020,6315,1900
2,Bihar,902,Muzaffarpur,1976,3800,4510,1520
2,Bihar,902,Muzaffarpur,1977,3480,3570,1340
2,Bihar,902,Muzaffarpur,1978,3395,3699,1340
2,Bihar,902,Muzaffarpur,1979,3150,4070,1340
2,Bihar,902,Muzaffarpur,1980,4350,5415,1830
2,Bihar,902,Muzaffarpur,1981,5110,5860,2170
2,Bihar,902,Muzaffarpur,1982,4890,5570,2085
2,Bihar,902,Muzaffarpur,1983,4670,5310,2000
2,Bihar,902,Muzaffarpur,1984,4670,5310,2000
2,Bihar,902,Muzaffarpur,1985,4670,5310,2000
2,Bihar,902,Muzaffarpur,1986,5110,5940,2170
2,Bihar,902,Muzaffarpur,1987,5110,5940,2170
2,Bihar,902,Muzaffarpur,1988,5110,5940,2170
2,Bihar,902,Muzaffarpur,1989,5110,5940,2170
2,Bihar,902,Muzaffarpur,1990,5110,5940,2170
2,Bihar,902,Muzaffarpur,1991,6650,7750,2830
2,Bihar,902,Muzaffarpur,1992,6000,-1,-1
2,Bihar,902,Muzaffarpur,1993,6000,-1,-1
2,Bihar,902,Muzaffarpur,1994,7220,-1,-1
2,Bihar,903,Darbhanga,1966,1511,1461,508
2,Bihar,903,Darbhanga,1967,1578,1844,655
2,Bihar,903,Darbhanga,1968,1911,1948,718
2,Bihar,903,Darbhanga,1969,2096,2795,833
2,Bihar,903,Darbhanga,1970,2053,3114,877
2,Bihar,903,Darbhanga,1971,2010,3210,890
2,Bihar,903,Darbhanga,1972,2080,3170,920
2,Bihar,903,Darbhanga,1973,2280,3270,1130
2,Bihar,903,Darbhanga,1974,4350,5630,2050
2,Bihar,903,Darbhanga,1975,4020,6315,1900
2,Bihar,903,Darbhanga,1976,3800,4510,1520
2,Bihar,903,Darbhanga,1977,3480,3570,1340
2,Bihar,903,Darbhanga,1978,3395,3699,1340
2,Bihar,903,Darbhanga,1979,3150,4070,1340
2,Bihar,903,Darbhanga,1980,4350,5415,1830
