STCODE,STNAME,DIST,DISTNAME,YEAR,RICE_TP,PADY_TP,WHT_TP,SORG_TP,PMLT_TP,MAIZ_TP,FMLT_TP,BRLY_TP,CPEA_TP,PPEA_TP,GNUT_TP,SESA_TP,RM_TP,CAST_TP,LINS_TP,SGUR_TP,COTNK_TP
2,Bihar,901,Champaram,1966,-1.0,93.8,123.3,-1.0,-1.0,85.8,80.4,69.7,150.1,85.8,136.7,187.7,155.5,-1.0,-1.0,80.4,-1.0
2,Bihar,901,Champaram,1967,-1.0,75.0,86.0,-1.0,-1.0,106.0,95.5,59.9,99.5,90.0,149.2,203.5,120.5,-1.0,-1.0,146.8,-1.0
2,Bihar,901,Champaram,1968,-1.0,58.0,81.4,-1.0,-1.0,62.8,59.7,54.8,84.5,72.3,115.0,156.0,134.4,-1.0,-1.0,108.0,-1.0
2,Bihar,901,Champaram,1969,-1.0,70.0,80.5,-1.0,-1.0,60.0,58.0,54.0,85.0,74.0,162.1,140.1,135.5,-1.0,-1.0,95.0,-1.0
2,Bihar,901,Champaram,1970,-1.0,64.0,78.0,-1.0,-1.0,59.0,58.0,40.0,80.0,90.0,160.0,214.0,160.0,-1.0,-1.0,96.0,-1.0
2,Bihar,901,Champaram,1971,-1.0,59.0,80.0,-1.0,-1.0,75.0,48.2,48.0,110.0,94.0,165.5,215.0,175.0,-1.0,-1.0,108.0,-1.0
2,Bihar,901,Champaram,1972,-1.0,75.0,107.0,-1.0,-1.0,68.0,49.0,60.0,125.0,125.0,240.2,240.0,130.0,-1.0,-1.0,140.0,-1.0
2,Bihar,901,Champaram,1973,-1.0,110.0,170.0,-1.0,-1.0,103.0,62.0,97.5,162.5,137.5,222.0,291.2,275.0,-1.0,-1.0,125.0,-1.0
2,Bihar,901,Champaram,1974,-1.0,95.0,150.0,-1.0,-1.0,155.0,112.1,83.5,170.0,150.0,240.3,301.7,225.0,-1.0,-1.0,140.0,-1.0
2,Bihar,901,Champaram,1975,-1.0,73.6,114.0,-1.0,-1.0,104.9,112.1,62.6,135.7,150.0,220.3,274.8,165.7,-1.0,-1.0,124.2,-1.0
2,Bihar,901,Champaram,1976,-1.0,79.5,110.0,-1.0,-1.0,80.0,93.4,70.0,175.0,173.0,209.9,353.4,351.4,-1.0,-1.0,128.0,-1.0
2,Bihar,901,Champaram,1977,-1.0,87.7,107.2,-1.0,-1.0,119.9,102.3,68.3,190.0,200.0,232.8,364.4,375.0,-1.0,-1.0,145.4,-1.0
2,Bihar,901,Champaram,1978,-1.0,99.3,99.4,-1.0,-1.0,113.9,93.1,75.0,197.5,214.9,300.0,359.6,362.0,-1.0,-1.0,133.0,-1.0
2,Bihar,901,Champaram,1979,-1.0,97.7,112.5,-1.0,-1.0,117.5,91.8,83.3,250.0,211.5,374.8,371.2,412.1,-1.0,-1.0,180.2,-1.0
2,Bihar,901,Champaram,1980,-1.0,98.5,132.6,-1.0,-1.0,120.9,122.5,111.7,325.0,267.2,454.5,531.5,412.2,-1.0,-1.0,280.1,-1.0
2,Bihar,901,Champaram,1981,-1.0,112.2,158.6,-1.0,-1.0,136.7,111.3,123.3,316.7,278.4,504.0,510.6,410.0,-1.0,-1.0,245.3,-1.0
2,Bihar,901,Champaram,1982,-1.0,163.9,192.4,-1.0,-1.0,188.7,148.1,141.7,308.0,350.0,524.2,534.1,466.4,-1.0,-1.0,204.7,-1.0
2,Bihar,901,Champaram,1983,-1.0,169.5,163.8,-1.0,-1.0,176.2,160.4,128.0,338.0,368.0,597.7,673.7,629.2,-1.0,-1.0,246.7,-1.0
2,Bihar,901,Champaram,1984,-1.0,177.4,155.8,-1.0,-1.0,180.0,165.5,100.9,337.8,388.8,687.7,596.9,486.4,-1.0,-1.0,265.2,-1.0
2,Bihar,901,Champaram,1985,-1.0,171.1,175.0,-1.0,-1.0,179.1,161.7,117.1,400.0,400.0,609.9,622.0,526.2,-1.0,-1.0,292.1,-1.0
2,Bihar,901,Champaram,1986,-1.0,182.5,205.0,-1.0,-1.0,195.0,172.5,155.0,450.0,475.0,-1.0,650.0,712.5,525.0,505.0,310.0,-1.0
2,Bihar,901,Champaram,1987,-1.0,221.3,197.5,-1.0,-1.0,202.5,180.0,167.5,462.5,615.0,-1.0,675.0,706.3,600.0,562.5,325.0,-1.0
2,Bihar,901,Champaram,1988,-1.0,218.2,222.5,-1.0,-1.0,205.0,205.0,177.0,587.5,569.9,-1.0,1000.0,575.0,-1.0,500.0,350.0,-1.0
2,Bihar,901,Champaram,1989,-1.0,955.0,485.0,-1.0,-1.0,420.0,410.0,365.0,1195.0,1290.0,-1.0,-1.0,1215.0,-1.0,1150.0,900.0,-1.0
2,Bihar,901,Champaram,1990,-1.0,247.4,287.5,-1.0,-1.0,-1.0,210.0,252.5,725.0,927.5,-1.0,-1.0,802.5,-1.0,685.0,480.0,-1.0
2,Bihar,901,Champaram,1991,-1.0,340.4,320.0,-1.0,-1.0,-1.0,233.0,272.5,730.0,837.5,-1.0,-1.0,792.5,-1.0,700.0,432.5,-1.0
2,Bihar,901,Champaram,1992,-1.0,324.9,334.4,-1.0,-1.0,-1.0,250.0,275.0,850.0,800.0,-1.0,-1.0,887.5,-1.0,712.5,650.0,-1.0
2,Bihar,901,Champaram,1993,-1.0,395.0,387.5,-1.0,-1.0,-1.0,300.0,410.0,1000.0,-1.0,-1.0,-1.0,1050.0,-1.0,800.0,550.0,-1.0
2,Bihar,901,Champaram,1994,-1.0,390.0,363.8,-1.0,-1.0,-1.0,-1.0,325.0,931.3,1200.0,-1.0,-1.0,1175.0,-1.0,950.0,700.0,-1.0
2,Bihar,901,Champaram,1995,-1.0,678.0,465.0,-1.0,-1.0,380.0,310.0,390.0,982.0,-1.0,-1.0,-1.0,1141.0,-1.0,-1.0,675.0,-1.0
2,Bihar,901,Champaram,1996,-1.0,765.5,494.5,621.0,615.0,429.5,-1.0,388.0,1016.5,1214.5,-1.0,1345.5,1218.0,950.0,1098.0,822.5,-1.0
2,Bihar,901,Champaram,1997,-1.0,853.0,477.0,-1.0,-1.0,425.0,358.0,325.0,1283.0,1313.5,-1.0,1492.5,1307.5,983.0,-1.0,862.5,-1.0
2,Bihar,901,Champaran ,1998,-1.0,-1.0,609.0,-1.0,-1.0,449.5,-1.0,460.5,1338.0,1466.5,-1.0,1588.5,1339.5,-1.0,1224.0,-1.0,-1.0
2,Bihar,901,Champaran ,1999,-1.0,-1.0,579.0,-1.0,567.0,460.5,410.0,450.0,1361.0,1491.0,-1.0,-1.0,1395.0,-1.0,1198.0,887.5,-1.0
2,Bihar,901,Champaran ,2000,-1.0,-1.0,533.5,-1.0,-1.0,381.0,-1.0,430.0,1522.0,1535.0,-1.0,-1.0,1384.5,-1.0,1227.0,1000.0,-1.0
2,Bihar,901,Champaran ,2001,-1.0,-1.0,514.5,-1.0,-1.0,385.0,-1.0,435.5,1629.0,1586.5,1430.0,-1.0,1380.0,-1.0,1187.0,1080.0,-1.0
2,Bihar,901,Champaran ,2002,-1.0,-1.0,519.5,313.0,359.0,398.5,-1.0,404.0,1663.0,1607.0,-1.0,1773.0,1463.0,-1.0,1334.0,-1.0,-1.0
2,Bihar,901,Champaran ,2003,-1.0,-1.0,566.0,-1.0,-1.0,403.0,354.0,411.0,1687.5,1642.0,-1.0,-1.0,-1.0,-1.0,1399.0,-1.0,-1.0
2,Bihar,901,Champaran,2006,-1.0,475.0,833.5,-1.0,-1.0,536.5,-1.0,-1.0,-1.0,1958.0,-1.0,1959.8,1725.0,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,2007,-1.0,593.3,937.0,-1.0,-1.0,575.0,-1.0,-1.0,-1.0,2029.0,-1.0,2173.1,2045.5,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,2008,-1.0,631.8,986.5,-1.0,-1.0,621.8,-1.0,750.5,-1.0,-1.0,-1.0,2534.6,2100.5,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,2009,-1.0,793.0,1053.0,-1.0,-1.0,850.5,-1.0,-1.0,-1.0,-1.0,-1.0,4246.3,-1.0,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,2010,-1.0,851.5,1047.0,-1.0,806.0,845.0,725.0,792.0,2401.0,3216.0,-1.0,3870.3,2641.0,-1.0,2172.0,2889.0,-1.0
2,Bihar,901,Champaran,2011,-1.0,884.3,1054.5,-1.0,834.0,905.8,795.0,838.0,2524.0,3260.0,5500.0,4227.8,3036.0,-1.0,2451.0,3031.0,-1.0
2,Bihar,902,Muzaffarpur,1966,-1.0,93.8,124.7,-1.0,-1.0,83.1,90.6,83.1,113.7,82.7,136.7,189.8,165.7,-1.0,-1.0,93.8,-1.0
2,Bihar,902,Muzaffarpur,1967,-1.0,84.9,85.8,-1.0,-1.0,107.2,107.2,50.5,83.7,74.3,149.2,202.2,124.0,-1.0,-1.0,175.1,-1.0
2,Bihar,902,Muzaffarpur,1968,-1.0,55.0,110.0,-1.0,-1.0,64.3,65.8,63.0,89.0,87.0,115.0,140.0,160.0,-1.0,-1.0,106.1,-1.0
