STCODE,STNAME,DIST,DISTNAME,YEAR,FODDER_TA,FODDER_TAI
2,Bihar,901,Champaran,1966,-1.000,0.000
2,Bihar,901,Champaran,1967,-1.000,0.000
2,Bihar,901,Champaran,1968,-1.000,0.000
2,Bihar,901,Champaran,1969,-1.000,0.000
2,Bihar,901,Champaran,1970,0.310,0.000
2,Bihar,901,champaran,1971,0.280,0.000
2,Bihar,901,champaran,1972,0.300,0.000
2,Bihar,901,Champaran,1973,0.260,0.000
2,Bihar,901,Champaran,1974,0.220,0.000
2,Bihar,901,Champaran,1975,0.240,0.000
2,Bihar,901,Champaran,1976,0.310,0.000
2,Bihar,901,Champaran,1977,0.240,0.000
2,Bihar,901,Champaran,1978,0.450,0.070
2,Bihar,901,Champaran,1979,0.670,0.060
2,Bihar,901,Champaran,1980,0.440,0.000
2,Bihar,901,Champaran,1981,0.450,0.000
2,Bihar,901,Champaran,1982,0.460,0.000
2,Bihar,901,Champaran,1983,0.510,0.000
2,Bihar,901,Champaran,1984,0.390,0.000
2,Bihar,901,Champaran,1985,0.600,0.000
2,Bihar,901,Champaran,1986,-1.000,0.000
2,Bihar,901,Champaran,1987,0.160,0.000
2,Bihar,901,Champaran,1988,-1.000,0.000
2,Bihar,901,Champaran,1989,-1.000,0.000
2,Bihar,901,Champaran,1990,0.130,0.000
2,Bihar,901,Champaran,1991,-1.000,0.000
2,Bihar,901,Champaran,1992,1.000,0.030
2,Bihar,901,Champaran,1998,0.000,0.000
2,Bihar,901,Champaran,1999,0.000,0.000
2,Bihar,901,Champaran,2000,0.000,0.000
2,Bihar,901,Champaran,2001,0.000,0.000
2,Bihar,901,Champaran,2002,0.400,0.000
2,Bihar,901,Champaran,2003,0.400,0.000
2,Bihar,901,Champaran,2004,0.090,0.000
2,Bihar,901,Champaran,2005,0.084,0.000
2,Bihar,901,Champaran,2006,0.076,0.000
2,Bihar,901,Champaran,2007,0.025,0.000
2,Bihar,901,Champaran,2008,0.000,0.000
2,Bihar,901,Champaran,2009,0.018,0.000
2,Bihar,901,Champaran,2010,0.000,0.000
2,Bihar,901,Champaran,2011,0.000,0.000
2,Bihar,902,Muzaffarpur,1966,-1.000,0.000
2,Bihar,902,Muzaffarpur,1967,-1.000,0.000
2,Bihar,902,Muzaffarpur,1968,-1.000,0.000
2,Bihar,902,Muzaffarpur,1969,-1.000,0.000
2,Bihar,902,Muzzafarpur,1970,1.460,0.000
2,Bihar,902,Muzaffarpur,1971,1.170,0.010
2,Bihar,902,Muzaffarpur,1972,1.490,0.000
2,Bihar,902,Muzaffarpur,1973,1.420,0.000
2,Bihar,902,Muzaffarpur,1974,1.530,0.000
2,Bihar,902,Muzaffarpur,1975,1.360,0.000
2,Bihar,902,Muzaffarpur,1976,1.770,0.020
2,Bihar,902,Muzaffarpur,1977,1.420,0.000
2,Bihar,902,Muzzafarpur,1978,1.530,0.040
2,Bihar,902,Muzzafarpur,1979,1.870,0.010
2,Bihar,902,Muzzafarpur,1980,2.210,0.010
2,Bihar,902,Muzzafarpur,1981,2.150,0.000
2,Bihar,902,Muzzafarpur,1982,1.920,0.020
2,Bihar,902,Muzzafarpur,1983,2.480,0.010
2,Bihar,902,Muzzafarpur,1984,2.240,0.000
2,Bihar,902,Muzzafarpur,1985,2.610,0.000
2,Bihar,902,Muzzafarpur,1986,-1.000,0.000
2,Bihar,902,Muzaffarpur,1987,2.150,0.000
2,Bihar,902,Muzaffarpur,1988,-1.000,0.000
2,Bihar,902,Muzaffarpur,1989,-1.000,0.000
2,Bihar,902,Muzaffarpur,1990,1.900,0.000
2,Bihar,902,Muzaffarpur,1991,-1.000,0.000
2,Bihar,902,Muzaffarpur,1992,2.000,0.000
2,Bihar,902,Muzaffarpur,1998,1.190,0.030
2,Bihar,902,Muzaffarpur,1999,2.080,0.000
2,Bihar,902,Muzaffarpur,2000,3.390,0.000
2,Bihar,902,Muzaffarpur,2001,2.550,0.010
2,Bihar,902,Muzaffarpur,2002,3.290,0.010
2,Bihar,902,Muzaffarpur,2003,2.160,0.000
2,Bihar,902,Muzaffarpur,2004,5.858,0.091
2,Bihar,902,Muzaffarpur,2005,3.714,0.204
2,Bihar,902,Muzaffarpur,2006,4.721,0.025
2,Bihar,902,Muzaffarpur,2007,5.074,0.000
2,Bihar,902,Muzaffarpur,2008,3.586,0.000
2,Bihar,902,Muzaffarpur,2009,5.809,0.055
2,Bihar,902,Muzaffarpur,2010,5.748,0.082
2,Bihar,902,Muzaffarpur,2011,5.705,0.082
2,Bihar,903,Darbhanga,1966,-1.000,0.000
2,Bihar,903,Darbhanga,1967,-1.000,0.020
2,Bihar,903,Darbhanga,1968,-1.000,0.030
2,Bihar,903,Darbhanga,1969,-1.000,0.000
2,Bihar,903,Darbhanga,1970,0.720,0.000
2,Bihar,903,Darbhanga,1971,0.860,0.000
2,Bihar,903,Darbhanga,1972,0.720,0.000
2,Bihar,903,Darbhanga,1973,1.080,0.000
2,Bihar,903,Darbhanga,1974,1.050,0.020
2,Bihar,903,Darbhanga,1975,0.750,0.000
2,Bihar,903,Darbhanga,1976,0.850,0.000
2,Bihar,903,Darbhanga,1977,0.630,0.000
2,Bihar,903,Darbhanga,1978,0.950,0.010
2,Bihar,903,Darbhanga,1979,0.860,0.000
2,Bihar,903,Darbhanga,1980,0.830,0.000
2,Bihar,903,Darbhanga,1981,0.690,0.000
2,Bihar,903,Darbhanga,1982,0.910,0.000
2,Bihar,903,Darbhanga,1983,0.870,0.000
2,Bihar,903,Darbhanga,1984,1.170,0.000
2,Bihar,903,Darbhanga,1985,1.160,0.000
2,Bihar,903,Darbhanga,1986,-1.000,0.000
2,Bihar,903,Darbhanga,1987,1.120,0.000
2,Bihar,903,Darbhanga,1988,-1.000,0.010
