STCODE,STNAME,DIST,DISTNAME,YEAR,RICE_TAH,WHT_TAH,SORG_TAH,PMLT_TAH,MAIZ_TAH,FMLT_TAH,TOTAL_HYV
2,Bihar,901,Champaran,1966,15.49,3.13,0.00,0.00,0.34,0.00,18.96
2,Bihar,901,Champaran,1967,59.19,25.04,0.00,0.00,2.43,0.00,86.66
2,Bihar,901,Champaran,1968,62.42,38.81,0.00,0.00,1.76,0.00,102.99
2,Bihar,901,Champaran,1969,83.23,53.21,0.00,0.00,2.26,0.00,138.70
2,Bihar,901,Champaran,1970,80.00,110.93,0.00,0.00,4.52,0.00,195.45
2,Bihar,901,Champaran,1971,101.73,140.51,0.00,0.00,6.78,0.00,249.02
2,Bihar,901,Champaran,1972,104.50,205.33,0.00,0.00,5.73,0.00,315.56
2,Bihar,901,Champaran,1973,147.97,141.23,0.00,0.00,14.45,0.00,303.65
2,Bihar,901,Champaran,1974,160.92,109.05,0.00,0.00,21.35,0.00,291.32
2,Bihar,901,Champaran,1975,177.56,153.87,0.00,0.00,15.37,0.00,346.80
2,Bihar,901,Champaran,1976,230.74,191.00,0.00,0.00,9.11,0.00,430.85
2,Bihar,901,Champaran,1977,300.56,159.00,0.00,0.00,14.90,0.00,474.46
2,Bihar,901,Champaran,1978,315.59,165.00,0.00,0.00,15.80,0.00,496.39
2,Bihar,901,Champaran,1979,245.07,162.00,0.00,0.00,16.06,0.00,423.13
2,Bihar,901,Champaran,1980,324.52,154.00,0.00,0.00,20.17,0.00,498.69
2,Bihar,901,Champaran,1981,346.80,141.00,0.00,0.00,17.63,0.00,505.43
2,Bihar,901,Champaran,1982,337.55,138.43,0.00,0.00,25.99,0.00,501.97
2,Bihar,901,Champaran,1983,415.00,145.16,0.00,0.00,25.49,0.00,585.65
2,Bihar,901,Champaran,1984,421.36,153.61,0.00,0.00,29.44,0.00,604.41
2,Bihar,901,Champaran,1985,427.50,166.31,0.00,0.00,18.13,0.00,611.94
2,Bihar,901,Champaran,1986,420.00,164.31,0.00,0.00,27.24,0.00,611.55
2,Bihar,901,Champaran,1987,390.86,169.17,0.00,0.00,25.88,0.00,585.91
2,Bihar,901,Champaran,1988,125.00,139.00,0.00,0.00,21.00,0.00,285.00
2,Bihar,901,Champaran,1989,114.00,142.00,0.00,0.00,23.00,0.00,279.00
2,Bihar,901,Champaran,1990,102.00,131.00,0.00,0.00,24.00,0.00,257.00
2,Bihar,901,Champaran,2000,116.00,147.00,0.00,0.00,10.00,0.00,273.00
2,Bihar,901,Champaran,2001,100.00,165.00,0.00,0.00,13.00,0.00,278.00
2,Bihar,901,Champaran,2002,108.00,137.00,0.00,0.00,11.00,0.00,256.00
2,Bihar,901,Champaran,2003,106.00,144.00,0.00,0.00,-1.00,0.00,250.00
2,Bihar,901,Champaran,2005,163.00,180.00,-1.00,-1.00,32.00,-1.00,375.00
2,Bihar,901,Champaran,2006,255.00,182.00,-1.00,-1.00,32.00,-1.00,469.00
2,Bihar,901,Champaran,2007,259.00,192.00,-1.00,-1.00,35.00,-1.00,486.00
2,Bihar,901,Champaran,2008,238.00,189.00,-1.00,-1.00,30.00,-1.00,457.00
2,Bihar,902,Muzaffarpur,1966,2.94,2.13,0.00,0.00,0.81,0.00,5.88
2,Bihar,902,Muzaffarpur,1967,11.24,17.00,0.00,0.00,5.03,0.00,33.27
2,Bihar,902,Muzaffarpur,1968,11.85,26.35,0.00,0.00,3.65,0.00,41.85
2,Bihar,902,Muzaffarpur,1969,15.80,36.13,0.00,0.00,4.67,0.00,56.60
2,Bihar,902,Muzaffarpur,1970,15.19,71.67,0.00,0.00,9.89,0.00,96.75
2,Bihar,902,Muzaffarpur,1971,19.32,77.82,0.00,0.00,14.46,0.00,111.60
2,Bihar,902,Muzaffarpur,1972,19.84,139.40,0.00,0.00,13.16,0.00,172.40
2,Bihar,902,Muzaffarpur,1973,28.10,88.11,0.00,0.00,41.84,0.00,158.05
2,Bihar,902,Muzaffarpur,1974,30.55,74.04,0.00,0.00,48.27,0.00,152.86
2,Bihar,902,Muzaffarpur,1975,33.72,104.47,0.00,0.00,29.65,0.00,167.84
2,Bihar,902,Muzaffarpur,1976,43.81,145.95,0.00,0.00,22.57,0.00,212.33
2,Bihar,902,Muzaffarpur,1977,57.07,120.53,0.00,0.00,31.36,0.00,208.96
2,Bihar,902,Muzaffarpur,1978,59.92,122.40,0.00,0.00,33.21,0.00,215.53
2,Bihar,902,Muzaffarpur,1979,46.53,119.00,0.00,0.00,33.90,0.00,199.43
2,Bihar,902,Muzaffarpur,1980,61.60,104.58,0.00,0.00,41.42,0.00,207.60
2,Bihar,902,Muzaffarpur,1981,65.85,122.00,0.00,0.00,34.80,0.00,222.65
2,Bihar,902,Muzaffarpur,1982,64.09,128.67,0.00,0.00,53.06,0.00,245.82
2,Bihar,902,Muzaffarpur,1983,87.80,137.19,0.00,0.00,55.25,0.00,280.24
2,Bihar,902,Muzaffarpur,1984,100.97,147.12,0.00,0.00,62.58,0.00,310.67
2,Bihar,902,Muzaffarpur,1985,121.95,127.50,0.00,0.00,40.61,0.00,290.06
2,Bihar,902,Muzaffarpur,1986,120.64,146.72,0.00,0.00,61.32,0.00,328.68
2,Bihar,902,Muzaffarpur,1987,131.70,156.12,0.00,0.00,69.56,0.00,357.38
2,Bihar,902,Muzaffarpur,1988,60.00,129.00,0.00,0.00,54.00,0.00,243.00
2,Bihar,902,Muzaffarpur,1989,81.00,125.00,0.00,0.00,46.00,0.00,252.00
2,Bihar,902,Muzaffarpur,1990,82.00,125.00,0.00,0.00,43.00,0.00,250.00
2,Bihar,902,Muzaffarpur,2000,77.00,134.00,0.00,0.00,28.00,0.00,239.00
2,Bihar,902,Muzaffarpur,2001,95.00,147.00,0.00,0.00,28.00,0.00,270.00
2,Bihar,902,Muzaffarpur,2002,96.00,143.00,0.00,0.00,29.00,0.00,268.00
2,Bihar,902,Muzaffarpur,2003,92.00,129.00,0.00,0.00,-1.00,0.00,221.00
2,Bihar,902,Muzaffarpur,2005,137.00,145.00,-1.00,-1.00,31.00,-1.00,313.00
2,Bihar,902,Muzaffarpur,2006,146.00,154.00,-1.00,-1.00,30.00,-1.00,330.00
2,Bihar,902,Muzaffarpur,2007,127.00,165.00,-1.00,-1.00,27.00,-1.00,319.00
2,Bihar,902,Muzaffarpur,2008,174.00,169.00,-1.00,-1.00,31.00,-1.00,374.00
2,Bihar,903,Darbhanga,1966,4.04,2.05,0.00,0.00,0.70,0.00,6.79
2,Bihar,903,Darbhanga,1967,15.44,16.36,0.00,0.00,5.11,0.00,36.91
2,Bihar,903,Darbhanga,1968,16.28,25.36,0.00,0.00,3.71,0.00,45.35
2,Bihar,903,Darbhanga,1969,21.71,34.77,0.00,0.00,4.75,0.00,61.23
2,Bihar,903,Darbhanga,1970,20.86,72.47,0.00,0.00,9.50,0.00,102.83
2,Bihar,903,Darbhanga,1971,26.53,98.95,0.00,0.00,14.76,0.00,140.24
2,Bihar,903,Darbhanga,1972,27.26,134.15,0.00,0.00,10.95,0.00,172.36
2,Bihar,903,Darbhanga,1973,38.59,79.82,0.00,0.00,33.29,0.00,151.70
2,Bihar,903,Darbhanga,1974,41.97,71.25,0.00,0.00,40.20,0.00,153.42
2,Bihar,903,Darbhanga,1975,46.31,100.53,0.00,0.00,27.27,0.00,174.11
2,Bihar,903,Darbhanga,1976,60.18,108.00,0.00,0.00,21.38,0.00,189.56
2,Bihar,903,Darbhanga,1977,78.39,115.99,0.00,0.00,34.10,0.00,228.48
2,Bihar,903,Darbhanga,1978,82.31,117.79,0.00,0.00,33.62,0.00,233.72
2,Bihar,903,Darbhanga,1979,63.92,114.52,0.00,0.00,34.79,0.00,213.23
2,Bihar,903,Darbhanga,1980,84.63,100.64,0.00,0.00,44.15,0.00,229.42
2,Bihar,903,Darbhanga,1981,90.45,117.00,0.00,0.00,36.66,0.00,244.11
2,Bihar,903,Darbhanga,1982,88.04,78.32,0.00,0.00,50.37,0.00,216.73
2,Bihar,903,Darbhanga,1983,120.60,127.06,0.00,0.00,57.20,0.00,304.86
2,Bihar,903,Darbhanga,1984,138.69,131.47,0.00,0.00,58.21,0.00,328.37
2,Bihar,903,Darbhanga,1985,167.51,122.70,0.00,0.00,36.88,0.00,327.09
2,Bihar,903,Darbhanga,1986,165.70,133.60,0.00,0.00,57.51,0.00,356.81
2,Bihar,903,Darbhanga,1987,180.90,146.25,0.00,0.00,56.34,0.00,383.49
2,Bihar,903,Darbhanga,1988,54.00,117.00,0.00,0.00,43.00,0.00,214.00
2,Bihar,903,Darbhanga,1989,66.00,116.00,0.00,0.00,52.00,0.00,234.00
2,Bihar,903,Darbhanga,1990,88.00,115.00,0.00,0.00,53.00,0.00,256.00
2,Bihar,903,Dharbanga,2000,88.00,136.00,0.00,0.00,15.00,0.00,239.00
2,Bihar,903,Dharbanga,2001,89.00,148.00,0.00,0.00,15.00,0.00,252.00
2,Bihar,903,Dharbanga,2002,95.00,151.00,0.00,0.00,14.00,0.00,260.00
2,Bihar,903,Dharbanga,2003,98.00,146.00,0.00,0.00,-1.00,0.00,244.00
2,Bihar,903,Darbhanga,2005,96.00,150.00,-1.00,-1.00,15.00,-1.00,261.00
2,Bihar,903,Darbhanga,2006,132.00,146.00,-1.00,-1.00,14.00,-1.00,292.00
2,Bihar,903,Darbhanga,2007,147.00,159.00,-1.00,-1.00,13.00,-1.00,319.00
2,Bihar,903,Darbhanga,2008,175.00,162.00,-1.00,-1.00,21.00,-1.00,358.00
2,Bihar,904,Saharsa,1966,3.41,1.22,0.00,0.00,0.52,0.00,5.15
2,Bihar,904,Saharsa,1967,13.03,9.78,0.00,0.00,3.23,0.00,26.04
2,Bihar,904,Saharsa,1968,13.74,15.16,0.00,0.00,2.34,0.00,31.24
2,Bihar,904,Saharsa,1969,18.32,20.78,0.00,0.00,3.00,0.00,42.10
2,Bihar,904,Saharsa,1970,17.61,43.33,0.00,0.00,6.26,0.00,67.20
