STCODE,STNAME,DIST,DISTNAME,YEAR,ANNUAL,JUNE,JULAUGRF
2,Bihar,901,Champaran,1966,1145.0,317.0,427.0
2,Bihar,901,Champaran,1967,1061.0,130.0,377.0
2,Bihar,901,Champaran,1968,1212.0,217.0,651.0
2,Bihar,901,Champaran,1969,1563.0,166.0,875.0
2,Bihar,901,Champaran,1970,1428.0,284.0,598.0
2,Bihar,901,Champaran,1971,1392.0,247.0,645.0
2,Bihar,901,Champaran,1972,1073.0,158.0,543.0
2,Bihar,901,Champaran,1973,1665.0,151.0,721.0
2,Bihar,901,Champaran,1974,1803.0,169.0,1115.0
2,Bihar,901,Champaran,1975,1280.0,143.0,724.0
2,Bihar,901,Champaran,1976,1247.0,121.0,728.0
2,Bihar,901,Champaran,1977,1392.0,196.0,537.0
2,Bihar,901,Champaran,1978,1455.0,205.0,561.0
2,Bihar,901,Champaran,1979,1248.0,176.0,481.0
2,Bihar,901,Champaran,1980,1368.0,197.0,869.0
2,Bihar,901,Champaran,1981,1527.0,164.0,943.0
2,Bihar,901,Champaran,1982,942.0,232.0,483.0
2,Bihar,901,Champaran,1983,1155.0,37.0,711.0
2,Bihar,901,Champaran,1984,1548.0,339.0,709.0
2,Bihar,901,Champaran,1985,1734.0,264.0,790.0
2,Bihar,901,Champaran,1986,1754.0,207.0,949.0
2,Bihar,901,Champaran,1987,1491.0,117.0,900.0
2,Bihar,901,Champaran,1988,951.0,132.0,524.0
2,Bihar,901,Champaran,1989,1281.5,141.5,312.9
2,Bihar,901,Champaran,1990,1102.0,126.0,656.0
2,Bihar,901,Champaran,1991,994.0,256.0,565.0
2,Bihar,901,Champaran,1992,881.0,100.0,488.0
2,Bihar,901,Champaran,1993,1255.0,167.0,750.0
2,Bihar,902,Muzzafarpur,1966,636.0,176.0,238.0
2,Bihar,902,Muzzafarpur,1967,1081.0,132.0,384.0
2,Bihar,902,Muzzafarpur,1968,987.0,177.0,529.0
2,Bihar,902,Muzzafarpur,1969,1328.0,141.0,744.0
2,Bihar,902,Muzzafarpur,1970,933.0,185.0,391.0
2,Bihar,902,Muzzafarpur,1971,849.0,151.0,393.0
2,Bihar,902,Muzzafarpur,1972,998.0,147.0,505.0
2,Bihar,902,Muzzafarpur,1973,1549.0,140.0,671.0
2,Bihar,902,Muzzafarpur,1974,1677.0,157.0,1037.0
2,Bihar,902,Muzzafarpur,1975,1191.0,133.0,674.0
2,Bihar,902,Muzzafarpur,1976,1247.0,121.0,728.0
2,Bihar,902,Muzzafarpur,1977,1184.0,167.0,456.0
2,Bihar,902,Muzzafarpur,1978,1344.0,189.0,518.0
2,Bihar,902,Muzzafarpur,1979,1160.0,163.0,447.0
2,Bihar,902,Muzzafarpur,1980,1274.0,68.0,853.0
2,Bihar,902,Muzzafarpur,1981,1719.0,114.0,1156.0
2,Bihar,902,Muzzafarpur,1982,961.0,226.0,418.0
2,Bihar,902,Muzzafarpur,1983,1100.0,119.0,588.0
2,Bihar,902,Muzzafarpur,1984,1172.0,323.0,521.0
2,Bihar,902,Muzzafarpur,1985,1847.0,213.0,739.0
2,Bihar,902,Muzzafarpur,1986,1380.0,167.0,819.0
2,Bihar,902,Muzzafarpur,1987,1628.0,74.0,1045.0
2,Bihar,902,Muzzafarpur,1988,607.0,136.0,384.0
