STCODE,STNAME,DIST,DISTNAME,YEAR,TOTGEOG,FOREST,BARREN,NONAGRI,CWASTE,PPASTUR,OTFALOW,CUFALOW
2,Bihar,901,Champaran,1966,916.10,92.10,39.60,87.50,7.90,8.70,14.40,45.70
2,Bihar,901,Champaran,1967,916.10,85.80,19.50,111.20,6.80,6.90,15.50,35.70
2,Bihar,901,Champaran,1968,916.10,88.50,19.10,108.90,5.80,6.10,15.00,34.60
2,Bihar,901,Champaran,1969,916.10,88.60,19.10,111.40,4.60,5.40,15.10,40.80
2,Bihar,901,Champaran,1970,916.10,88.60,18.80,112.90,3.50,4.30,13.70,39.00
2,Bihar,901,Champaran,1971,916.10,88.60,18.40,113.00,3.40,3.90,11.90,42.60
2,Bihar,901,Champaran,1972,916.10,82.40,16.30,116.70,2.60,3.30,7.90,25.00
2,Bihar,901,Champaran,1973,916.10,82.40,27.40,106.70,3.00,3.40,10.50,41.40
2,Bihar,901,Champaran,1974,916.10,82.40,25.60,105.80,3.20,3.60,11.10,44.70
2,Bihar,901,Champaran,1975,916.10,82.40,25.30,116.60,4.10,2.90,10.30,40.70
2,Bihar,901,Champaran,1976,916.10,82.40,25.30,114.30,3.90,3.00,11.00,49.40
2,Bihar,901,Champaran,1977,916.10,82.60,10.10,113.60,3.30,3.00,4.40,47.00
2,Bihar,901,Champaran,1978,916.10,82.40,9.50,115.20,3.40,3.00,13.90,51.50
2,Bihar,901,Champaran,1979,916.10,100.10,9.90,128.90,6.10,3.30,13.90,43.30
2,Bihar,901,Champaran,1980,916.10,91.50,9.00,129.00,5.20,3.20,12.20,44.40
2,Bihar,901,Champaran,1981,916.10,91.90,11.20,128.00,5.30,3.10,12.90,59.80
2,Bihar,901,Champaran,1982,916.10,91.90,11.20,129.70,6.40,3.10,12.80,65.50
2,Bihar,901,Champaran,1983,916.10,91.90,11.20,135.00,5.80,3.10,13.20,54.70
2,Bihar,901,Champaran,1984,916.10,91.90,11.20,139.90,5.80,3.10,12.40,45.10
2,Bihar,901,Champaran,1985,916.10,91.90,11.20,140.40,5.60,2.70,12.50,40.90
2,Bihar,901,Champaran,1986,916.10,91.90,11.20,140.40,5.50,5.60,10.30,37.50
2,Bihar,901,Champaran,1987,916.10,91.90,11.20,151.90,5.30,5.60,12.20,42.60
2,Bihar,901,Champaran,1988,916.10,91.90,11.20,151.90,5.30,5.60,12.20,42.60
2,Bihar,901,Champaran,1989,916.10,91.87,15.19,177.35,5.65,3.92,12.68,52.04
2,Bihar,901,Champaran,1990,919.60,91.80,11.20,145.30,5.50,3.80,9.70,38.10
2,Bihar,901,Champaran,1991,916.10,91.80,11.20,148.50,5.90,3.50,10.70,38.10
2,Bihar,901,Champaran,1992,916.10,91.80,11.20,149.30,5.70,3.90,8.80,55.00
2,Bihar,901,Champaran,1993,916.10,91.80,11.20,146.00,5.30,3.60,8.70,51.80
2,Bihar,901,Champaran,1994,916.10,91.80,11.20,114.70,2.80,2.00,8.20,49.50
2,Bihar,901,Champaran,1995,916.07,91.87,11.24,163.37,2.13,1.84,8.90,54.30
2,Bihar,901,Champaran,1996,1095.66,91.87,15.19,178.71,2.19,1.87,8.82,47.27
2,Bihar,901,Champaran,1997,916.00,92.00,11.00,152.00,2.00,2.00,6.00,27.00
2,Bihar,901,Champaran,1998,916.00,91.87,11.00,156.05,1.00,2.00,6.00,16.00
2,Bihar,901,Champaran,1999,916.07,91.87,11.24,156.56,1.66,1.66,6.47,15.60
2,Bihar,901,Champaran,2000,916.07,91.87,11.24,168.72,1.65,1.65,6.46,24.75
2,Bihar,901,Champaran,2001,916.07,91.87,11.23,168.84,1.65,1.65,6.46,23.75
2,Bihar,901,Champaran,2002,916.07,91.87,11.22,168.92,1.65,1.65,6.46,23.80
2,Bihar,901,Champaran,2003,916.07,91.87,11.22,169.03,1.63,1.64,6.43,32.54
2,Bihar,901,Champaran,2004,916.07,91.87,11.22,169.07,1.62,1.64,6.06,20.32
2,Bihar,901,Champaran,2005,916.07,91.86,11.21,169.16,1.62,1.63,6.04,23.39
2,Bihar,901,Champaran,2006,1095.66,91.87,15.16,199.48,1.61,1.68,6.67,31.98
2,Bihar,901,Champaran,2007,1095.66,91.87,14.95,199.83,1.61,1.68,6.63,28.30
2,Bihar,901,Champaran,2008,1095.66,91.87,14.92,201.69,1.56,1.66,6.65,51.47
2,Bihar,901,Champaran,2009,1095.66,91.87,14.92,202.60,1.56,1.64,6.63,44.60
2,Bihar,901,Champaran,2010,1095.66,91.87,14.92,203.56,1.56,1.64,6.63,66.11
2,Bihar,901,Champaran,2011,1095.66,91.87,14.92,203.57,1.56,1.64,6.60,52.66
2,Bihar,902,Muzaffarpur,1966,782.20,0.20,38.10,98.40,5.50,6.20,7.10,57.00
2,Bihar,902,Muzaffarpur,1967,782.20,0.00,21.30,103.80,1.60,4.00,12.50,56.50
2,Bihar,902,Muzaffarpur,1968,782.20,0.00,36.30,94.90,7.60,3.80,5.30,36.30
2,Bihar,902,Muzaffarpur,1969,782.20,0.00,21.90,98.80,0.40,3.80,16.30,44.10
2,Bihar,902,Muzaffarpur,1970,782.20,0.00,22.10,105.20,0.90,2.00,13.20,42.50
2,Bihar,902,Muzaffarpur,1971,782.20,0.00,22.30,111.80,0.80,1.90,6.40,56.00
2,Bihar,902,Muzaffarpur,1972,782.20,0.00,24.50,113.00,1.40,2.10,9.20,50.30
2,Bihar,902,Muzaffarpur,1973,782.30,0.00,24.50,112.20,0.20,2.00,6.10,46.80
2,Bihar,902,Muzaffarpur,1974,782.30,0.00,21.40,119.70,0.50,1.90,7.30,36.50
2,Bihar,902,Muzaffarpur,1975,782.30,0.00,19.30,122.60,0.60,1.50,6.60,38.00
2,Bihar,902,Muzaffarpur,1976,782.30,0.00,21.10,120.40,0.50,1.20,7.40,29.90
2,Bihar,902,Muzaffarpur,1977,782.30,0.00,22.00,117.40,1.30,1.00,7.00,29.60
2,Bihar,902,Muzaffarpur,1978,782.30,0.00,25.00,116.70,0.80,2.80,4.80,30.20
2,Bihar,902,Muzaffarpur,1979,782.30,0.00,29.50,123.40,1.40,2.60,8.30,47.40
2,Bihar,902,Muzaffarpur,1980,782.30,0.10,29.60,123.40,0.50,1.70,7.90,37.90
2,Bihar,902,Muzaffarpur,1981,782.30,0.00,32.80,124.30,1.00,1.40,7.90,46.50
2,Bihar,902,Muzaffarpur,1982,782.30,0.00,32.80,126.50,0.50,1.40,5.50,69.10
2,Bihar,902,Muzaffarpur,1983,782.30,0.00,32.80,133.90,0.50,1.50,9.20,60.60
2,Bihar,902,Muzaffarpur,1984,782.30,0.00,32.80,141.70,0.50,1.50,8.20,49.90
2,Bihar,902,Muzaffarpur,1985,782.30,0.00,32.80,143.90,0.70,1.20,9.60,46.40
2,Bihar,902,Muzaffarpur,1986,782.30,0.00,31.80,153.60,0.70,3.10,4.40,46.70
2,Bihar,902,Muzaffarpur,1987,782.30,0.00,31.80,153.60,0.60,0.90,5.30,60.80
2,Bihar,902,Muzaffarpur,1988,782.30,0.00,31.80,153.60,0.60,0.90,5.30,60.80
2,Bihar,902,Muzaffarpur,1989,785.10,0.00,31.81,151.08,0.89,1.04,5.18,39.31
2,Bihar,902,Muzaffarpur,1990,782.30,0.00,31.80,151.70,0.80,0.90,5.80,39.20
2,Bihar,902,Muzaffarpur,1991,782.20,0.00,31.80,146.40,0.80,2.30,5.00,40.70
2,Bihar,902,Muzaffarpur,1992,782.20,0.00,31.80,139.10,1.80,2.30,5.50,55.90
2,Bihar,902,Muzaffarpur,1993,782.20,0.00,31.80,153.60,1.10,1.90,4.10,39.70
2,Bihar,902,Muzaffarpur,1994,782.20,0.00,31.80,129.30,1.00,1.90,3.30,39.40
2,Bihar,902,Muzaffarpur,1995,782.17,0.00,31.81,152.04,0.97,1.92,3.32,45.24
2,Bihar,902,Muzaffarpur,1996,782.17,0.00,31.81,155.36,0.96,1.92,3.32,43.01
2,Bihar,902,Muzaffarpur,1997,738.00,0.00,31.00,151.00,0.00,1.00,3.00,30.00
2,Bihar,902,Muzaffarpur,1998,738.35,0.00,31.11,154.62,0.00,1.00,3.00,41.00
2,Bihar,902,Muzaffarpur,1999,738.69,0.00,31.39,154.62,0.66,1.84,2.86,40.25
2,Bihar,902,Muzaffarpur,2000,738.69,0.00,31.39,159.81,0.66,1.83,2.88,49.52
2,Bihar,902,Muzaffarpur,2001,738.69,0.00,31.39,160.11,0.66,1.82,2.88,45.83
2,Bihar,902,Muzaffarpur,2002,738.69,0.00,31.37,160.29,0.65,1.82,2.86,44.31
2,Bihar,902,Muzaffarpur,2003,738.69,0.00,31.36,160.42,0.63,1.81,2.82,46.31
2,Bihar,902,Muzaffarpur,2004,738.69,0.00,31.36,160.50,0.63,1.81,2.77,54.90
2,Bihar,902,Muzaffarpur,2005,738.69,0.00,31.35,160.60,0.62,1.79,2.77,54.62
2,Bihar,902,Muzaffarpur,2006,782.17,0.00,31.76,173.03,0.65,1.79,2.66,47.06
2,Bihar,902,Muzaffarpur,2007,782.17,0.00,31.57,173.41,0.65,1.78,2.61,54.76
2,Bihar,902,Muzaffarpur,2008,782.17,0.00,31.53,174.75,0.62,1.76,3.31,32.83
2,Bihar,902,Muzaffarpur,2009,782.17,0.00,31.53,176.75,0.62,1.74,3.27,28.29
2,Bihar,902,Muzaffarpur,2010,782.17,0.00,31.53,177.63,0.61,1.74,3.27,14.30
2,Bihar,902,Muzaffarpur,2011,782.17,0.00,31.53,177.82,0.60,1.74,3.01,14.48
2,Bihar,903,Darbhanga,1966,870.00,0.00,38.20,126.10,5.70,7.90,11.90,91.60
2,Bihar,903,Darbhanga,1967,870.00,0.00,19.40,138.70,2.50,4.60,7.30,67.50
2,Bihar,903,Darbhanga,1968,870.00,0.00,19.40,141.80,2.30,4.20,7.30,62.70
2,Bihar,903,Darbhanga,1969,870.00,0.00,17.60,146.00,4.00,4.40,9.60,51.30
2,Bihar,903,Darbhanga,1970,870.00,0.00,14.70,149.00,2.60,3.60,9.40,59.80
2,Bihar,903,Darbhanga,1971,870.00,0.00,17.30,139.10,3.70,6.70,14.00,65.40
2,Bihar,903,Darbhanga,1972,870.00,0.00,17.40,140.10,3.70,5.40,13.90,107.70
2,Bihar,903,Darbhanga,1973,870.00,0.00,16.50,143.00,2.90,4.60,10.80,91.70
2,Bihar,903,Darbhanga,1974,870.00,0.00,17.40,142.50,2.60,3.80,10.60,103.90
2,Bihar,903,Darbhanga,1975,870.00,0.00,15.80,144.00,2.20,3.90,9.60,80.00
2,Bihar,903,Darbhanga,1976,870.00,0.00,12.70,146.90,2.00,3.70,8.80,62.80
2,Bihar,903,Darbhanga,1977,870.00,0.00,11.70,146.10,1.70,3.70,6.30,62.50
2,Bihar,903,Darbhanga,1978,870.00,0.00,11.40,148.00,2.20,4.40,9.00,71.90
2,Bihar,903,Darbhanga,1979,870.00,0.00,11.40,148.30,1.40,2.40,7.60,56.20
2,Bihar,903,Darbhanga,1980,870.00,0.00,12.50,148.40,1.20,2.40,11.50,54.30
2,Bihar,903,Darbhanga,1981,870.00,0.00,8.90,147.50,0.90,2.10,9.90,72.10
2,Bihar,903,Darbhanga,1982,870.00,0.00,8.90,149.10,1.10,2.10,13.10,98.80
2,Bihar,903,Darbhanga,1983,870.00,0.00,8.90,159.70,1.10,2.30,9.00,89.30
2,Bihar,903,Darbhanga,1984,870.00,0.00,8.90,165.80,1.10,2.30,18.40,75.90
2,Bihar,903,Darbhanga,1985,870.00,0.00,8.90,165.80,1.00,2.70,12.30,70.40
2,Bihar,903,Darbhanga,1986,870.00,0.00,8.90,170.00,1.00,3.10,10.40,58.40
2,Bihar,903,Darbhanga,1987,870.00,0.00,8.90,189.10,1.00,3.10,8.80,326.70
2,Bihar,903,Darbhanga,1988,870.00,0.00,8.90,189.10,1.00,3.10,8.80,326.70
2,Bihar,903,Darbhanga,1989,871.80,0.00,8.88,178.42,1.43,2.46,6.99,60.85
2,Bihar,903,Darbhanga,1990,870.00,0.00,8.90,179.80,1.40,2.30,6.50,58.40
2,Bihar,903,Darbhanga,1991,870.00,0.00,8.90,195.20,1.30,3.60,11.30,47.50
2,Bihar,903,Darbhanga,1992,870.00,0.00,8.50,200.00,1.10,3.10,11.30,95.30
2,Bihar,903,Darbhanga,1993,870.00,0.00,7.80,195.80,0.70,1.90,9.60,72.80
2,Bihar,903,Darbhanga,1994,870.00,0.00,7.80,159.40,0.70,1.90,8.40,72.90
2,Bihar,903,Darbhanga,1995,869.97,0.00,7.67,207.86,0.66,1.75,9.45,72.48
2,Bihar,903,Darbhanga,1996,869.97,0.00,7.67,207.65,0.66,1.74,9.26,64.46
2,Bihar,903,Darbhanga,1997,869.00,0.00,7.00,212.00,1.00,1.00,9.00,56.00
2,Bihar,903,Darbhanga,1998,869.08,0.00,7.64,208.98,1.18,1.16,9.00,38.00
2,Bihar,903,Darbhanga,1999,869.97,0.00,7.67,211.15,0.70,1.70,8.77,40.03
2,Bihar,903,Darbhanga,2000,869.97,0.00,7.67,207.02,0.69,1.69,6.93,19.91
2,Bihar,903,Darbhanga,2001,869.97,0.00,7.67,207.34,0.69,1.69,6.93,20.99
2,Bihar,903,Darbhanga,2002,869.97,0.00,7.67,207.47,0.68,1.68,6.88,18.16
2,Bihar,903,Darbhanga,2003,869.97,0.00,7.65,207.60,0.68,1.68,6.85,20.02
2,Bihar,903,Darbhanga,2004,869.97,0.00,7.64,207.69,0.68,1.66,6.82,20.89
2,Bihar,903,Darbhanga,2005,869.97,0.00,7.64,207.77,0.67,1.66,6.76,31.02
2,Bihar,903,Darbhanga,2006,869.97,0.00,7.63,207.78,0.67,1.66,6.21,37.14
2,Bihar,903,Darbhanga,2007,869.97,0.00,7.37,208.26,0.66,1.65,6.18,16.85
2,Bihar,903,Darbhanga,2008,869.97,0.00,7.35,209.29,0.65,1.52,6.14,18.59
2,Bihar,903,Darbhanga,2009,869.97,0.00,7.35,210.51,0.65,1.50,6.11,26.42
2,Bihar,903,Darbhanga,2010,869.97,0.00,7.35,211.49,0.65,1.50,6.10,37.84
2,Bihar,903,Darbhanga,2011,869.97,0.00,7.35,211.54,0.65,1.50,6.03,42.23
2,Bihar,904,Saharsa,1966,536.20,0.00,36.00,56.90,24.60,4.30,34.20,93.80
2,Bihar,904,Saharsa,1967,536.20,0.00,33.20,54.50,18.80,3.20,22.60,78.10
2,Bihar,904,Saharsa,1968,536.20,0.00,33.60,54.10,14.50,3.10,25.70,75.40
2,Bihar,904,Saharsa,1969,532.80,0.00,33.50,59.30,15.50,3.40,28.20,73.70
2,Bihar,904,Saharsa,1970,582.80,0.00,34.90,62.70,14.70,3.80,28.10,68.70
2,Bihar,904,Saharsa,1971,582.80,0.00,32.60,65.50,13.50,3.20,28.80,90.00
2,Bihar,904,Saharsa,1972,582.80,0.00,42.40,66.90,13.50,2.60,27.10,82.60
2,Bihar,904,Saharsa,1973,582.80,0.00,43.70,68.70,10.90,2.30,26.70,82.30
2,Bihar,904,Saharsa,1974,582.80,0.50,39.80,65.50,10.90,2.90,28.60,68.60
2,Bihar,904,Saharsa,1975,582.80,0.30,46.40,67.40,9.60,2.50,30.00,58.70
2,Bihar,904,Saharsa,1976,582.80,0.40,45.40,65.90,8.90,2.50,23.90,56.00
