STCODE,STNAME,DIST,DISTNAME,YEAR,CATL_T,CATL_AM,CATL_AF,CATL_YM,CATL_YF,CATL_YMF,BUFF_T,BUFF_AM,BUFF_AF,BUFF_YM,BUFF_YF,BUFF_YMF,SHEEP_T,GOAT_T,HORSE_T,DONKEY_T,CAMEL_T,PIG_T,LIVESTOCK_T,POULTRY_T
2,Bihar,901,Champaran,1966,799.53,416.20,205.04,97.73,80.56,178.29,212.49,15.55,108.51,36.54,51.90,88.43,14.67,542.31,5.25,3.17,0.00,13.05,1590.54,261.94
2,Bihar,901,Champaran,1972,863.50,480.99,220.41,85.41,76.70,162.11,242.14,21.52,139.77,30.50,50.36,80.86,12.01,622.90,4.20,2.81,0.02,16.80,1764.38,353.13
2,Bihar,901,Champaran,1977,794.24,456.47,194.46,73.24,70.08,143.32,257.81,26.69,131.58,41.33,58.22,99.55,14.81,785.47,3.30,2.19,0.03,16.40,1873.77,413.77
2,Bihar,901,Champaran,2003,609.86,218.54,183.66,82.21,125.45,207.66,397.87,11.54,209.11,48.78,128.44,177.22,14.85,824.57,0.00,1.18,0.02,33.47,1881.82,947.91
2,Bihar,901,Champaran,2007,1029.61,245.00,395.44,-1.00,-1.00,389.17,665.64,34.42,351.42,-1.00,-1.00,279.82,1.99,1445.28,7.05,1.06,0.00,42.37,3193.00,919.49
2,Bihar,901,901,2012,1072.73,185.68,514.99,118.93,253.15,372.08,1420.41,56.54,426.15,95.29,842.43,937.72,4.60,1720.83,6.14,1.39,0.99,40.49,4267.59,1347.93
2,Bihar,902,Muzaffarpur,1966,837.23,469.45,190.83,89.25,87.70,176.95,236.90,1.96,138.08,32.68,64.17,96.85,10.86,608.06,4.14,4.92,0.01,7.44,1709.57,177.47
2,Bihar,902,Muzaffarpur,1972,787.43,486.21,173.98,62.19,65.06,127.25,259.73,4.00,173.51,23.54,58.68,82.23,10.12,567.67,3.61,4.21,0.01,10.35,1643.13,217.84
2,Bihar,902,Muzaffarpur,1977,723.02,470.56,140.76,54.97,56.73,111.71,311.84,6.74,181.07,41.15,82.89,124.03,9.89,751.18,2.82,3.32,0.00,9.28,1815.34,204.87
2,Bihar,902,Muzaffarpur,2003,941.67,217.27,339.52,151.40,233.49,384.87,637.47,16.92,319.40,104.49,196.66,301.16,20.03,1020.49,0.00,3.36,0.09,37.78,2660.89,1360.27
2,Bihar,902,Muzaffarpur,2007,854.21,267.89,307.72,-1.00,-1.00,278.60,645.39,12.82,365.66,-1.00,-1.00,266.92,8.43,1101.99,1.48,1.61,0.02,26.23,2639.35,1106.18
2,Bihar,902,Muzaffarpur,2012,748.44,117.76,388.50,70.12,172.06,242.18,679.56,13.09,426.12,62.26,178.09,240.34,3.69,1324.85,1.35,0.73,0.00,14.90,2773.49,1937.10
2,Bihar,903,Darbhanga,1966,1029.77,468.08,279.99,135.30,146.41,281.70,263.68,1.34,152.82,32.81,76.72,109.52,9.61,438.05,5.78,1.33,0.00,11.12,1759.36,271.87
2,Bihar,903,Darbhanga,1972,963.63,496.63,264.91,96.39,105.70,202.09,295.95,3.57,195.17,24.54,72.67,97.20,9.30,379.79,4.86,0.89,0.00,14.15,1668.56,303.32
2,Bihar,903,Darbhanga,1977,880.13,490.01,213.17,82.83,94.13,176.96,358.60,5.70,207.26,46.75,98.89,145.64,9.74,556.87,5.39,0.54,0.01,13.12,1824.41,288.10
2,Bihar,903,Darbhanga,2003,1039.50,358.68,335.20,111.99,233.62,345.62,655.51,9.10,348.20,83.69,214.52,298.21,48.37,820.40,0.00,0.16,0.03,21.81,2585.78,1011.53
2,Bihar,903,Darbhanga,2007,1044.10,277.51,421.27,-1.00,-1.00,345.30,655.53,6.91,374.86,-1.00,-1.00,273.77,3.89,753.77,1.34,2.77,0.00,21.53,2482.91,911.15
2,Bihar,903,Darbhanga,2012,1252.09,214.21,587.28,103.39,347.18,450.59,842.83,16.92,469.40,64.89,291.61,356.51,4.32,1088.88,2.32,0.89,0.07,27.82,3219.22,1290.23
2,Bihar,904,Saharsa,1966,841.92,341.58,264.45,118.94,116.96,235.90,187.40,4.37,104.44,34.46,44.13,78.59,4.04,293.14,16.02,0.09,0.00,8.29,1350.96,142.39
2,Bihar,904,Saharsa,1972,684.08,317.76,198.07,81.45,86.81,168.26,201.40,14.67,121.54,26.48,38.70,65.19,2.85,222.58,12.85,0.03,0.00,11.85,1135.64,182.37
2,Bihar,904,Sahersa,1977,693.29,304.28,198.62,102.95,87.45,190.40,282.64,30.43,134.37,48.10,69.74,117.85,3.72,421.23,11.63,0.02,0.00,13.88,1418.42,199.11
2,Bihar,904,Saharsa,2003,915.08,297.31,255.00,129.23,233.55,362.77,396.90,12.74,199.94,60.01,124.22,184.23,7.06,955.51,0.00,0.04,0.00,22.91,2297.50,596.53
2,Bihar,904,Saharsa,2007,791.00,227.57,280.77,-1.00,-1.00,282.65,389.94,14.08,207.88,-1.00,-1.00,167.99,9.72,628.66,2.94,0.07,0.00,19.78,1842.09,322.66
2,Bihar,904,Saharsa,2012,773.00,169.86,345.04,79.37,178.72,258.09,475.22,19.17,296.42,42.92,116.71,159.63,16.43,795.56,3.83,2.63,4.38,21.72,2092.76,313.70
2,Bihar,905,Purnea,1966,1376.11,659.03,337.27,192.61,187.20,379.81,247.65,34.05,116.66,44.54,52.40,96.94,14.22,732.57,28.01,0.06,0.00,20.98,2419.79,1508.99
2,Bihar,905,Purnea,1972,1198.18,625.83,302.92,133.34,136.10,269.44,245.34,48.55,127.03,30.80,38.96,69.76,8.44,698.77,22.72,0.11,0.00,24.21,2197.78,1836.00
2,Bihar,905,Purnea,1977,1167.39,555.12,322.50,141.47,148.31,289.78,309.17,59.03,145.09,49.39,55.67,105.06,9.82,963.40,16.07,0.04,0.00,26.41,2492.32,1972.37
2,Bihar,905,Purnea,2003,1463.66,382.77,454.49,267.40,359.01,626.41,496.49,63.52,187.55,124.39,121.04,245.42,7.84,1619.90,0.00,0.48,0.06,67.59,3656.02,4173.34
