STCODE,STNAME,DIST,DISTNAME,YEAR,PPMRKT,PSMRKT,PTMRKT,LROAD
2,Bihar,901,Champaram,1966,-1.0,-1.0,-1.0,500.0
2,Bihar,901,Champaram,1967,-1.0,-1.0,-1.0,500.0
2,Bihar,901,Champaram,1968,-1.0,-1.0,-1.0,500.0
2,Bihar,901,Champaran,1969,-1.0,-1.0,-1.0,500.0
2,Bihar,901,Champaran,1970,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,1971,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,1972,-1.0,-1.0,-1.0,-1.0
2,Bihar,901,Champaran,1973,3.0,-1.0,3.0,5579.0
2,Bihar,901,Champaran,1974,6.0,-1.0,6.0,5579.0
2,Bihar,901,Champaran,1975,6.0,-1.0,6.0,5579.0
2,Bihar,901,Champaran,1976,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1977,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1978,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1979,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1980,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1981,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1982,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1983,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1984,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1985,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1986,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1987,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1988,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1989,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1990,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1991,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1992,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1993,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1994,7.0,-1.0,7.0,5579.0
2,Bihar,901,Champaran,1995,7.0,22.0,29.0,-1.0
2,Bihar,901,Champaran,1996,7.0,22.0,29.0,-1.0
2,Bihar,901,Champaran,1997,7.0,22.0,29.0,-1.0
2,Bihar,901,Champaran,1998,7.0,22.0,29.0,-1.0
2,Bihar,901,Champaran,1999,7.0,22.0,29.0,-1.0
2,Bihar,901,Champaran,2000,7.0,22.0,29.0,1065.7
2,Bihar,902,Muzaffarpur,1966,-1.0,-1.0,-1.0,564.0
2,Bihar,902,Muzaffarpur,1967,-1.0,-1.0,-1.0,564.0
2,Bihar,902,Muzaffarpur,1968,-1.0,-1.0,-1.0,589.0
2,Bihar,902,Muzaffarpur,1969,-1.0,-1.0,-1.0,589.0
2,Bihar,902,Muzaffarpur,1970,1.0,-1.0,1.0,3834.0
2,Bihar,902,Muzaffarpur,1971,1.0,-1.0,1.0,3834.0
2,Bihar,902,Muzaffarpur,1972,1.0,-1.0,1.0,3834.0
2,Bihar,902,Muzaffarpur,1973,4.0,-1.0,4.0,5592.0
2,Bihar,902,Muzaffarpur,1974,15.0,-1.0,15.0,6717.0
2,Bihar,902,Muzaffarpur,1975,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1976,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1977,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1978,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1979,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1980,12.0,-1.0,12.0,6717.0
2,Bihar,902,Muzaffarpur,1981,12.0,-1.0,12.0,6717.0
