STCODE,STNAME,DIST,DISTNAME,LAT,LONG,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,ANNUAL
2,Bihar,901,Champaran,26.5,84.6,18,15,15,25,56,203,366,285,197,46,5,2,1234
2,Bihar,902,MUZAFFARPUR,26.1,85.4,16,15,13,20,57,198,334,300,234,54,6,2,1250
2,Bihar,903,Darbhanga,26.0,85.9,20,15,10,20,57,190,329,291,247,70,7,2,1258
2,Bihar,904,SAHARSA,26.2,86.8,18,14,18,32,97,268,381,337,265,85,8,2,1525
2,Bihar,905,Purnia,25.8,87.5,16,16,13,30,100,238,363,329,267,102,8,1,1483
2,Bihar,906,SARAN,26.0,84.8,18,16,11,17,39,181,335,294,206,44,5,2,1168
2,Bihar,907,Patna,25.6,85.0,21,20,7,8,28,139,266,307,243,63,6,2,1110
2,Bihar,908,Munger,24.9,86.2,33,5,9,8,38,108,248,226,196,81,3,1,956
2,Bihar,909,Bhagalpur,25.3,87.0,35,4,6,9,48,208,253,251,246,79,5,2,1146
2,Bihar,912,Gaya,24.8,85.0,24,21,10,6,18,109,289,364,194,51,6,3,1095
