STCODE,STNAME,DIST,DISTNAME,YEAR,MARG_NO,MARG_AR,SMALL_NO,SMALL_AR,SEMIM_NO,SEMIM_AR,MEDIUM_NO,MEDIUM_AR,LARGE_NO,LARGE_AR,TOTAL_NO,TOTAL_AR
2,Bihar,901,Champaran,1970,343.00,137.00,75.00,106.00,51.00,142.00,26.00,161.00,7.00,140.00,502.00,686.00
2,Bihar,901,Champaran,1976,527.00,191.00,77.00,99.00,55.00,145.00,26.00,158.00,4.00,70.00,689.00,663.00
2,Bihar,901,Champaran,1980,603.00,218.00,74.00,95.00,53.00,146.00,24.00,131.00,3.00,58.00,757.00,648.00
2,Bihar,901,Champaran,1995,1122.26,364.57,98.33,123.94,56.98,161.91,20.73,109.89,1.56,25.62,1299.87,785.91
2,Bihar,901,Champaran,2010,1929.16,470.55,114.80,138.20,51.82,133.84,11.99,61.22,0.54,8.35,2108.30,812.15
2,Bihar,902,Muzzafarpur,1970,534.00,173.00,83.00,115.00,58.00,162.00,30.00,172.00,5.00,85.00,710.00,707.00
2,Bihar,902,Muzzafarpur,1976,1041.00,283.00,88.00,109.00,53.00,136.00,22.00,119.00,2.30,38.00,1206.30,685.00
2,Bihar,902,Muzzafarpur,1980,1160.00,317.00,83.00,106.00,49.00,131.00,17.00,96.00,1.60,22.00,1310.60,672.00
2,Bihar,902,Muzaffarpur,1995,1428.41,311.99,90.32,111.63,49.99,131.06,11.13,55.91,0.39,5.88,1580.23,616.45
2,Bihar,902,Muzaffarpur,2010,1945.09,362.06,72.17,86.59,29.24,72.59,4.26,20.94,0.11,1.33,2050.85,543.48
2,Bihar,903,Darbanga,1970,676.00,253.00,86.00,117.00,63.00,172.00,28.00,100.00,5.00,97.00,858.00,739.00
2,Bihar,903,Darbanga,1976,888.00,281.00,90.00,115.00,59.00,152.00,21.00,116.00,2.00,42.00,1060.00,706.00
2,Bihar,903,Darbanga,1980,977.00,311.00,81.00,104.00,53.00,143.00,18.00,100.00,1.00,20.00,1130.00,678.00
2,Bihar,903,Darbanga,1995,1145.27,292.42,94.48,117.73,50.33,128.61,16.56,90.04,1.17,17.78,1307.82,646.58
2,Bihar,903,Darbhanga,2010,1736.77,373.05,93.73,110.18,30.56,76.70,5.85,29.87,0.24,3.90,1867.15,593.69
2,Bihar,904,Saharsa,1970,232.00,98.00,52.00,71.00,46.00,124.00,25.00,142.00,6.00,109.00,361.00,544.00
2,Bihar,904,Saharsa,1976,256.00,103.00,54.00,72.00,47.00,131.00,26.00,149.00,4.00,68.00,387.00,523.00
2,Bihar,904,Saharsa,1980,327.00,90.00,38.00,51.00,35.00,87.00,16.00,87.00,1.00,23.00,417.00,338.00
