STCODE,STNAME,DIST,DISTNAME,LAT,LONG,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,ANNUAL
2,Bihar,901,Champaran,26.5,84.6,49,68,124,166,196,155,123,115,111,110,69,46,1333
2,Bihar,902,MUZAFFARPUR,26.1,85.4,54,74,130,170,195,147,124,115,110,113,73,51,1354
2,Bihar,903,Darbhanga,26.0,85.9,52,71,126,170,206,152,124,117,109,113,73,50,1363
2,Bihar,904,SAHARSA,26.2,86.8,51,71,122,164,184,134,110,106,100,104,69,49,1265
2,Bihar,905,Purnia,25.8,87.5,55,77,132,168,179,134,117,113,109,112,74,52,1322
2,Bihar,906,SARAN,26.0,84.8,59,81,141,182,212,165,132,116,114,119,77,56,1455
2,Bihar,907,Patna,25.6,85.0,64,87,148,189,219,166,140,115,114,122,81,60,1505
2,Bihar,908,Munger,24.9,86.2,63,90,146,192,219,164,116,109,109,112,78,59,1457
2,Bihar,909,Bhagalpur,25.3,87.0,65,92,151,202,213,147,115,111,109,116,83,62,1466
2,Bihar,912,Gaya,24.8,85.0,71,95,162,209,250,202,141,123,136,122,86,65,1662
