STCODE,STNAME,DIST,DISTNAME,YEAR,POP_T,POP_M,POP_F,POP_RU,POP_RM,POP_RF,POP_UB,POP_UM,POP_UF,LIT_T,LIT_M,LIT_F,LIT_RU,LIT_RM,LIT_RF,LIT_UB,LIT_UM,LIT_UF,CULT_T,CULT_M,CULT_F,CULT_RU,CULT_RM,CULT_RF,CULT_UB,CULT_UM,CULT_UF,AGRL_T,AGRL_M,AGRL_F,AGRL_RU,AGRL_RM,AGRL_RF,AGRL_UB,AGRL_UM,AGRL_UF
2,Bihar,901,Champaran,1961,3006.21,1519.80,1486.41,2860.57,1440.29,1420.28,145.65,79.52,66.13,395.73,327.65,68.08,343.65,290.33,53.32,52.08,37.33,14.75,605.10,462.81,142.30,597.29,456.93,140.35,7.82,5.87,1.94,456.76,282.16,174.60,450.60,278.34,172.26,6.17,3.82,2.35
2,Bihar,901,Champaran,1971,3540.98,1830.55,1710.43,3356.14,1729.63,1626.51,184.84,100.91,83.92,497.99,404.88,93.11,427.51,356.38,71.13,70.48,48.50,21.98,428.56,413.30,15.27,421.75,406.73,15.02,6.81,6.56,0.25,653.94,499.05,154.89,642.36,489.23,153.13,11.58,9.82,1.76
2,Bihar,901,Champaran,1981,4398.11,2291.86,2106.25,4140.69,2151.93,1988.76,257.42,139.93,117.49,839.39,653.68,185.71,720.49,576.17,144.31,118.90,77.51,41.39,549.35,527.39,21.95,540.34,518.58,21.76,9.00,8.81,0.20,671.55,524.03,147.51,660.45,514.34,146.11,11.10,9.69,1.40
2,Bihar,901,Champaran,1991,5376.73,2859.46,2517.28,4968.00,2638.63,2329.37,408.73,220.83,187.90,1182.91,906.67,276.23,992.91,784.19,208.71,190.00,122.47,67.53,812.80,754.20,58.40,789.80,732.80,57.10,22.90,21.40,1.40,1082.20,822.50,259.60,1045.00,793.20,251.90,37.20,29.30,7.90
2,Bihar,901,Champaran,2001,6976.68,3673.20,3303.48,6415.76,3373.69,3042.07,560.92,299.51,261.41,2149.14,1492.48,656.67,1842.74,1305.99,536.75,306.41,186.49,119.92,600.05,508.41,91.64,587.04,497.10,89.95,13.01,11.32,1.69,1430.42,965.54,464.88,1396.18,940.66,455.52,34.24,24.88,9.36
2,Bihar,901,Champaran,2011,11036.17,5789.88,5246.29,10153.21,5322.75,4830.46,882.97,467.13,415.84,4871.02,3016.50,1854.52,4344.26,2712.50,1631.76,526.76,303.99,222.75,757.38,593.76,163.62,736.50,574.98,161.53,20.88,18.79,2.09,2540.31,1642.59,897.73,2473.50,1590.51,882.99,66.82,52.08,14.74
2,Bihar,902,Muzaffarpur,1961,4118.40,2011.54,2106.86,3929.57,1905.26,2024.31,188.83,106.28,82.55,707.06,569.66,137.40,623.23,509.23,114.00,83.82,60.43,23.40,692.78,576.39,116.38,688.25,572.50,115.75,4.52,3.89,0.63,418.32,313.39,104.93,415.89,311.57,104.32,2.43,1.82,0.61
2,Bihar,902,Muzaffarpur,1971,4836.52,2427.97,2408.55,4581.90,2287.48,2294.42,254.62,140.48,114.13,834.23,660.32,173.91,726.66,585.91,140.75,107.57,74.41,33.16,585.69,568.39,17.30,578.65,561.50,17.15,7.04,6.89,0.15,665.65,564.45,101.20,654.41,554.61,99.80,11.24,9.84,1.40
2,Bihar,902,Muzaffarpur,1981,5952.07,3033.99,2918.07,5565.58,2824.36,2741.22,385.48,209.64,175.85,1374.86,1026.29,348.57,1180.67,900.23,280.43,194.20,126.06,68.14,692.78,673.29,19.48,683.63,664.29,19.34,9.14,9.00,0.13,689.91,603.97,85.95,677.30,592.32,84.98,12.61,11.64,0.97
2,Bihar,902,Muzaffarpur,1991,7491.47,3939.59,3551.88,6939.64,3641.52,3298.11,551.84,298.07,253.77,2075.25,1495.89,579.36,1784.65,1315.24,469.40,290.60,180.65,109.94,847.10,822.00,25.10,831.00,806.30,24.70,16.20,15.80,0.50,878.30,777.30,100.90,854.70,755.50,99.20,23.60,21.80,1.80
2,Bihar,902,Muzaffarpur,2001,9126.11,4763.91,4362.21,8438.11,4396.14,4041.97,688.00,367.77,320.23,3426.50,2249.11,1177.39,3004.89,2000.12,1004.77,421.61,249.00,172.62,732.40,642.99,89.41,724.39,635.81,88.58,8.02,7.19,0.83,1326.58,1008.35,318.23,1304.22,989.69,314.53,22.36,18.66,3.70
2,Bihar,902,Muzaffarpur,2011,12375.90,6521.96,5853.95,11450.78,6031.51,5419.26,925.14,490.45,434.69,6156.46,3696.54,2459.94,5551.00,3353.86,2197.14,605.47,342.66,262.80,783.20,663.68,119.52,769.70,651.99,117.71,13.50,11.71,1.80,2043.88,1566.44,477.45,2003.71,1533.32,470.38,40.18,33.12,7.07
2,Bihar,903,Darbhanga,1961,4413.03,2142.88,2270.15,4222.47,2040.08,2182.39,190.56,102.80,87.76,739.46,607.88,131.58,664.43,552.64,111.79,75.03,55.24,19.80,654.85,522.81,132.04,652.01,520.45,131.56,2.84,2.36,0.48,542.89,381.79,161.10,541.63,380.75,160.89,1.26,1.04,0.21
2,Bihar,903,Darbhanga,1971,5242.25,2639.28,2602.97,5007.20,2509.98,2497.22,235.05,129.30,105.75,947.26,762.13,185.13,844.19,690.74,153.46,103.06,71.39,31.68,587.70,565.94,21.76,584.31,562.65,21.66,3.39,3.29,0.10,772.94,637.71,135.23,766.03,631.57,134.46,6.92,6.14,0.78
