STCODE,STNAME,DIST,DISTNAME,YEAR,CANALS,TANKS,TUBEWELL,OTHWELL,TOTWELL,OTHSOUR
2,Bihar,901,Champaran,1966,81.39,0.47,3.39,0.83,4.22,7.96
2,Bihar,901,Champaran,1967,83.79,0.67,5.33,0.84,6.17,9.93
2,Bihar,901,Champaran,1968,90.76,2.96,13.82,2.15,15.97,13.73
2,Bihar,901,Champaran,1969,102.98,4.51,25.64,1.28,26.92,14.27
2,Bihar,901,Champaran,1970,108.50,4.53,35.34,2.32,37.66,13.59
2,Bihar,901,Champaran,1971,111.32,4.98,36.69,2.32,39.01,13.47
2,Bihar,901,Champaran,1972,124.86,2.63,51.30,0.97,52.27,14.73
2,Bihar,901,Champaran,1973,99.54,2.91,43.85,0.76,44.61,12.83
2,Bihar,901,Champaran,1974,102.96,3.55,39.41,0.47,39.88,11.23
2,Bihar,901,Champaran,1975,97.55,1.64,54.01,1.31,55.32,14.87
2,Bihar,901,Champaran,1976,152.49,1.80,53.54,0.65,54.19,12.03
2,Bihar,901,Champaran,1977,144.22,1.18,52.71,0.49,53.20,10.23
2,Bihar,901,Champaran,1978,145.12,1.63,61.14,1.43,62.57,11.45
2,Bihar,901,Champaran,1979,137.60,1.39,58.25,1.11,59.36,12.99
2,Bihar,901,Champaran,1980,139.66,2.80,60.77,0.85,61.62,13.15
2,Bihar,901,Champaran,1981,165.53,4.45,55.16,3.70,58.86,8.79
2,Bihar,901,Champaran,1982,121.78,1.84,29.54,1.34,30.88,2.77
2,Bihar,901,Champaran,1983,137.97,2.78,33.02,4.87,37.89,6.69
2,Bihar,901,Champaran,1984,119.40,2.44,38.72,5.71,44.43,5.88
2,Bihar,901,Champaran,1985,112.20,2.50,48.12,2.09,50.21,12.90
2,Bihar,901,Champaran,1986,126.58,6.05,31.27,7.62,38.89,31.70
2,Bihar,901,Champaran,1987,128.50,1.65,65.12,0.85,65.97,13.16
2,Bihar,901,Champaran,1988,152.69,5.84,44.69,8.46,53.15,38.41
2,Bihar,901,Champaran,1989,62.31,2.67,65.96,7.66,73.62,39.58
2,Bihar,901,Champaran,1990,78.04,4.28,115.02,4.04,119.06,27.96
2,Bihar,901,Champaran,1991,73.73,3.15,72.83,18.35,91.18,14.52
2,Bihar,901,Champaran,1992,86.72,1.27,163.56,5.75,169.31,9.33
2,Bihar,901,Champaran,1993,109.13,0.40,127.55,4.82,132.37,20.89
2,Bihar,901,Champaran,1994,85.34,0.40,99.03,2.23,101.26,16.08
2,Bihar,901,Champaran,1995,156.22,0.00,153.62,0.00,153.62,23.98
2,Bihar,901,Champaran,1996,41.89,1.18,97.17,5.69,102.86,30.85
2,Bihar,901,Champaran,1997,98.00,0.00,120.00,0.00,120.00,4.00
