STCODE,STNAME,DIST,DISTNAME,YEAR,MALE_WAGE,FEM_WAGE,MALE_SAW,FEM_SAW
2,Bihar,901,Champaran,1966,2.50,2.50,2.50,1.90
2,Bihar,901,Champaran,1967,3.00,3.00,3.40,2.90
2,Bihar,901,Champaran,1968,3.00,3.00,2.90,2.60
2,Bihar,901,Champaran,1969,4.00,2.00,2.90,2.40
2,Bihar,901,Champaran,1970,4.04,2.44,3.71,2.20
2,Bihar,901,Champaran,1971,3.99,3.06,3.56,2.20
2,Bihar,901,Champaran,1973,4.19,2.75,4.87,3.69
2,Bihar,901,Champaran,1974,5.63,3.25,5.45,3.48
2,Bihar,901,Champaran,1975,-1.00,-1.00,-1.00,-1.00
2,Bihar,901,Champaran,1976,-1.00,-1.00,-1.00,-1.00
2,Bihar,901,Champaran,1977,6.17,4.90,5.62,5.49
2,Bihar,901,Champaran,1978,8.22,6.28,6.72,4.83
2,Bihar,901,Champaran,1979,6.92,3.87,7.02,5.03
2,Bihar,901,Champaran,1980,7.06,3.28,7.58,5.27
2,Bihar,901,Champaran,1981,8.27,1.65,8.55,6.44
2,Bihar,901,Champaran,1982,8.43,5.28,10.26,7.98
2,Bihar,901,Champaran,1983,11.26,8.75,11.86,8.51
2,Bihar,901,Champaran,1984,14.62,8.92,13.57,11.32
2,Bihar,901,Champaran,1985,16.93,10.12,15.55,9.86
2,Bihar,901,Champaran,1986,18.03,11.25,17.42,11.30
2,Bihar,901,Champaran,1987,19.62,13.17,19.33,12.63
2,Bihar,901,Champaran,1988,22.68,14.25,21.91,13.95
2,Bihar,901,Champaran,1989,23.66,15.09,24.85,15.71
2,Bihar,901,Champaran,1990,27.24,18.83,26.87,26.71
2,Bihar,901,Champaran,1991,28.75,22.50,30.26,30.25
2,Bihar,901,Champaran,1992,31.63,-1.00,33.09,35.53
2,Bihar,901,Champaran,1993,34.31,-1.00,35.01,36.58
2,Bihar,901,Champaran,1994,-1.00,-1.00,37.47,22.98
2,Bihar,901,Champaran,1995,41.21,23.00,38.71,27.47
2,Bihar,901,Champaran,1996,45.01,-1.00,42.48,27.58
2,Bihar,901,Champaran,1997,48.40,-1.00,47.10,29.72
2,Bihar,901,Champaran,1998,52.74,-1.00,50.93,46.22
2,Bihar,901,Champaran,1999,59.77,45.00,59.24,39.33
2,Bihar,901,Champaran,2000,-1.00,-1.00,68.47,48.75
2,Bihar,901,Champaran,2001,75.00,-1.00,70.35,47.66
2,Bihar,901,Champaran,2002,-1.00,-1.00,76.43,44.75
2,Bihar,901,Champaran,2003,-1.00,-1.00,79.58,53.85
2,Bihar,901,Champaran,2004,-1.00,-1.00,72.74,58.00
2,Bihar,901,Champaran,2005,68.35,53.16,58.47,53.25
2,Bihar,901,Champaran,2006,68.38,46.25,67.11,61.64
2,Bihar,901,Champaran,2007,70.96,72.60,70.66,70.20
2,Bihar,901,Champaran,2008,73.30,60.64,81.59,70.87
2,Bihar,901,Chanmparn,2009,72.80,46.25,75.59,62.50
2,Bihar,901,Champaran,2010,-1.00,-1.00,129.48,112.09
2,Bihar,902,Muzaffarpur,1966,1.85,1.25,2.50,1.90
2,Bihar,902,Muzaffarpur,1967,3.00,2.50,3.40,2.90
2,Bihar,902,Muzaffarpur,1968,4.00,2.00,2.90,2.60
2,Bihar,902,Muzaffarpur,1969,2.00,2.75,2.90,2.40
