State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Banana,176.0,641.0
0,427,2002,Whole Year,Banana,213.0,1278.0
0,427,2003,Whole Year,Banana,266.0,1763.0
0,427,2004,Whole Year,Banana,66.42,404.12
0,427,2005,Whole Year,Banana,22.0,582.0
0,427,2006,Whole Year,Banana,198.0,976.0
0,427,2010,Whole Year,Banana,593.0,3425.0
0,429,2000,Whole Year,Banana,1531.0,12073.0
0,429,2006,Whole Year,Banana,957.57,8582.0
0,429,2010,Whole Year,Banana,657.0,7968.0
0,559,2002,Whole Year,Banana,1524.0,10882.0
0,559,2003,Whole Year,Banana,1530.0,11558.0
0,559,2004,Whole Year,Banana,1912.1,17374.4
0,559,2005,Whole Year,Banana,1656.8,10251.13
0,559,2006,Whole Year,Banana,483.0,4150.0
0,559,2010,Whole Year,Banana,360.0,5517.0
1,24,2000,Whole Year,Banana,769.0,11693.0
1,24,2001,Whole Year,Banana,1582.0,462.0
1,24,2002,Whole Year,Banana,19.0,1006.0
1,24,2003,Whole Year,Banana,36.0,1302.0
1,24,2004,Whole Year,Banana,324.0,16897.0
1,24,2005,Whole Year,Banana,303.0,16231.0
1,24,2006,Whole Year,Banana,289.0,14141.0
1,24,2008,Whole Year,Banana,3603.0,160939.0
1,24,2009,Whole Year,Banana,5010.0,265981.0
1,24,2010,Whole Year,Banana,4416.0,223825.0
1,24,2011,Whole Year,Banana,8000.0,505176.0
1,24,2013,Whole Year,Banana,8661.0,483881.0
1,122,2000,Whole Year,Banana,953.0,19033.0
1,122,2001,Whole Year,Banana,1005.0,7156.0
1,122,2002,Whole Year,Banana,960.0,50841.0
1,122,2003,Whole Year,Banana,587.0,21222.0
1,122,2004,Whole Year,Banana,586.0,30560.0
1,122,2005,Whole Year,Banana,468.0,25070.0
1,122,2006,Whole Year,Banana,556.0,27205.0
1,122,2008,Whole Year,Banana,708.0,22390.0
1,122,2009,Whole Year,Banana,769.0,40826.0
1,122,2010,Whole Year,Banana,923.0,46782.0
1,122,2011,Whole Year,Banana,886.0,55948.0
1,122,2013,Whole Year,Banana,910.0,50203.0
1,172,2000,Whole Year,Banana,11043.0,124386.0
1,172,2001,Whole Year,Banana,10258.0,122822.0
1,172,2002,Whole Year,Banana,7949.0,116270.0
1,172,2003,Whole Year,Banana,9547.0,67488.0
1,172,2004,Whole Year,Banana,10324.0,96684.0
1,172,2005,Whole Year,Banana,15432.0,215971.0
1,172,2006,Whole Year,Banana,16772.0,295690.0
1,172,2008,Whole Year,Banana,15363.0,291774.0
1,172,2009,Whole Year,Banana,16159.0,354092.0
1,172,2010,Whole Year,Banana,14357.0,392291.0
1,172,2011,Whole Year,Banana,13620.0,302514.0
1,172,2013,Whole Year,Banana,12427.0,153871.0
