State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2002,Whole Year,Black pepper,63.0,13.5
0,427,2003,Whole Year,Black pepper,75.5,15.86
0,427,2004,Whole Year,Black pepper,85.0,15.86
0,427,2005,Whole Year,Black pepper,41.0,0.1
0,427,2006,Whole Year,Black pepper,22.16,0.68
0,427,2010,Rabi,Black pepper,23.0,8.5
0,429,2006,Whole Year,Black pepper,175.0,191.14
0,429,2010,Rabi,Black pepper,168.0,13.5
0,559,2002,Whole Year,Black pepper,487.0,102.5
0,559,2003,Whole Year,Black pepper,497.0,104.37
0,559,2004,Whole Year,Black pepper,570.0,104.36
0,559,2005,Whole Year,Black pepper,656.45,35.95
0,559,2006,Whole Year,Black pepper,413.1,20.18
0,559,2010,Rabi,Black pepper,409.0,98.0
3,41,2007,Whole Year,Black pepper,46.0,68.0
3,41,2008,Whole Year,Black pepper,91.0,171.0
3,41,2009,Whole Year,Black pepper,69.0,116.0
3,41,2010,Whole Year,Black pepper,85.0,147.0
3,41,2011,Rabi,Black pepper,82.0,142.0
3,41,2012,Rabi,Black pepper,85.0,151.0
3,41,2013,Rabi,Black pepper,90.0,160.0
3,41,2014,Rabi,Black pepper,92.0,165.0
3,64,2007,Whole Year,Black pepper,52.0,73.0
3,64,2008,Whole Year,Black pepper,30.0,42.0
3,64,2009,Whole Year,Black pepper,39.0,55.0
3,64,2010,Whole Year,Black pepper,58.0,81.0
3,64,2011,Rabi,Black pepper,46.0,64.0
3,64,2012,Rabi,Black pepper,46.0,70.0
3,64,2013,Rabi,Black pepper,47.0,72.0
3,64,2014,Rabi,Black pepper,43.0,65.0
3,95,2007,Whole Year,Black pepper,18.0,33.0
3,95,2008,Whole Year,Black pepper,18.0,33.0
3,95,2009,Whole Year,Black pepper,27.0,47.0
3,95,2010,Whole Year,Black pepper,27.0,50.0
3,95,2011,Rabi,Black pepper,30.0,55.0
3,95,2012,Rabi,Black pepper,27.0,50.0
3,95,2013,Rabi,Black pepper,29.0,54.0
3,95,2014,Rabi,Black pepper,26.0,49.0
3,103,2007,Whole Year,Black pepper,39.0,76.0
3,103,2008,Whole Year,Black pepper,45.0,87.0
3,103,2009,Whole Year,Black pepper,26.0,50.0
3,103,2010,Whole Year,Black pepper,38.0,74.0
3,103,2011,Rabi,Black pepper,43.0,102.0
3,103,2012,Rabi,Black pepper,44.0,88.0
3,103,2013,Rabi,Black pepper,45.0,90.0
3,103,2014,Rabi,Black pepper,47.0,94.0
3,119,2007,Whole Year,Black pepper,15.0,22.0
3,119,2008,Whole Year,Black pepper,14.0,27.0
3,119,2009,Whole Year,Black pepper,15.0,25.0
3,119,2010,Whole Year,Black pepper,12.0,20.0
3,119,2011,Rabi,Black pepper,14.0,24.0
3,119,2012,Rabi,Black pepper,17.0,29.0
3,119,2013,Rabi,Black pepper,16.0,28.0
3,119,2014,Rabi,Black pepper,14.0,24.0
3,137,2007,Whole Year,Black pepper,34.0,52.0
3,137,2008,Whole Year,Black pepper,45.0,69.0
3,137,2009,Whole Year,Black pepper,45.0,69.0
3,137,2010,Whole Year,Black pepper,38.0,59.0
3,137,2011,Rabi,Black pepper,33.0,51.0
3,137,2012,Rabi,Black pepper,34.0,57.0
3,137,2013,Rabi,Black pepper,38.0,63.0
3,137,2014,Rabi,Black pepper,33.0,55.0
3,152,2007,Whole Year,Black pepper,68.0,87.0
3,152,2008,Whole Year,Black pepper,28.0,36.0
3,152,2009,Whole Year,Black pepper,28.0,36.0
3,152,2010,Whole Year,Black pepper,32.0,41.0
3,152,2011,Rabi,Black pepper,29.0,36.0
3,152,2012,Rabi,Black pepper,25.0,35.0
3,152,2013,Rabi,Black pepper,25.0,35.0
3,152,2014,Rabi,Black pepper,25.0,36.0
3,155,2007,Whole Year,Black pepper,3.0,6.0
3,155,2009,Whole Year,Black pepper,3.0,4.0
3,155,2010,Whole Year,Black pepper,2.0,4.0
3,155,2011,Rabi,Black pepper,2.0,4.0
3,155,2012,Rabi,Black pepper,2.0,4.0
3,155,2013,Rabi,Black pepper,2.0,4.0
3,155,2014,Rabi,Black pepper,2.0,4.0
3,158,2007,Whole Year,Black pepper,61.0,103.0
3,158,2008,Whole Year,Black pepper,44.0,87.0
3,158,2009,Whole Year,Black pepper,47.0,87.0
3,158,2010,Whole Year,Black pepper,64.0,117.0
3,158,2011,Rabi,Black pepper,65.0,119.0
3,158,2012,Rabi,Black pepper,81.0,150.0
3,158,2013,Rabi,Black pepper,103.0,191.0
3,158,2014,Rabi,Black pepper,95.0,177.0
3,159,2007,Whole Year,Black pepper,44.0,50.0
3,159,2008,Whole Year,Black pepper,44.0,73.0
3,159,2009,Whole Year,Black pepper,46.0,64.0
3,159,2010,Whole Year,Black pepper,46.0,64.0
3,159,2011,Rabi,Black pepper,48.0,68.0
3,159,2012,Rabi,Black pepper,48.0,73.0
3,159,2013,Rabi,Black pepper,48.0,73.0
3,159,2014,Rabi,Black pepper,44.0,68.0
3,206,2007,Whole Year,Black pepper,30.0,37.0
3,206,2008,Whole Year,Black pepper,32.0,73.0
3,206,2009,Whole Year,Black pepper,82.0,144.0
3,206,2010,Whole Year,Black pepper,90.0,159.0
3,206,2011,Rabi,Black pepper,100.0,177.0
3,206,2012,Rabi,Black pepper,105.0,194.0
3,206,2013,Rabi,Black pepper,110.0,204.0
3,206,2014,Rabi,Black pepper,115.0,214.0
3,208,2007,Whole Year,Black pepper,200.0,227.0
3,208,2008,Whole Year,Black pepper,218.0,248.0
3,208,2009,Whole Year,Black pepper,330.0,363.0
3,208,2010,Whole Year,Black pepper,359.0,414.0
3,208,2011,Rabi,Black pepper,370.0,495.0
3,208,2012,Rabi,Black pepper,366.0,528.0
3,208,2013,Rabi,Black pepper,295.0,426.0
3,208,2014,Rabi,Black pepper,335.0,806.0
3,221,2007,Whole Year,Black pepper,58.0,112.0
3,221,2008,Whole Year,Black pepper,20.0,39.0
3,221,2009,Whole Year,Black pepper,39.0,75.0
3,221,2010,Whole Year,Black pepper,100.0,193.0
3,221,2011,Rabi,Black pepper,22.0,43.0
3,221,2012,Rabi,Black pepper,33.0,65.0
3,221,2013,Rabi,Black pepper,34.0,67.0
3,221,2014,Rabi,Black pepper,36.0,71.0
3,270,2007,Whole Year,Black pepper,419.0,522.0
3,270,2008,Whole Year,Black pepper,647.0,807.0
3,270,2009,Whole Year,Black pepper,107.0,133.0
3,270,2010,Whole Year,Black pepper,119.0,148.0
3,270,2011,Rabi,Black pepper,95.0,117.0
3,270,2012,Rabi,Black pepper,122.0,178.0
3,270,2013,Rabi,Black pepper,103.0,151.0
3,270,2014,Rabi,Black pepper,108.0,158.0
3,278,2007,Whole Year,Black pepper,76.0,115.0
3,278,2008,Whole Year,Black pepper,83.0,126.0
3,278,2009,Whole Year,Black pepper,97.0,147.0
3,278,2010,Whole Year,Black pepper,92.0,139.0
3,278,2011,Rabi,Black pepper,102.0,155.0
3,278,2012,Rabi,Black pepper,130.0,211.0
3,278,2013,Rabi,Black pepper,119.0,193.0
3,278,2014,Rabi,Black pepper,158.0,258.0
3,279,2007,Whole Year,Black pepper,34.0,50.0
3,279,2008,Whole Year,Black pepper,37.0,74.0
3,279,2009,Whole Year,Black pepper,33.0,57.0
3,279,2010,Whole Year,Black pepper,47.0,81.0
3,279,2011,Rabi,Black pepper,48.0,84.0
3,279,2012,Rabi,Black pepper,53.0,98.0
3,279,2013,Rabi,Black pepper,53.0,98.0
3,279,2014,Rabi,Black pepper,50.0,93.0
3,292,2007,Whole Year,Black pepper,299.0,482.0
3,292,2008,Whole Year,Black pepper,303.0,489.0
3,292,2009,Whole Year,Black pepper,316.0,510.0
3,292,2010,Whole Year,Black pepper,302.0,486.0
3,292,2011,Rabi,Black pepper,320.0,199.0
3,292,2012,Rabi,Black pepper,243.0,362.0
3,292,2013,Rabi,Black pepper,264.0,393.0
3,292,2014,Rabi,Black pepper,269.0,402.0
3,294,2007,Whole Year,Black pepper,75.0,86.0
3,294,2008,Whole Year,Black pepper,222.0,408.0
3,294,2009,Whole Year,Black pepper,230.0,343.0
3,294,2010,Whole Year,Black pepper,253.0,402.0
3,294,2011,Rabi,Black pepper,275.0,439.0
3,294,2012,Rabi,Black pepper,279.0,465.0
3,294,2013,Rabi,Black pepper,279.0,465.0
3,294,2014,Rabi,Black pepper,283.0,473.0
3,322,2007,Whole Year,Black pepper,15.0,24.0
3,322,2008,Whole Year,Black pepper,34.0,56.0
3,322,2009,Whole Year,Black pepper,335.0,545.0
3,322,2010,Whole Year,Black pepper,250.0,407.0
3,322,2011,Rabi,Black pepper,344.0,395.0
3,322,2012,Rabi,Black pepper,345.0,435.0
3,322,2013,Rabi,Black pepper,348.0,439.0
3,322,2014,Rabi,Black pepper,337.0,430.0
3,345,2007,Whole Year,Black pepper,64.0,97.0
3,345,2008,Whole Year,Black pepper,70.0,107.0
3,345,2009,Whole Year,Black pepper,73.0,110.0
3,345,2010,Whole Year,Black pepper,178.0,271.0
3,345,2011,Rabi,Black pepper,554.0,865.0
3,345,2012,Rabi,Black pepper,537.0,899.0
3,345,2013,Rabi,Black pepper,534.0,1428.0
3,345,2014,Rabi,Black pepper,485.0,817.0
3,381,2007,Whole Year,Black pepper,131.0,224.0
3,381,2008,Whole Year,Black pepper,81.0,138.0
3,381,2009,Whole Year,Black pepper,106.0,181.0
3,381,2010,Whole Year,Black pepper,107.0,183.0
3,381,2011,Rabi,Black pepper,83.0,143.0
3,381,2012,Rabi,Black pepper,85.0,157.0
3,381,2013,Rabi,Black pepper,90.0,166.0
3,381,2014,Rabi,Black pepper,66.0,123.0
3,406,2007,Whole Year,Black pepper,141.0,201.0
3,406,2008,Whole Year,Black pepper,268.0,383.0
3,406,2009,Whole Year,Black pepper,249.0,356.0
3,406,2010,Whole Year,Black pepper,77.0,111.0
3,406,2011,Rabi,Black pepper,276.0,479.0
3,406,2012,Rabi,Black pepper,275.0,436.0
3,406,2013,Rabi,Black pepper,280.0,443.0
3,406,2014,Rabi,Black pepper,282.0,450.0
3,412,2007,Whole Year,Black pepper,10.0,19.0
3,412,2008,Whole Year,Black pepper,25.0,48.0
3,412,2009,Whole Year,Black pepper,10.0,19.0
3,412,2010,Whole Year,Black pepper,26.0,50.0
3,412,2011,Rabi,Black pepper,28.0,54.0
3,412,2012,Rabi,Black pepper,28.0,55.0
3,412,2013,Rabi,Black pepper,28.0,55.0
3,412,2014,Rabi,Black pepper,22.0,44.0
3,551,2007,Whole Year,Black pepper,292.0,532.0
3,551,2008,Whole Year,Black pepper,296.0,539.0
3,551,2009,Whole Year,Black pepper,42.0,76.0
3,551,2010,Whole Year,Black pepper,55.0,99.0
3,551,2011,Rabi,Black pepper,69.0,125.0
3,551,2012,Rabi,Black pepper,78.0,144.0
3,551,2013,Rabi,Black pepper,72.0,134.0
3,551,2014,Rabi,Black pepper,78.0,145.0
3,558,2007,Whole Year,Black pepper,369.0,579.0
3,558,2008,Whole Year,Black pepper,376.0,590.0
3,558,2009,Whole Year,Black pepper,255.0,400.0
3,558,2010,Whole Year,Black pepper,255.0,399.0
3,558,2011,Rabi,Black pepper,229.0,358.0
3,558,2012,Rabi,Black pepper,99.0,166.0
3,558,2013,Rabi,Black pepper,111.0,187.0
3,558,2014,Rabi,Black pepper,125.0,211.0
3,592,2007,Whole Year,Black pepper,58.0,62.0
3,592,2008,Whole Year,Black pepper,268.0,287.0
3,592,2009,Whole Year,Black pepper,255.0,273.0
3,592,2010,Whole Year,Black pepper,270.0,289.0
3,592,2011,Rabi,Black pepper,285.0,310.0
3,592,2012,Rabi,Black pepper,288.0,344.0
3,592,2013,Rabi,Black pepper,287.0,343.0
3,592,2014,Rabi,Black pepper,288.0,345.0
3,603,2007,Whole Year,Black pepper,172.0,273.0
3,603,2008,Whole Year,Black pepper,54.0,107.0
3,603,2009,Whole Year,Black pepper,63.0,113.0
3,603,2010,Whole Year,Black pepper,59.0,101.0
3,603,2011,Rabi,Black pepper,55.0,95.0
3,603,2012,Rabi,Black pepper,56.0,97.0
3,603,2013,Rabi,Black pepper,70.0,121.0
3,603,2014,Rabi,Black pepper,70.0,121.0
8,432,2004,Whole Year,Black pepper,334.0,55.0
8,432,2005,Whole Year,Black pepper,355.0,77.0
8,432,2006,Whole Year,Black pepper,370.0,96.0
8,432,2007,Whole Year,Black pepper,383.0,119.0
8,432,2013,Whole Year,Black pepper,421.0,135.0
8,432,2014,Whole Year,Black pepper,443.0,146.0
8,562,2004,Whole Year,Black pepper,255.0,43.0
8,562,2005,Whole Year,Black pepper,271.0,60.0
8,562,2006,Whole Year,Black pepper,278.0,73.0
8,562,2007,Whole Year,Black pepper,283.0,89.0
8,562,2013,Whole Year,Black pepper,316.0,99.0
8,562,2014,Whole Year,Black pepper,321.0,98.0
14,37,2013,Whole Year,Black pepper,6.0,15.0
14,52,1999,Whole Year,Black pepper,5.0,12.0
14,52,2000,Whole Year,Black pepper,8.0,19.0
14,52,2001,Whole Year,Black pepper,5.0,12.0
14,52,2002,Whole Year,Black pepper,2.0,5.0
14,52,2003,Whole Year,Black pepper,3.0,7.0
14,52,2004,Whole Year,Black pepper,26.0,63.0
14,52,2005,Whole Year,Black pepper,1.0,2.0
14,52,2007,Whole Year,Black pepper,1.0,3.0
14,52,2008,Whole Year,Black pepper,1.0,4.0
14,52,2009,Whole Year,Black pepper,1.0,4.0
14,52,2010,Whole Year,Black pepper,1.0,0.6
14,52,2012,Whole Year,Black pepper,1.0,3.0
14,52,2013,Whole Year,Black pepper,1.0,2.0
14,52,2014,Whole Year,Black pepper,1.0,6.0
14,71,2012,Whole Year,Black pepper,5.0,14.0
14,71,2013,Whole Year,Black pepper,5.0,12.0
14,74,1997,Kharif,Black pepper,1.0,2.0
14,74,2009,Whole Year,Black pepper,17.0,63.0
14,74,2010,Whole Year,Black pepper,16.0,9.7
14,74,2011,Whole Year,Black pepper,15.0,4.2
14,74,2012,Whole Year,Black pepper,2.0,6.0
14,74,2013,Whole Year,Black pepper,2.0,5.0
14,74,2014,Whole Year,Black pepper,2.0,12.0
14,87,1999,Whole Year,Black pepper,4.0,10.0
14,87,2008,Whole Year,Black pepper,1.0,4.0
14,104,2007,Whole Year,Black pepper,2.0,6.0
14,104,2008,Whole Year,Black pepper,8.0,34.0
14,104,2009,Whole Year,Black pepper,24.0,89.0
14,104,2010,Whole Year,Black pepper,23.0,13.9
14,104,2011,Whole Year,Black pepper,28.0,7.9
14,104,2012,Whole Year,Black pepper,28.0,79.0
14,104,2013,Whole Year,Black pepper,50.0,124.0
14,104,2014,Whole Year,Black pepper,37.0,217.0
14,118,1997,Kharif,Black pepper,383.0,42.0
14,118,1998,Whole Year,Black pepper,647.0,711.0
14,118,1999,Whole Year,Black pepper,961.0,1056.0
14,118,2000,Whole Year,Black pepper,926.0,1018.0
14,118,2001,Whole Year,Black pepper,1570.0,1725.0
14,118,2002,Whole Year,Black pepper,1664.0,1829.0
14,118,2003,Whole Year,Black pepper,1761.0,1935.0
14,118,2004,Whole Year,Black pepper,1939.0,2131.0
14,118,2005,Whole Year,Black pepper,2088.0,2295.0
14,118,2006,Whole Year,Black pepper,2210.0,2429.0
14,118,2007,Whole Year,Black pepper,2256.0,7035.0
14,118,2008,Whole Year,Black pepper,2274.0,9635.0
14,118,2009,Whole Year,Black pepper,3524.0,12978.0
14,118,2010,Whole Year,Black pepper,3552.0,3488.3
14,118,2011,Whole Year,Black pepper,3585.0,1015.1
14,118,2012,Whole Year,Black pepper,7649.0,21657.0
14,118,2013,Whole Year,Black pepper,7746.0,19248.0
14,118,2014,Whole Year,Black pepper,7788.0,77795.0
14,120,2013,Whole Year,Black pepper,8.0,20.0
14,120,2014,Whole Year,Black pepper,48.0,282.0
14,131,1997,Kharif,Black pepper,1059.0,245.0
14,131,1998,Whole Year,Black pepper,860.0,1992.0
14,131,1999,Whole Year,Black pepper,870.0,2015.0
14,131,2000,Whole Year,Black pepper,912.0,2113.0
14,131,2001,Whole Year,Black pepper,1930.0,4471.0
14,131,2002,Whole Year,Black pepper,1945.0,4506.0
14,131,2003,Whole Year,Black pepper,1973.0,4571.0
14,131,2004,Whole Year,Black pepper,1986.0,4601.0
14,131,2005,Whole Year,Black pepper,1976.0,4578.0
14,131,2006,Whole Year,Black pepper,2008.0,4652.0
14,131,2007,Whole Year,Black pepper,2014.0,4048.0
14,131,2008,Whole Year,Black pepper,2059.0,8724.0
14,131,2009,Whole Year,Black pepper,2092.0,7435.0
14,131,2010,Whole Year,Black pepper,2112.0,1087.3
14,131,2011,Whole Year,Black pepper,2146.0,1111.1
14,131,2012,Whole Year,Black pepper,2183.0,11303.0
14,131,2013,Whole Year,Black pepper,2241.0,10893.0
14,131,2014,Whole Year,Black pepper,2546.0,13208.0
14,140,1998,Whole Year,Black pepper,2.0,5.0
14,140,1999,Whole Year,Black pepper,2.0,5.0
14,140,2000,Whole Year,Black pepper,2.0,5.0
14,140,2001,Whole Year,Black pepper,19.0,45.0
14,140,2002,Whole Year,Black pepper,1.0,2.0
14,140,2003,Whole Year,Black pepper,1.0,2.0
14,140,2004,Whole Year,Black pepper,36.0,85.0
14,140,2005,Whole Year,Black pepper,12.0,28.0
14,140,2006,Whole Year,Black pepper,13.0,31.0
14,140,2007,Whole Year,Black pepper,10.0,31.0
14,140,2008,Whole Year,Black pepper,11.0,47.0
14,140,2009,Whole Year,Black pepper,14.0,52.0
14,140,2010,Whole Year,Black pepper,9.0,5.4
14,140,2011,Whole Year,Black pepper,18.0,5.1
14,140,2012,Whole Year,Black pepper,2.0,6.0
14,140,2013,Whole Year,Black pepper,45.0,112.0
14,140,2014,Whole Year,Black pepper,25.0,147.0
14,151,1999,Whole Year,Black pepper,4.0,10.0
14,151,2004,Whole Year,Black pepper,3.0,7.0
14,151,2005,Whole Year,Black pepper,1.0,2.0
14,151,2008,Whole Year,Black pepper,9.0,38.0
14,214,2001,Whole Year,Black pepper,1.0,2.0
14,214,2002,Whole Year,Black pepper,1.0,2.0
14,228,1997,Kharif,Black pepper,198.0,21.0
14,228,1998,Whole Year,Black pepper,211.0,232.0
14,228,1999,Whole Year,Black pepper,361.0,397.0
14,228,2000,Whole Year,Black pepper,414.0,455.0
14,228,2001,Whole Year,Black pepper,802.0,881.0
14,228,2002,Whole Year,Black pepper,1293.0,1421.0
14,228,2003,Whole Year,Black pepper,1432.0,1574.0
14,228,2004,Whole Year,Black pepper,1648.0,1811.0
14,228,2005,Whole Year,Black pepper,2689.0,2955.0
14,228,2006,Whole Year,Black pepper,2752.0,3024.0
14,228,2007,Whole Year,Black pepper,2784.0,10280.0
14,228,2008,Whole Year,Black pepper,2794.0,10732.0
14,228,2009,Whole Year,Black pepper,3049.0,11712.0
14,228,2010,Whole Year,Black pepper,3460.0,1233.1
14,228,2011,Whole Year,Black pepper,3574.0,1040.2
14,228,2012,Whole Year,Black pepper,4165.0,12123.0
14,228,2013,Whole Year,Black pepper,4730.0,7445.0
14,228,2014,Whole Year,Black pepper,4790.0,21102.0
14,230,2014,Whole Year,Black pepper,21.0,123.0
14,319,1997,Kharif,Black pepper,1385.0,393.0
14,319,1998,Whole Year,Black pepper,1580.0,4489.0
14,319,1999,Whole Year,Black pepper,3547.0,10078.0
14,319,2000,Whole Year,Black pepper,3752.0,10661.0
14,319,2001,Whole Year,Black pepper,4112.0,11683.0
14,319,2002,Whole Year,Black pepper,4167.0,11840.0
14,319,2003,Whole Year,Black pepper,4210.0,11962.0
14,319,2004,Whole Year,Black pepper,5403.0,15352.0
14,319,2005,Whole Year,Black pepper,6733.0,19130.0
14,319,2006,Whole Year,Black pepper,5464.0,15525.0
14,319,2007,Whole Year,Black pepper,7945.0,24855.0
14,319,2008,Whole Year,Black pepper,8880.0,39385.0
14,319,2009,Whole Year,Black pepper,9409.0,35210.0
14,319,2010,Whole Year,Black pepper,10321.0,6038.7
14,319,2011,Whole Year,Black pepper,10643.0,2497.2
14,319,2012,Whole Year,Black pepper,10797.0,25333.0
14,319,2013,Whole Year,Black pepper,11002.0,25814.0
14,319,2014,Whole Year,Black pepper,14934.0,66531.0
