State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Dry ginger,36.0,100.0
0,427,2001,Whole Year,Dry ginger,46.0,100.0
0,427,2002,Whole Year,Dry ginger,47.3,133.0
0,427,2003,Whole Year,Dry ginger,102.0,326.4
0,427,2004,Whole Year,Dry ginger,118.0,366.0
0,427,2006,Whole Year,Dry ginger,6.0,21.0
0,427,2010,Rabi,Dry ginger,7.0,9.64
0,429,2000,Whole Year,Dry ginger,352.0,1120.0
0,429,2001,Whole Year,Dry ginger,344.0,1124.0
0,429,2006,Whole Year,Dry ginger,98.66,929.0
0,429,2010,Rabi,Dry ginger,110.0,1011.84
0,559,2002,Whole Year,Dry ginger,352.0,1145.0
0,559,2003,Whole Year,Dry ginger,406.0,1299.2
0,559,2004,Whole Year,Dry ginger,410.0,1462.0
0,559,2005,Whole Year,Dry ginger,200.0,1800.0
0,559,2006,Whole Year,Dry ginger,100.9,900.0
0,559,2010,Rabi,Dry ginger,94.0,828.52
1,172,2005,Whole Year,Dry ginger,7.0,19.0
1,172,2006,Whole Year,Dry ginger,7.0,20.0
1,172,2008,Whole Year,Dry ginger,8.0,25.0
1,274,2004,Whole Year,Dry ginger,1.0,3.0
1,274,2012,Rabi,Dry ginger,1.0,8.0
1,335,2000,Whole Year,Dry ginger,15.0,28.0
1,335,2001,Whole Year,Dry ginger,14.0,37.0
1,335,2002,Whole Year,Dry ginger,12.0,20.0
1,335,2003,Whole Year,Dry ginger,13.0,37.0
1,335,2004,Whole Year,Dry ginger,8.0,22.0
1,335,2005,Whole Year,Dry ginger,34.0,94.0
1,335,2006,Whole Year,Dry ginger,21.0,59.0
1,335,2008,Whole Year,Dry ginger,21.0,50.0
1,335,2009,Whole Year,Dry ginger,57.0,111.0
1,335,2010,Whole Year,Dry ginger,43.0,401.0
1,335,2011,Whole Year,Dry ginger,55.0,508.0
1,335,2012,Kharif,Dry ginger,53.0,414.0
1,335,2013,Kharif,Dry ginger,53.0,351.0
1,335,2013,Whole Year,Dry ginger,53.0,351.0
1,335,2014,Kharif,Dry ginger,53.0,330.0
1,340,2006,Whole Year,Dry ginger,1.0,3.0
1,340,2014,Rabi,Dry ginger,36.0,103.0
