State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,429,2010,Rabi,Groundnut,4.75,6.8
0,559,2010,Rabi,Groundnut,15.5,7.6
1,24,1997,Kharif,Groundnut,650800.0,228400.0
1,24,1997,Rabi,Groundnut,20200.0,21700.0
1,24,1998,Kharif,Groundnut,755200.0,867800.0
1,24,1998,Rabi,Groundnut,25900.0,35800.0
1,24,1999,Kharif,Groundnut,694865.0,249457.0
1,24,1999,Rabi,Groundnut,21785.0,25358.0
1,24,2000,Kharif,Groundnut,791559.0,884963.0
1,24,2000,Rabi,Groundnut,23048.0,23832.0
1,24,2001,Kharif,Groundnut,758700.0,333828.0
1,24,2001,Rabi,Groundnut,18773.0,29192.0
1,24,2002,Kharif,Groundnut,732262.0,259953.0
1,24,2002,Rabi,Groundnut,17529.0,18651.0
1,24,2003,Kharif,Groundnut,670935.0,187862.0
1,24,2003,Rabi,Groundnut,15060.0,19819.0
1,24,2004,Kharif,Groundnut,857823.0,684543.0
1,24,2004,Rabi,Groundnut,14500.0,21736.0
1,24,2005,Kharif,Groundnut,877029.0,362213.0
1,24,2005,Rabi,Groundnut,22006.0,29752.0
1,24,2006,Kharif,Groundnut,644007.0,43148.0
1,24,2006,Rabi,Groundnut,18104.0,18991.0
1,24,2007,Kharif,Groundnut,876000.0,1102000.0
1,24,2007,Rabi,Groundnut,21000.0,28000.0
1,24,2008,Kharif,Groundnut,853577.0,75115.0
1,24,2008,Rabi,Groundnut,16879.0,24897.0
1,24,2009,Kharif,Groundnut,510874.0,113925.0
1,24,2009,Rabi,Groundnut,19507.0,28051.0
1,24,2010,Kharif,Groundnut,814077.0,446928.0
1,24,2010,Rabi,Groundnut,19993.0,34068.0
1,24,2011,Kharif,Groundnut,733960.0,174682.0
1,24,2011,Rabi,Groundnut,19876.0,32696.0
1,24,2012,Kharif,Groundnut,708708.0,295531.0
1,24,2012,Rabi,Groundnut,20987.0,34419.0
1,24,2013,Kharif,Groundnut,711145.0,286591.0
1,24,2013,Rabi,Groundnut,17303.0,26335.0
1,24,2014,Kharif,Groundnut,550794.0,148714.0
