State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1997,Kharif,Jowar,10100.0,10200.0
1,24,1997,Rabi,Jowar,18800.0,9400.0
1,24,1998,Kharif,Jowar,3700.0,5800.0
1,24,1998,Rabi,Jowar,14800.0,22100.0
1,24,1999,Kharif,Jowar,11131.0,14582.0
1,24,1999,Rabi,Jowar,21487.0,30576.0
1,24,2000,Kharif,Jowar,5071.0,14351.0
1,24,2000,Rabi,Jowar,15242.0,16980.0
1,24,2001,Kharif,Jowar,3900.0,6720.0
1,24,2001,Rabi,Jowar,15170.0,17446.0
1,24,2002,Kharif,Jowar,2906.0,4545.0
1,24,2002,Rabi,Jowar,12676.0,11497.0
1,24,2003,Kharif,Jowar,12487.0,30830.0
1,24,2003,Rabi,Jowar,21391.0,19444.0
1,24,2004,Kharif,Jowar,4300.0,5693.0
1,24,2004,Rabi,Jowar,11871.0,14269.0
1,24,2005,Kharif,Jowar,3759.0,3879.0
1,24,2005,Rabi,Jowar,12931.0,9970.0
1,24,2006,Kharif,Jowar,18043.0,7813.0
1,24,2006,Rabi,Jowar,24944.0,15440.0
1,24,2007,Kharif,Jowar,4000.0,3000.0
1,24,2007,Rabi,Jowar,12000.0,8000.0
1,24,2008,Kharif,Jowar,1782.0,2204.0
1,24,2008,Rabi,Jowar,12501.0,6951.0
1,24,2009,Kharif,Jowar,41409.0,25881.0
1,24,2009,Rabi,Jowar,17721.0,14283.0
1,24,2010,Kharif,Jowar,2606.0,2069.0
1,24,2010,Rabi,Jowar,13274.0,8296.0
1,24,2011,Kharif,Jowar,7190.0,7535.0
1,24,2011,Rabi,Jowar,7907.0,3882.0
1,24,2012,Kharif,Jowar,7599.0,6930.0
1,24,2012,Rabi,Jowar,5795.0,3141.0
1,24,2013,Kharif,Jowar,14486.0,9749.0
1,24,2013,Rabi,Jowar,6605.0,3137.0
1,24,2014,Kharif,Jowar,13189.0,4234.0
1,24,2014,Rabi,Jowar,5263.0,1368.0
1,122,1997,Kharif,Jowar,2400.0,1500.0
1,122,1998,Kharif,Jowar,2500.0,1400.0
1,122,1999,Kharif,Jowar,1360.0,797.0
1,122,1999,Rabi,Jowar,39.0,40.0
1,122,2000,Kharif,Jowar,3556.0,2703.0
1,122,2000,Rabi,Jowar,54.0,65.0
1,122,2001,Kharif,Jowar,2400.0,2174.0
1,122,2001,Rabi,Jowar,46.0,67.0
1,122,2002,Kharif,Jowar,1647.0,865.0
1,122,2002,Rabi,Jowar,130.0,155.0
1,122,2003,Kharif,Jowar,2410.0,2832.0
1,122,2003,Rabi,Jowar,6.0,7.0
1,122,2004,Kharif,Jowar,2659.0,2444.0
1,122,2004,Rabi,Jowar,25.0,39.0
1,122,2005,Kharif,Jowar,1825.0,1221.0
1,122,2005,Rabi,Jowar,33.0,57.0
1,122,2006,Kharif,Jowar,966.0,751.0
1,122,2006,Rabi,Jowar,29.0,35.0
1,122,2007,Kharif,Jowar,1000.0,1000.0
1,122,2008,Kharif,Jowar,1205.0,812.0
