State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2010,Rabi,Moong(Green Gram),1.5,1.1
0,429,2010,Rabi,Moong(Green Gram),1168.6,556.55
0,559,2010,Rabi,Moong(Green Gram),29.9,17.85
1,24,1997,Kharif,Moong(Green Gram),1300.0,500.0
1,24,1998,Kharif,Moong(Green Gram),2100.0,1300.0
1,24,1999,Kharif,Moong(Green Gram),1546.0,1098.0
1,24,1999,Rabi,Moong(Green Gram),1.0,1.0
1,24,2000,Kharif,Moong(Green Gram),1744.0,774.0
1,24,2001,Kharif,Moong(Green Gram),1511.0,730.0
1,24,2001,Rabi,Moong(Green Gram),40.0,12.0
1,24,2002,Kharif,Moong(Green Gram),1150.0,174.0
1,24,2002,Rabi,Moong(Green Gram),4.0,1.0
1,24,2003,Kharif,Moong(Green Gram),1216.0,662.0
1,24,2003,Rabi,Moong(Green Gram),22.0,7.0
1,24,2004,Kharif,Moong(Green Gram),1464.0,545.0
1,24,2004,Rabi,Moong(Green Gram),3.0,1.0
1,24,2005,Kharif,Moong(Green Gram),1078.0,747.0
1,24,2005,Rabi,Moong(Green Gram),16.0,5.0
1,24,2006,Kharif,Moong(Green Gram),788.0,98.0
1,24,2006,Rabi,Moong(Green Gram),139.0,52.0
1,24,2007,Kharif,Moong(Green Gram),1000.0,
1,24,2008,Kharif,Moong(Green Gram),629.0,245.0
1,24,2009,Kharif,Moong(Green Gram),448.0,115.0
1,24,2009,Rabi,Moong(Green Gram),8.0,3.0
1,24,2010,Kharif,Moong(Green Gram),791.0,251.0
1,24,2010,Rabi,Moong(Green Gram),83.0,29.0
1,24,2011,Kharif,Moong(Green Gram),785.0,504.0
1,24,2011,Rabi,Moong(Green Gram),132.0,79.0
1,24,2012,Kharif,Moong(Green Gram),481.0,266.0
1,24,2012,Rabi,Moong(Green Gram),117.0,79.0
1,24,2013,Kharif,Moong(Green Gram),481.0,534.0
1,24,2013,Rabi,Moong(Green Gram),129.0,81.0
1,24,2014,Kharif,Moong(Green Gram),2428.0,2994.0
1,24,2014,Rabi,Moong(Green Gram),586.0,481.0
1,122,1997,Kharif,Moong(Green Gram),200.0,100.0
1,122,1998,Kharif,Moong(Green Gram),300.0,200.0
1,122,1999,Kharif,Moong(Green Gram),159.0,113.0
1,122,1999,Rabi,Moong(Green Gram),85.0,23.0
1,122,2000,Kharif,Moong(Green Gram),138.0,61.0
1,122,2000,Rabi,Moong(Green Gram),42.0,14.0
1,122,2001,Kharif,Moong(Green Gram),225.0,109.0
1,122,2001,Rabi,Moong(Green Gram),82.0,25.0
1,122,2002,Kharif,Moong(Green Gram),174.0,26.0
1,122,2002,Rabi,Moong(Green Gram),172.0,44.0
1,122,2003,Kharif,Moong(Green Gram),631.0,343.0
1,122,2003,Rabi,Moong(Green Gram),221.0,75.0
1,122,2004,Kharif,Moong(Green Gram),337.0,125.0
1,122,2004,Rabi,Moong(Green Gram),218.0,71.0
1,122,2005,Kharif,Moong(Green Gram),511.0,354.0
1,122,2005,Rabi,Moong(Green Gram),70.0,21.0
1,122,2006,Kharif,Moong(Green Gram),284.0,35.0
1,122,2006,Rabi,Moong(Green Gram),144.0,54.0
1,122,2007,Kharif,Moong(Green Gram),1000.0,
1,122,2008,Kharif,Moong(Green Gram),482.0,188.0
1,122,2008,Rabi,Moong(Green Gram),191.0,65.0
1,122,2009,Kharif,Moong(Green Gram),601.0,154.0
1,122,2009,Rabi,Moong(Green Gram),159.0,63.0
1,122,2010,Kharif,Moong(Green Gram),845.0,268.0
1,122,2010,Rabi,Moong(Green Gram),335.0,118.0
1,122,2011,Kharif,Moong(Green Gram),506.0,325.0
1,122,2011,Rabi,Moong(Green Gram),270.0,161.0
1,122,2012,Kharif,Moong(Green Gram),389.0,215.0
1,122,2012,Rabi,Moong(Green Gram),236.0,159.0
1,122,2013,Kharif,Moong(Green Gram),540.0,599.0
1,122,2013,Rabi,Moong(Green Gram),277.0,173.0
1,122,2014,Kharif,Moong(Green Gram),469.0,578.0
1,122,2014,Rabi,Moong(Green Gram),384.0,315.0
1,172,1997,Rabi,Moong(Green Gram),59500.0,26500.0
1,172,1998,Kharif,Moong(Green Gram),100.0,100.0
1,172,1998,Rabi,Moong(Green Gram),63700.0,28600.0
1,172,1999,Kharif,Moong(Green Gram),141.0,100.0
1,172,1999,Rabi,Moong(Green Gram),62777.0,13183.0
1,172,2000,Kharif,Moong(Green Gram),45.0,20.0
1,172,2000,Rabi,Moong(Green Gram),60630.0,13824.0
1,172,2001,Kharif,Moong(Green Gram),126.0,61.0
1,172,2001,Rabi,Moong(Green Gram),62887.0,10691.0
1,172,2002,Kharif,Moong(Green Gram),533.0,80.0
1,172,2002,Rabi,Moong(Green Gram),49079.0,10159.0
1,172,2003,Kharif,Moong(Green Gram),4073.0,2216.0
1,172,2003,Rabi,Moong(Green Gram),67539.0,19654.0
1,172,2004,Kharif,Moong(Green Gram),62.0,23.0
1,172,2004,Rabi,Moong(Green Gram),62091.0,16144.0
1,172,2005,Kharif,Moong(Green Gram),199.0,138.0
1,172,2005,Rabi,Moong(Green Gram),64154.0,14627.0
1,172,2006,Kharif,Moong(Green Gram),273.0,106.0
1,172,2006,Rabi,Moong(Green Gram),62538.0,16447.0
1,172,2007,Rabi,Moong(Green Gram),66000.0,10000.0
1,172,2008,Kharif,Moong(Green Gram),315.0,124.0
1,172,2008,Rabi,Moong(Green Gram),43577.0,12027.0
1,172,2009,Kharif,Moong(Green Gram),691.0,123.0
1,172,2009,Rabi,Moong(Green Gram),21422.0,5441.0
1,172,2010,Kharif,Moong(Green Gram),293.0,73.0
1,172,2010,Rabi,Moong(Green Gram),33343.0,3934.0
1,172,2011,Kharif,Moong(Green Gram),401.0,234.0
1,172,2011,Rabi,Moong(Green Gram),33158.0,13031.0
1,172,2012,Kharif,Moong(Green Gram),271.0,121.0
1,172,2012,Rabi,Moong(Green Gram),27520.0,12329.0
1,172,2013,Kharif,Moong(Green Gram),210.0,86.0
1,172,2013,Rabi,Moong(Green Gram),21453.0,5041.0
1,172,2014,Kharif,Moong(Green Gram),483.0,324.0
1,172,2014,Rabi,Moong(Green Gram),16204.0,5914.0
1,217,1997,Kharif,Moong(Green Gram),7400.0,2800.0
1,217,1997,Rabi,Moong(Green Gram),7700.0,3100.0
1,217,1998,Kharif,Moong(Green Gram),11500.0,7200.0
1,217,1998,Rabi,Moong(Green Gram),5000.0,2000.0
1,217,1999,Kharif,Moong(Green Gram),12144.0,8622.0
1,217,1999,Rabi,Moong(Green Gram),3684.0,950.0
1,217,2000,Kharif,Moong(Green Gram),20785.0,14612.0
1,217,2000,Rabi,Moong(Green Gram),6920.0,2318.0
1,217,2001,Kharif,Moong(Green Gram),10504.0,3414.0
1,217,2001,Rabi,Moong(Green Gram),3410.0,1405.0
1,217,2002,Kharif,Moong(Green Gram),8146.0,978.0
1,217,2002,Rabi,Moong(Green Gram),5737.0,1624.0
1,217,2003,Kharif,Moong(Green Gram),39752.0,17650.0
1,217,2003,Rabi,Moong(Green Gram),26217.0,7813.0
1,217,2004,Kharif,Moong(Green Gram),8480.0,3053.0
1,217,2004,Rabi,Moong(Green Gram),7823.0,2801.0
1,217,2005,Kharif,Moong(Green Gram),3852.0,1938.0
1,217,2005,Rabi,Moong(Green Gram),1913.0,1234.0
1,217,2006,Kharif,Moong(Green Gram),597.0,187.0
1,217,2006,Rabi,Moong(Green Gram),1451.0,991.0
1,217,2007,Kharif,Moong(Green Gram),3000.0,1000.0
1,217,2007,Rabi,Moong(Green Gram),2000.0,1000.0
1,217,2008,Kharif,Moong(Green Gram),183.0,55.0
