State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1999,Whole Year,Onion,1770.0,32364.0
1,24,2000,Kharif,Onion,1103.0,15470.0
1,24,2000,Rabi,Onion,482.0,11514.0
1,24,2001,Kharif,Onion,1165.0,19232.0
1,24,2001,Rabi,Onion,380.0,8465.0
1,24,2002,Kharif,Onion,776.0,8432.0
1,24,2002,Rabi,Onion,401.0,7192.0
1,24,2003,Kharif,Onion,846.0,13250.0
1,24,2003,Rabi,Onion,535.0,11180.0
1,24,2004,Kharif,Onion,1324.0,24824.0
1,24,2004,Rabi,Onion,234.0,4830.0
1,24,2005,Kharif,Onion,985.0,17025.0
1,24,2005,Rabi,Onion,381.0,9063.0
1,24,2006,Kharif,Onion,869.0,9423.0
1,24,2006,Rabi,Onion,167.0,4075.0
1,24,2007,Kharif,Onion,2000.0,38000.0
1,24,2008,Kharif,Onion,1376.0,23531.0
1,24,2008,Rabi,Onion,173.0,4129.0
1,24,2009,Kharif,Onion,1663.0,29811.0
1,24,2009,Rabi,Onion,230.0,5665.0
1,24,2010,Kharif,Onion,1620.0,26924.0
1,24,2010,Rabi,Onion,306.0,8233.0
1,24,2011,Kharif,Onion,2757.0,39563.0
1,24,2011,Rabi,Onion,208.0,4259.0
1,24,2012,Kharif,Onion,1548.0,25393.0
1,24,2012,Rabi,Onion,84.0,1195.0
1,24,2013,Kharif,Onion,1414.0,31097.0
1,24,2013,Rabi,Onion,611.0,14317.0
1,24,2014,Kharif,Onion,1969.0,35214.0
1,24,2014,Rabi,Onion,297.0,6767.0
1,122,1999,Whole Year,Onion,548.0,8149.0
1,122,2000,Kharif,Onion,286.0,3991.0
1,122,2000,Rabi,Onion,230.0,5494.0
1,122,2001,Kharif,Onion,248.0,3441.0
1,122,2001,Rabi,Onion,304.0,6772.0
1,122,2002,Kharif,Onion,205.0,2451.0
1,122,2002,Rabi,Onion,266.0,4753.0
1,122,2003,Kharif,Onion,253.0,3691.0
1,122,2003,Rabi,Onion,265.0,5538.0
1,122,2004,Kharif,Onion,250.0,4242.0
1,122,2004,Rabi,Onion,351.0,7244.0
1,122,2005,Kharif,Onion,254.0,4762.0
1,122,2005,Rabi,Onion,253.0,6018.0
1,122,2006,Kharif,Onion,206.0,3454.0
1,122,2006,Rabi,Onion,189.0,4612.0
1,122,2008,Kharif,Onion,289.0,4856.0
1,122,2008,Rabi,Onion,171.0,4081.0
1,122,2009,Kharif,Onion,197.0,3190.0
1,122,2009,Rabi,Onion,163.0,4015.0
1,122,2010,Kharif,Onion,178.0,3535.0
1,122,2010,Rabi,Onion,196.0,5274.0
1,122,2011,Kharif,Onion,180.0,2594.0
1,122,2011,Rabi,Onion,196.0,4013.0
1,122,2012,Kharif,Onion,153.0,2921.0
1,122,2012,Rabi,Onion,193.0,2745.0
1,122,2013,Kharif,Onion,170.0,3201.0
1,122,2013,Rabi,Onion,253.0,5928.0
1,122,2014,Kharif,Onion,242.0,4443.0
1,122,2014,Rabi,Onion,199.0,4534.0
1,172,1999,Whole Year,Onion,252.0,4118.0
1,172,2000,Kharif,Onion,42.0,586.0
1,172,2000,Rabi,Onion,133.0,2338.0
1,172,2001,Kharif,Onion,122.0,1693.0
1,172,2001,Rabi,Onion,147.0,2325.0
1,172,2002,Kharif,Onion,132.0,1578.0
1,172,2002,Rabi,Onion,140.0,1763.0
1,172,2003,Kharif,Onion,279.0,4070.0
1,172,2003,Rabi,Onion,24.0,264.0
1,172,2004,Kharif,Onion,129.0,2189.0
1,172,2004,Rabi,Onion,79.0,1384.0
1,172,2005,Kharif,Onion,296.0,5550.0
1,172,2005,Rabi,Onion,74.0,1465.0
1,172,2006,Kharif,Onion,457.0,7663.0
1,172,2006,Rabi,Onion,85.0,1014.0
1,172,2007,Kharif,Onion,1000.0,14000.0
1,172,2008,Kharif,Onion,915.0,15376.0
1,172,2008,Rabi,Onion,16.0,154.0
1,172,2009,Kharif,Onion,501.0,8113.0
1,172,2009,Rabi,Onion,26.0,660.0
1,172,2010,Kharif,Onion,759.0,15073.0
1,172,2010,Rabi,Onion,9.0,118.0
1,172,2011,Kharif,Onion,808.0,11645.0
1,172,2011,Rabi,Onion,38.0,973.0
1,172,2012,Kharif,Onion,547.0,10443.0
1,172,2012,Rabi,Onion,15.0,330.0
1,172,2013,Kharif,Onion,595.0,11204.0
1,172,2013,Rabi,Onion,14.0,259.0
1,172,2014,Kharif,Onion,563.0,10337.0
1,172,2014,Rabi,Onion,15.0,265.0
1,217,1999,Whole Year,Onion,1593.0,23110.0
1,217,2000,Kharif,Onion,376.0,5247.0
1,217,2000,Rabi,Onion,816.0,14792.0
1,217,2001,Kharif,Onion,693.0,9615.0
1,217,2001,Rabi,Onion,883.0,11504.0
1,217,2002,Kharif,Onion,806.0,9635.0
1,217,2002,Rabi,Onion,737.0,13565.0
1,217,2003,Kharif,Onion,439.0,6404.0
1,217,2003,Rabi,Onion,428.0,3364.0
1,217,2004,Kharif,Onion,845.0,14336.0
1,217,2004,Rabi,Onion,394.0,5344.0
1,217,2005,Kharif,Onion,1327.0,24880.0
1,217,2005,Rabi,Onion,372.0,5986.0
1,217,2006,Kharif,Onion,598.0,10027.0
1,217,2006,Rabi,Onion,566.0,7493.0
1,217,2007,Kharif,Onion,1000.0,18000.0
1,217,2008,Kharif,Onion,639.0,10738.0
1,217,2008,Rabi,Onion,84.0,1682.0
1,217,2009,Kharif,Onion,723.0,11708.0
1,217,2009,Rabi,Onion,40.0,1068.0
1,217,2010,Kharif,Onion,619.0,12293.0
1,217,2010,Rabi,Onion,268.0,1323.0
1,217,2011,Kharif,Onion,959.0,13821.0
1,217,2012,Kharif,Onion,679.0,12963.0
1,217,2012,Rabi,Onion,11.0,101.0
1,217,2013,Kharif,Onion,630.0,11864.0
1,217,2013,Rabi,Onion,19.0,352.0
1,217,2014,Kharif,Onion,408.0,7491.0
1,217,2014,Rabi,Onion,40.0,707.0
1,274,1999,Whole Year,Onion,4618.0,41792.0
1,274,2000,Kharif,Onion,2502.0,27610.0
1,274,2000,Rabi,Onion,483.0,13965.0
1,274,2001,Kharif,Onion,2317.0,15902.0
1,274,2001,Rabi,Onion,637.0,9701.0
1,274,2002,Kharif,Onion,1828.0,17722.0
1,274,2002,Rabi,Onion,561.0,7735.0
1,274,2003,Kharif,Onion,2138.0,17805.0
1,274,2003,Rabi,Onion,524.0,8765.0
1,274,2004,Kharif,Onion,1851.0,17286.0
1,274,2004,Rabi,Onion,574.0,13588.0
1,274,2005,Kharif,Onion,1775.0,9003.0
1,274,2005,Rabi,Onion,653.0,15745.0
1,274,2006,Kharif,Onion,1676.0,17534.0
1,274,2006,Rabi,Onion,338.0,10591.0
1,274,2007,Kharif,Onion,2000.0,8000.0
1,274,2008,Kharif,Onion,2505.0,25541.0
1,274,2008,Rabi,Onion,223.0,4000.0
1,274,2009,Kharif,Onion,2875.0,24386.0
1,274,2009,Rabi,Onion,273.0,7337.0
1,274,2010,Kharif,Onion,2542.0,19248.0
1,274,2010,Rabi,Onion,635.0,14029.0
1,274,2011,Kharif,Onion,4380.0,57588.0
1,274,2011,Rabi,Onion,1034.0,3154.0
1,274,2012,Kharif,Onion,2567.0,46760.0
1,274,2012,Rabi,Onion,834.0,4876.0
1,274,2013,Kharif,Onion,2497.0,24361.0
1,274,2013,Rabi,Onion,926.0,9674.0
1,274,2014,Kharif,Onion,2983.0,37144.0
1,274,2014,Rabi,Onion,381.0,6556.0
1,335,1999,Whole Year,Onion,105.0,1735.0
1,335,2000,Kharif,Onion,11.0,154.0
1,335,2000,Rabi,Onion,51.0,897.0
1,335,2001,Kharif,Onion,10.0,139.0
1,335,2001,Rabi,Onion,59.0,933.0
1,335,2002,Kharif,Onion,16.0,203.0
1,335,2002,Rabi,Onion,107.0,1347.0
1,335,2003,Kharif,Onion,7.0,102.0
1,335,2003,Rabi,Onion,85.0,935.0
1,335,2004,Kharif,Onion,8.0,136.0
1,335,2004,Rabi,Onion,91.0,1594.0
1,335,2005,Kharif,Onion,61.0,1144.0
1,335,2005,Rabi,Onion,101.0,1999.0
1,335,2006,Kharif,Onion,52.0,872.0
1,335,2006,Rabi,Onion,75.0,895.0
1,335,2008,Kharif,Onion,31.0,521.0
1,335,2008,Rabi,Onion,60.0,578.0
1,335,2009,Kharif,Onion,7.0,113.0
1,335,2009,Rabi,Onion,52.0,1320.0
1,335,2010,Kharif,Onion,2.0,40.0
1,335,2010,Rabi,Onion,16.0,209.0
1,335,2011,Kharif,Onion,7.0,101.0
1,335,2011,Rabi,Onion,25.0,640.0
1,335,2012,Kharif,Onion,2.0,38.0
1,335,2012,Rabi,Onion,2.0,44.0
1,335,2013,Rabi,Onion,2.0,37.0
1,335,2014,Rabi,Onion,13.0,230.0
1,340,1999,Whole Year,Onion,10678.0,156507.0
1,340,2000,Kharif,Onion,8564.0,126747.0
1,340,2000,Rabi,Onion,1098.0,23828.0
1,340,2001,Kharif,Onion,9130.0,139853.0
1,340,2001,Rabi,Onion,1474.0,37322.0
1,340,2002,Kharif,Onion,8365.0,104964.0
1,340,2002,Rabi,Onion,1290.0,25465.0
1,340,2003,Kharif,Onion,9665.0,153461.0
1,340,2003,Rabi,Onion,1184.0,26927.0
1,340,2004,Kharif,Onion,13121.0,234367.0
1,340,2004,Rabi,Onion,953.0,17928.0
1,340,2005,Kharif,Onion,12216.0,254752.0
1,340,2005,Rabi,Onion,2559.0,60664.0
1,340,2006,Kharif,Onion,11174.0,203065.0
1,340,2006,Rabi,Onion,1321.0,29893.0
1,340,2007,Kharif,Onion,14000.0,248000.0
1,340,2007,Rabi,Onion,2000.0,37000.0
1,340,2008,Kharif,Onion,16549.0,294241.0
1,340,2008,Rabi,Onion,1674.0,41274.0
1,340,2009,Kharif,Onion,13868.0,243855.0
1,340,2009,Rabi,Onion,1454.0,35200.0
1,340,2010,Kharif,Onion,16300.0,360197.0
1,340,2010,Rabi,Onion,3014.0,84151.0
1,340,2011,Kharif,Onion,24460.0,358241.0
1,340,2011,Rabi,Onion,2449.0,68156.0
1,340,2012,Kharif,Onion,14931.0,291483.0
1,340,2012,Rabi,Onion,1629.0,30156.0
1,340,2013,Kharif,Onion,14961.0,299923.0
1,340,2013,Rabi,Onion,2134.0,62027.0
1,340,2014,Kharif,Onion,22754.0,436353.0
1,340,2014,Rabi,Onion,2012.0,47964.0
1,463,1999,Whole Year,Onion,303.0,4590.0
1,463,2000,Kharif,Onion,173.0,2414.0
1,463,2000,Rabi,Onion,56.0,984.0
1,463,2001,Kharif,Onion,62.0,860.0
1,463,2001,Rabi,Onion,69.0,1091.0
1,463,2002,Kharif,Onion,123.0,1470.0
1,463,2002,Rabi,Onion,88.0,1108.0
1,463,2003,Kharif,Onion,37.0,540.0
1,463,2003,Rabi,Onion,58.0,638.0
1,463,2004,Kharif,Onion,85.0,1442.0
1,463,2004,Rabi,Onion,35.0,613.0
1,463,2005,Kharif,Onion,23.0,431.0
1,463,2005,Rabi,Onion,26.0,515.0
1,463,2006,Kharif,Onion,27.0,453.0
1,463,2006,Rabi,Onion,25.0,298.0
1,463,2008,Kharif,Onion,115.0,1932.0
1,463,2008,Rabi,Onion,23.0,221.0
1,463,2009,Kharif,Onion,177.0,2866.0
1,463,2009,Rabi,Onion,79.0,2006.0
1,463,2010,Kharif,Onion,303.0,6017.0
1,463,2010,Rabi,Onion,60.0,783.0
1,463,2011,Kharif,Onion,603.0,8690.0
1,463,2011,Rabi,Onion,297.0,7603.0
1,463,2012,Kharif,Onion,569.0,10863.0
1,463,2012,Rabi,Onion,52.0,1144.0
1,463,2013,Kharif,Onion,462.0,8700.0
1,463,2013,Rabi,Onion,67.0,1241.0
1,463,2014,Kharif,Onion,303.0,5563.0
1,463,2014,Rabi,Onion,48.0,848.0
1,566,1999,Whole Year,Onion,35.0,459.0
1,566,2000,Kharif,Onion,51.0,712.0
1,566,2001,Kharif,Onion,47.0,652.0
1,566,2001,Rabi,Onion,2.0,32.0
1,566,2002,Kharif,Onion,78.0,932.0
1,566,2002,Rabi,Onion,1.0,13.0
1,566,2003,Kharif,Onion,74.0,1079.0
1,566,2003,Rabi,Onion,3.0,33.0
1,566,2004,Kharif,Onion,120.0,2036.0
1,566,2004,Rabi,Onion,3.0,53.0
1,566,2005,Kharif,Onion,86.0,1612.0
1,566,2005,Rabi,Onion,9.0,178.0
1,566,2006,Kharif,Onion,46.0,771.0
1,566,2006,Rabi,Onion,3.0,36.0
1,566,2008,Kharif,Onion,98.0,1647.0
1,566,2009,Kharif,Onion,112.0,1814.0
