State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1999,Rabi,Safflower,881.0,145.0
1,24,2000,Rabi,Safflower,703.0,129.0
1,24,2001,Rabi,Safflower,3768.0,528.0
1,24,2002,Rabi,Safflower,2594.0,340.0
1,24,2003,Rabi,Safflower,307.0,11.0
1,24,2004,Rabi,Safflower,186.0,10.0
1,24,2005,Rabi,Safflower,162.0,33.0
1,24,2006,Rabi,Safflower,72.0,28.0
1,24,2008,Rabi,Safflower,113.0,44.0
1,24,2009,Rabi,Safflower,46.0,20.0
1,24,2010,Rabi,Safflower,45.0,31.0
1,24,2011,Rabi,Safflower,84.0,63.0
1,24,2012,Rabi,Safflower,20.0,33.0
1,24,2013,Rabi,Safflower,58.0,41.0
1,24,2013,Whole Year,Safflower,58.0,41.0
1,24,2014,Rabi,Safflower,310.0,87.0
1,172,1999,Rabi,Safflower,44.0,12.0
1,217,2003,Rabi,Safflower,6.0,2.0
1,274,2000,Rabi,Safflower,4.0,1.0
1,274,2002,Rabi,Safflower,1.0,
1,274,2004,Rabi,Safflower,4.0,1.0
1,274,2005,Rabi,Safflower,28.0,9.0
1,274,2010,Rabi,Safflower,121.0,82.0
1,274,2012,Rabi,Safflower,5.0,8.0
1,274,2014,Rabi,Safflower,300.0,93.0
1,335,1999,Rabi,Safflower,12.0,3.0
1,340,1999,Rabi,Safflower,2208.0,726.0
1,340,2000,Rabi,Safflower,3374.0,1140.0
1,340,2001,Rabi,Safflower,2063.0,759.0
1,340,2002,Rabi,Safflower,1642.0,603.0
1,340,2003,Rabi,Safflower,2420.0,813.0
1,340,2004,Rabi,Safflower,1070.0,260.0
1,340,2005,Rabi,Safflower,1373.0,487.0
1,340,2006,Rabi,Safflower,708.0,280.0
1,340,2008,Rabi,Safflower,380.0,147.0
1,340,2009,Rabi,Safflower,713.0,194.0
1,340,2010,Rabi,Safflower,827.0,789.0
1,340,2011,Rabi,Safflower,143.0,104.0
1,340,2012,Rabi,Safflower,251.0,131.0
1,340,2013,Rabi,Safflower,144.0,70.0
1,340,2013,Whole Year,Safflower,144.0,70.0
1,340,2014,Kharif,Safflower,85.0,37.0
1,340,2014,Rabi,Safflower,68.0,30.0
1,463,2005,Rabi,Safflower,7.0,2.0
1,463,2006,Rabi,Safflower,10.0,4.0
1,463,2013,Rabi,Safflower,13.0,9.0
1,463,2013,Whole Year,Safflower,13.0,9.0
1,463,2014,Rabi,Safflower,3.0,1.0
1,566,2000,Rabi,Safflower,3.0,1.0
1,566,2002,Rabi,Safflower,118.0,38.0
1,566,2003,Rabi,Safflower,1219.0,368.0
1,566,2004,Rabi,Safflower,64.0,14.0
1,567,2000,Rabi,Safflower,2.0,
1,625,1999,Rabi,Safflower,2.0,1.0
1,633,1999,Rabi,Safflower,390.0,110.0
1,633,2002,Rabi,Safflower,6.0,2.0
4,29,2011,Kharif,Safflower,1.0,1.0
4,29,2012,Rabi,Safflower,1.0,1.0
4,34,2001,Rabi,Safflower,3.0,2.0
4,53,1998,Rabi,Safflower,5.0,3.0
4,53,1999,Rabi,Safflower,3.0,2.0
4,53,2000,Rabi,Safflower,12.0,10.0
4,53,2001,Rabi,Safflower,8.0,6.0
4,70,1997,Rabi,Safflower,71.0,24.0
4,70,1998,Rabi,Safflower,83.0,29.0
4,70,1999,Rabi,Safflower,35.0,12.0
4,70,2000,Rabi,Safflower,1.0,1.0
4,70,2003,Rabi,Safflower,1.0,1.0
4,70,2005,Rabi,Safflower,4.0,3.0
4,77,1997,Rabi,Safflower,8.0,5.0
4,77,1998,Rabi,Safflower,5.0,3.0
4,77,1999,Rabi,Safflower,8.0,5.0
4,77,2002,Rabi,Safflower,10.0,8.0
4,77,2003,Rabi,Safflower,11.0,9.0
4,77,2004,Rabi,Safflower,3.0,3.0
4,77,2005,Rabi,Safflower,8.0,6.0
4,77,2007,Rabi,Safflower,3.0,2.0
4,77,2008,Rabi,Safflower,3.0,2.0
4,85,1997,Rabi,Safflower,10.0,6.0
4,102,1997,Rabi,Safflower,35.0,29.0
4,102,1998,Rabi,Safflower,76.0,63.0
4,102,1999,Rabi,Safflower,69.0,57.0
4,102,2000,Rabi,Safflower,69.0,55.0
4,102,2001,Rabi,Safflower,71.0,59.0
4,102,2002,Rabi,Safflower,2.0,2.0
4,102,2003,Rabi,Safflower,2.0,2.0
4,135,2007,Rabi,Safflower,4.0,3.0
4,135,2008,Rabi,Safflower,4.0,3.0
4,135,2010,Kharif,Safflower,4.0,3.0
4,135,2011,Kharif,Safflower,101.0,81.0
4,135,2012,Rabi,Safflower,101.0,81.0
4,135,2013,Rabi,Safflower,102.0,82.0
4,135,2014,Rabi,Safflower,101.0,81.0
4,202,1997,Rabi,Safflower,12.0,9.0
4,202,2002,Rabi,Safflower,4.0,3.0
4,202,2005,Rabi,Safflower,2.0,2.0
4,202,2007,Rabi,Safflower,2.0,2.0
4,202,2008,Rabi,Safflower,2.0,2.0
4,212,1998,Rabi,Safflower,153.0,87.0
4,212,1999,Rabi,Safflower,148.0,77.0
4,212,2000,Rabi,Safflower,150.0,120.0
