State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,2002,Kharif,Soyabean,51.0,0.0
1,24,2003,Kharif,Soyabean,16.0,18.0
1,24,2004,Kharif,Soyabean,1131.0,691.0
1,24,2005,Kharif,Soyabean,421.0,232.0
1,24,2008,Kharif,Soyabean,182.0,248.0
1,24,2009,Kharif,Soyabean,24.0,20.0
1,24,2010,Kharif,Soyabean,1682.0,2866.0
1,24,2011,Kharif,Soyabean,1656.0,2676.0
1,24,2012,Kharif,Soyabean,919.0,1671.0
1,24,2013,Kharif,Soyabean,2401.0,3866.0
1,24,2014,Kharif,Soyabean,44.0,50.0
1,122,2012,Kharif,Soyabean,11.0,20.0
1,122,2013,Kharif,Soyabean,11.0,18.0
1,172,2005,Kharif,Soyabean,156.0,86.0
1,172,2006,Kharif,Soyabean,174.0,177.0
1,172,2008,Kharif,Soyabean,155.0,212.0
1,172,2009,Kharif,Soyabean,28.0,23.0
1,172,2011,Kharif,Soyabean,50.0,81.0
1,172,2014,Kharif,Soyabean,11.0,25.0
1,217,2002,Kharif,Soyabean,2376.0,0.0
1,217,2003,Kharif,Soyabean,1631.0,1796.0
1,217,2004,Kharif,Soyabean,1066.0,651.0
1,217,2005,Kharif,Soyabean,1533.0,845.0
1,217,2006,Kharif,Soyabean,221.0,225.0
1,217,2010,Kharif,Soyabean,6.0,12.0
1,217,2011,Kharif,Soyabean,5.0,8.0
1,217,2012,Kharif,Soyabean,168.0,305.0
1,217,2013,Kharif,Soyabean,433.0,697.0
1,217,2013,Rabi,Soyabean,54.0,87.0
1,217,2014,Kharif,Soyabean,439.0,1277.0
1,217,2014,Rabi,Soyabean,4.0,12.0
1,274,2005,Kharif,Soyabean,3.0,2.0
1,274,2008,Kharif,Soyabean,6.0,8.0
1,274,2009,Kharif,Soyabean,37.0,30.0
1,274,2010,Kharif,Soyabean,142.0,242.0
1,274,2011,Kharif,Soyabean,389.0,629.0
1,274,2012,Kharif,Soyabean,147.0,267.0
1,274,2012,Rabi,Soyabean,6.0,11.0
1,274,2013,Kharif,Soyabean,65.0,105.0
1,274,2014,Rabi,Soyabean,12.0,
1,335,2004,Kharif,Soyabean,9.0,5.0
1,340,2005,Kharif,Soyabean,994.0,548.0
1,340,2006,Kharif,Soyabean,519.0,529.0
1,340,2008,Kharif,Soyabean,89.0,121.0
1,340,2009,Kharif,Soyabean,73.0,60.0
1,340,2010,Kharif,Soyabean,130.0,221.0
1,340,2011,Kharif,Soyabean,101.0,163.0
1,340,2012,Kharif,Soyabean,69.0,125.0
1,340,2013,Kharif,Soyabean,50.0,81.0
1,340,2013,Rabi,Soyabean,20.0,32.0
