State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Sweet potato,5.0,15.0
0,427,2001,Whole Year,Sweet potato,11.0,33.0
0,427,2006,Whole Year,Sweet potato,18.0,86.0
0,427,2010,Rabi,Sweet potato,22.0,208.0
0,429,2000,Whole Year,Sweet potato,78.0,843.0
0,429,2001,Whole Year,Sweet potato,100.0,5.0
0,429,2006,Whole Year,Sweet potato,30.0,240.0
0,429,2010,Rabi,Sweet potato,109.0,480.0
0,559,2005,Whole Year,Sweet potato,131.9,700.35
0,559,2006,Whole Year,Sweet potato,30.4,220.0
0,559,2010,Rabi,Sweet potato,32.0,235.0
1,24,2000,Whole Year,Sweet potato,28.0,379.0
1,24,2001,Whole Year,Sweet potato,31.0,411.0
1,24,2002,Whole Year,Sweet potato,50.0,540.0
1,24,2003,Whole Year,Sweet potato,30.0,217.0
1,24,2004,Whole Year,Sweet potato,33.0,68.0
1,24,2005,Whole Year,Sweet potato,23.0,121.0
1,24,2006,Whole Year,Sweet potato,25.0,137.0
1,24,2009,Whole Year,Sweet potato,13.0,77.0
1,24,2010,Whole Year,Sweet potato,4.0,51.0
1,24,2011,Whole Year,Sweet potato,2.0,26.0
1,24,2012,Rabi,Sweet potato,7.0,67.0
1,24,2013,Rabi,Sweet potato,1.0,9.0
1,24,2013,Whole Year,Sweet potato,1.0,9.0
1,24,2014,Rabi,Sweet potato,4.0,44.0
1,122,2000,Whole Year,Sweet potato,163.0,2203.0
1,122,2001,Whole Year,Sweet potato,188.0,2495.0
1,122,2002,Whole Year,Sweet potato,160.0,1739.0
1,122,2003,Whole Year,Sweet potato,177.0,1280.0
1,122,2004,Whole Year,Sweet potato,211.0,434.0
1,122,2005,Whole Year,Sweet potato,249.0,1102.0
1,122,2006,Whole Year,Sweet potato,246.0,1351.0
1,122,2008,Whole Year,Sweet potato,110.0,628.0
1,122,2009,Whole Year,Sweet potato,226.0,1332.0
1,122,2010,Whole Year,Sweet potato,239.0,3062.0
1,122,2011,Whole Year,Sweet potato,288.0,3490.0
1,122,2012,Kharif,Sweet potato,44.0,503.0
1,122,2012,Rabi,Sweet potato,186.0,2127.0
1,122,2013,Kharif,Sweet potato,57.0,669.0
1,122,2013,Rabi,Sweet potato,217.0,2548.0
1,122,2013,Whole Year,Sweet potato,274.0,3217.0
1,122,2014,Rabi,Sweet potato,200.0,2257.0
1,172,2000,Whole Year,Sweet potato,60.0,811.0
1,172,2001,Whole Year,Sweet potato,60.0,797.0
1,172,2002,Whole Year,Sweet potato,75.0,810.0
1,172,2003,Whole Year,Sweet potato,53.0,383.0
1,172,2004,Whole Year,Sweet potato,60.0,549.0
1,172,2005,Whole Year,Sweet potato,53.0,514.0
1,172,2006,Whole Year,Sweet potato,48.0,517.0
1,172,2008,Whole Year,Sweet potato,83.0,1129.0
1,172,2009,Whole Year,Sweet potato,60.0,771.0
1,172,2010,Whole Year,Sweet potato,49.0,627.0
1,172,2011,Whole Year,Sweet potato,35.0,450.0
1,172,2012,Kharif,Sweet potato,9.0,87.0
1,172,2013,Kharif,Sweet potato,22.0,193.0
1,172,2013,Rabi,Sweet potato,12.0,105.0
1,172,2013,Whole Year,Sweet potato,34.0,298.0
1,172,2014,Rabi,Sweet potato,33.0,364.0
1,217,2000,Whole Year,Sweet potato,90.0,2543.0
1,217,2001,Whole Year,Sweet potato,55.0,1544.0
1,217,2002,Whole Year,Sweet potato,58.0,1635.0
1,217,2003,Whole Year,Sweet potato,33.0,239.0
1,217,2004,Whole Year,Sweet potato,48.0,439.0
1,217,2005,Whole Year,Sweet potato,60.0,582.0
1,217,2006,Whole Year,Sweet potato,11.0,118.0
1,217,2008,Whole Year,Sweet potato,21.0,286.0
1,217,2009,Whole Year,Sweet potato,15.0,193.0
1,217,2010,Whole Year,Sweet potato,14.0,179.0
1,217,2011,Whole Year,Sweet potato,21.0,270.0
1,217,2012,Rabi,Sweet potato,9.0,87.0
1,217,2014,Rabi,Sweet potato,9.0,99.0
1,274,2000,Whole Year,Sweet potato,46.0,622.0
1,274,2001,Whole Year,Sweet potato,62.0,823.0
1,274,2002,Whole Year,Sweet potato,40.0,432.0
1,274,2003,Whole Year,Sweet potato,77.0,557.0
1,274,2004,Whole Year,Sweet potato,88.0,181.0
1,274,2005,Whole Year,Sweet potato,37.0,428.0
1,274,2006,Whole Year,Sweet potato,25.0,137.0
1,274,2008,Whole Year,Sweet potato,31.0,177.0
1,274,2009,Whole Year,Sweet potato,59.0,348.0
1,274,2010,Whole Year,Sweet potato,72.0,922.0
1,274,2011,Whole Year,Sweet potato,49.0,630.0
1,274,2012,Rabi,Sweet potato,67.0,645.0
1,274,2013,Kharif,Sweet potato,21.0,184.0
1,274,2013,Rabi,Sweet potato,67.0,588.0
1,274,2013,Whole Year,Sweet potato,88.0,772.0
1,274,2014,Rabi,Sweet potato,51.0,523.0
1,335,2000,Whole Year,Sweet potato,35.0,474.0
1,335,2001,Whole Year,Sweet potato,12.0,160.0
1,335,2002,Whole Year,Sweet potato,12.0,130.0
1,335,2003,Whole Year,Sweet potato,22.0,159.0
1,335,2004,Whole Year,Sweet potato,16.0,146.0
1,335,2009,Whole Year,Sweet potato,3.0,39.0
1,335,2010,Whole Year,Sweet potato,1.0,13.0
1,335,2011,Whole Year,Sweet potato,10.0,128.0
1,335,2012,Rabi,Sweet potato,8.0,77.0
1,335,2013,Rabi,Sweet potato,9.0,79.0
1,335,2013,Whole Year,Sweet potato,9.0,79.0
1,335,2014,Rabi,Sweet potato,7.0,77.0
1,340,2000,Whole Year,Sweet potato,5.0,68.0
1,340,2001,Whole Year,Sweet potato,16.0,212.0
1,340,2002,Whole Year,Sweet potato,17.0,184.0
1,340,2003,Whole Year,Sweet potato,15.0,108.0
1,340,2004,Whole Year,Sweet potato,26.0,53.0
1,340,2005,Whole Year,Sweet potato,8.0,42.0
1,340,2006,Whole Year,Sweet potato,6.0,33.0
1,340,2008,Whole Year,Sweet potato,7.0,40.0
1,340,2009,Whole Year,Sweet potato,74.0,436.0
1,340,2010,Whole Year,Sweet potato,6.0,77.0
1,340,2011,Whole Year,Sweet potato,41.0,527.0
1,463,2000,Whole Year,Sweet potato,542.0,10129.0
1,463,2001,Whole Year,Sweet potato,605.0,9829.0
1,463,2002,Whole Year,Sweet potato,425.0,4655.0
1,463,2003,Whole Year,Sweet potato,317.0,2100.0
1,463,2004,Whole Year,Sweet potato,215.0,2187.0
1,463,2005,Whole Year,Sweet potato,245.0,3164.0
1,463,2006,Whole Year,Sweet potato,159.0,2487.0
1,463,2008,Whole Year,Sweet potato,204.0,4280.0
1,463,2009,Whole Year,Sweet potato,129.0,2484.0
1,463,2010,Whole Year,Sweet potato,137.0,1918.0
