State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1997,Kharif,Tobacco,200.0,200.0
1,24,1998,Whole Year,Tobacco,100.0,100.0
1,24,2000,Whole Year,Tobacco,89.0,114.0
1,24,2001,Whole Year,Tobacco,111.0,111.0
1,24,2002,Whole Year,Tobacco,51.0,90.0
1,24,2003,Whole Year,Tobacco,20.0,25.0
1,24,2004,Whole Year,Tobacco,49.0,53.0
1,24,2005,Whole Year,Tobacco,1.0,1.0
1,24,2008,Whole Year,Tobacco,99.0,158.0
1,24,2009,Whole Year,Tobacco,700.0,1179.0
1,24,2010,Whole Year,Tobacco,174.0,282.0
1,24,2011,Whole Year,Tobacco,140.0,226.0
1,24,2012,Kharif,Tobacco,10.0,14.0
1,24,2012,Rabi,Tobacco,115.0,178.0
1,24,2013,Kharif,Tobacco,6.0,11.0
1,24,2013,Rabi,Tobacco,183.0,309.0
1,24,2014,Kharif,Tobacco,15.0,43.0
1,24,2014,Rabi,Tobacco,341.0,635.0
1,122,1999,Whole Year,Tobacco,17.0,17.0
1,122,2000,Whole Year,Tobacco,14.0,13.0
1,122,2001,Whole Year,Tobacco,33.0,38.0
1,122,2002,Whole Year,Tobacco,66.0,107.0
1,122,2003,Whole Year,Tobacco,2.0,3.0
1,122,2004,Whole Year,Tobacco,4.0,4.0
1,122,2005,Whole Year,Tobacco,7.0,7.0
1,122,2006,Whole Year,Tobacco,114.0,134.0
1,122,2008,Whole Year,Tobacco,225.0,359.0
1,122,2009,Whole Year,Tobacco,301.0,508.0
1,122,2010,Whole Year,Tobacco,130.0,229.0
1,122,2011,Whole Year,Tobacco,51.0,82.0
1,122,2012,Rabi,Tobacco,55.0,78.0
1,122,2013,Kharif,Tobacco,8.0,15.0
1,122,2013,Rabi,Tobacco,64.0,116.0
1,122,2014,Rabi,Tobacco,47.0,141.0
1,172,1997,Kharif,Tobacco,13100.0,17100.0
1,172,1998,Whole Year,Tobacco,7000.0,15900.0
1,172,1999,Whole Year,Tobacco,8877.0,10182.0
1,172,2000,Whole Year,Tobacco,5654.0,9185.0
1,172,2001,Whole Year,Tobacco,9071.0,14429.0
1,172,2002,Whole Year,Tobacco,4577.0,12632.0
1,172,2003,Whole Year,Tobacco,6672.0,20151.0
1,172,2004,Whole Year,Tobacco,4881.0,6777.0
1,172,2005,Whole Year,Tobacco,7970.0,14449.0
1,172,2006,Whole Year,Tobacco,7116.0,13194.0
1,172,2007,Whole Year,Tobacco,7000.0,7000.0
1,172,2008,Whole Year,Tobacco,8227.0,32814.0
1,172,2009,Whole Year,Tobacco,8990.0,18802.0
1,172,2010,Whole Year,Tobacco,4804.0,11761.0
1,172,2011,Whole Year,Tobacco,4538.0,12728.0
1,172,2012,Kharif,Tobacco,2235.0,5840.0
1,172,2012,Rabi,Tobacco,2757.0,8757.0
1,172,2013,Kharif,Tobacco,1070.0,2805.0
1,172,2013,Rabi,Tobacco,2828.0,9202.0
1,172,2014,Kharif,Tobacco,1007.0,4578.0
1,172,2014,Rabi,Tobacco,3010.0,13721.0
1,217,1997,Kharif,Tobacco,11400.0,13200.0
1,217,1998,Whole Year,Tobacco,9900.0,13600.0
1,217,1999,Whole Year,Tobacco,8534.0,16308.0
1,217,2000,Whole Year,Tobacco,2345.0,
1,217,2001,Whole Year,Tobacco,2857.0,4480.0
1,217,2002,Whole Year,Tobacco,2592.0,2803.0
1,217,2003,Whole Year,Tobacco,3181.0,7965.0
1,217,2004,Whole Year,Tobacco,3872.0,7020.0
1,217,2005,Whole Year,Tobacco,3110.0,5759.0
1,217,2006,Whole Year,Tobacco,2541.0,5377.0
1,217,2007,Whole Year,Tobacco,2000.0,5000.0
1,217,2008,Whole Year,Tobacco,6246.0,15890.0
1,217,2009,Whole Year,Tobacco,9223.0,21059.0
1,217,2010,Whole Year,Tobacco,4116.0,10729.0
1,217,2011,Whole Year,Tobacco,4487.0,14803.0
1,217,2012,Kharif,Tobacco,1378.0,4775.0
1,217,2012,Rabi,Tobacco,4598.0,14961.0
1,217,2013,Rabi,Tobacco,6435.0,21523.0
1,217,2014,Rabi,Tobacco,4991.0,14559.0
1,274,1997,Kharif,Tobacco,600.0,600.0
1,274,1998,Whole Year,Tobacco,1100.0,900.0
1,274,2000,Whole Year,Tobacco,113.0,145.0
1,274,2001,Whole Year,Tobacco,81.0,82.0
1,274,2002,Whole Year,Tobacco,174.0,170.0
1,274,2003,Whole Year,Tobacco,389.0,489.0
1,274,2004,Whole Year,Tobacco,85.0,94.0
1,274,2005,Whole Year,Tobacco,74.0,91.0
1,274,2006,Whole Year,Tobacco,60.0,73.0
1,274,2008,Whole Year,Tobacco,324.0,516.0
1,274,2009,Whole Year,Tobacco,377.0,633.0
1,274,2010,Whole Year,Tobacco,169.0,257.0
1,274,2011,Whole Year,Tobacco,142.0,230.0
1,274,2012,Kharif,Tobacco,20.0,28.0
1,274,2012,Rabi,Tobacco,42.0,61.0
1,274,2013,Kharif,Tobacco,11.0,20.0
1,274,2013,Rabi,Tobacco,23.0,42.0
1,274,2014,Kharif,Tobacco,20.0,60.0
1,274,2014,Rabi,Tobacco,6.0,18.0
1,335,1997,Kharif,Tobacco,7700.0,6900.0
1,335,1998,Whole Year,Tobacco,8000.0,15400.0
1,335,1999,Whole Year,Tobacco,3693.0,3711.0
1,335,2000,Whole Year,Tobacco,2669.0,7177.0
1,335,2001,Whole Year,Tobacco,3784.0,6551.0
1,335,2002,Whole Year,Tobacco,3832.0,9414.0
1,335,2003,Whole Year,Tobacco,4136.0,7924.0
1,335,2004,Whole Year,Tobacco,5097.0,9589.0
1,335,2005,Whole Year,Tobacco,4747.0,10060.0
1,335,2006,Whole Year,Tobacco,5196.0,11685.0
1,335,2007,Whole Year,Tobacco,5000.0,12000.0
1,335,2008,Whole Year,Tobacco,7145.0,19515.0
1,335,2009,Whole Year,Tobacco,7027.0,19474.0
1,335,2010,Whole Year,Tobacco,5160.0,12771.0
1,335,2011,Whole Year,Tobacco,3425.0,13256.0
1,335,2012,Rabi,Tobacco,2562.0,12515.0
