State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1997,Kharif,Bajra,1400.0,500.0
1,24,1998,Kharif,Bajra,2600.0,1900.0
1,24,1999,Kharif,Bajra,1635.0,889.0
1,24,1999,Rabi,Bajra,99.0,54.0
1,24,2000,Kharif,Bajra,2477.0,1449.0
1,24,2000,Rabi,Bajra,317.0,185.0
1,24,2001,Kharif,Bajra,1595.0,526.0
1,24,2001,Rabi,Bajra,27.0,9.0
1,24,2002,Kharif,Bajra,1925.0,581.0
1,24,2002,Rabi,Bajra,129.0,39.0
1,24,2003,Kharif,Bajra,2280.0,378.0
1,24,2003,Rabi,Bajra,113.0,19.0
1,24,2004,Kharif,Bajra,1021.0,403.0
1,24,2004,Rabi,Bajra,62.0,24.0
1,24,2005,Kharif,Bajra,993.0,1888.0
1,24,2005,Rabi,Bajra,66.0,125.0
1,24,2006,Kharif,Bajra,620.0,189.0
1,24,2006,Rabi,Bajra,141.0,43.0
1,24,2007,Kharif,Bajra,1000.0,3000.0
1,24,2008,Kharif,Bajra,743.0,1011.0
1,24,2008,Rabi,Bajra,26.0,35.0
1,24,2009,Kharif,Bajra,1722.0,3167.0
1,24,2009,Rabi,Bajra,45.0,83.0
1,24,2010,Kharif,Bajra,2010.0,1465.0
1,24,2010,Rabi,Bajra,5.0,4.0
1,24,2011,Kharif,Bajra,2614.0,3307.0
1,24,2011,Rabi,Bajra,116.0,147.0
1,24,2012,Kharif,Bajra,2176.0,1456.0
1,24,2012,Rabi,Bajra,20.0,13.0
1,24,2013,Kharif,Bajra,1332.0,1227.0
1,24,2013,Rabi,Bajra,17.0,16.0
1,24,2014,Kharif,Bajra,1752.0,1028.0
1,24,2014,Rabi,Bajra,47.0,28.0
1,122,1997,Kharif,Bajra,1700.0,1900.0
1,122,1998,Kharif,Bajra,1700.0,3400.0
1,122,1999,Kharif,Bajra,2531.0,2817.0
1,122,1999,Rabi,Bajra,68.0,76.0
1,122,2000,Kharif,Bajra,3771.0,4936.0
1,122,2000,Rabi,Bajra,393.0,514.0
1,122,2001,Kharif,Bajra,2934.0,3556.0
1,122,2001,Rabi,Bajra,258.0,313.0
1,122,2002,Kharif,Bajra,2366.0,1171.0
1,122,2002,Rabi,Bajra,42.0,21.0
1,122,2003,Kharif,Bajra,2166.0,3611.0
1,122,2003,Rabi,Bajra,36.0,60.0
1,122,2004,Kharif,Bajra,2684.0,3521.0
1,122,2004,Rabi,Bajra,57.0,75.0
1,122,2005,Kharif,Bajra,1860.0,2217.0
1,122,2005,Rabi,Bajra,58.0,69.0
1,122,2006,Kharif,Bajra,1456.0,942.0
1,122,2006,Rabi,Bajra,30.0,19.0
1,122,2007,Kharif,Bajra,2000.0,3000.0
1,122,2008,Kharif,Bajra,1714.0,3286.0
1,122,2008,Rabi,Bajra,9.0,17.0
1,122,2009,Kharif,Bajra,2859.0,3336.0
1,122,2009,Rabi,Bajra,17.0,20.0
1,122,2010,Kharif,Bajra,3081.0,5882.0
1,122,2010,Rabi,Bajra,15.0,29.0
1,122,2011,Kharif,Bajra,2353.0,4958.0
1,122,2011,Rabi,Bajra,2.0,4.0
1,122,2012,Kharif,Bajra,1681.0,4211.0
1,122,2012,Rabi,Bajra,5.0,13.0
1,122,2013,Kharif,Bajra,1789.0,3907.0
1,122,2013,Rabi,Bajra,2.0,4.0
1,122,2014,Kharif,Bajra,2071.0,4622.0
1,122,2014,Rabi,Bajra,1.0,2.0
1,172,1997,Kharif,Bajra,2500.0,1400.0
1,172,1998,Kharif,Bajra,4300.0,2400.0
1,172,1999,Kharif,Bajra,3248.0,2339.0
1,172,2000,Kharif,Bajra,3034.0,2005.0
1,172,2000,Rabi,Bajra,2.0,1.0
1,172,2001,Kharif,Bajra,2219.0,2048.0
1,172,2002,Kharif,Bajra,1196.0,1051.0
1,172,2003,Kharif,Bajra,2698.0,2301.0
1,172,2004,Kharif,Bajra,1840.0,1404.0
1,172,2005,Kharif,Bajra,1500.0,1037.0
1,172,2005,Rabi,Bajra,9.0,6.0
1,172,2006,Kharif,Bajra,1516.0,713.0
