State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Coconut,18168.0,65100000.0
0,427,2001,Whole Year,Coconut,18190.0,64430000.0
0,427,2002,Whole Year,Coconut,18240.0,67490000.0
0,427,2003,Whole Year,Coconut,18284.74,68580000.0
0,427,2004,Whole Year,Coconut,18394.7,52380000.0
0,427,2005,Whole Year,Coconut,13876.57,52030000.0
0,427,2006,Whole Year,Coconut,14358.0,59370000.0
0,427,2010,Whole Year,Coconut,14560.0,71300000.0
0,429,2000,Whole Year,Coconut,6992.0,23900000.0
0,429,2001,Whole Year,Coconut,7015.0,25250000.0
0,429,2006,Whole Year,Coconut,3575.0,15400000.0
0,429,2010,Whole Year,Coconut,3668.0,12700000.0
0,559,2002,Whole Year,Coconut,7060.0,26830000.0
0,559,2003,Whole Year,Coconut,7110.0,26660000.0
0,559,2004,Whole Year,Coconut,7156.7,34750000.0
0,559,2005,Whole Year,Coconut,7050.45,26430000.0
0,559,2006,Whole Year,Coconut,3483.09,14190000.0
0,559,2010,Whole Year,Coconut,3540.0,11000000.0
1,24,2000,Whole Year,Coconut,908.0,3896970.0
1,24,2001,Whole Year,Coconut,851.0,3053700.0
1,24,2002,Whole Year,Coconut,869.0,3691149.0
1,24,2003,Whole Year,Coconut,839.0,3285828.0
1,24,2004,Whole Year,Coconut,837.0,6413350.0
1,24,2005,Whole Year,Coconut,836.0,3358992.0
1,24,2006,Whole Year,Coconut,790.0,6404076.0
1,24,2008,Whole Year,Coconut,786.0,7141464.0
1,24,2009,Whole Year,Coconut,725.0,4247685.0
1,24,2011,Whole Year,Coconut,895.0,7165320.0
1,24,2012,Whole Year,Coconut,646.0,5571000.0
1,24,2013,Whole Year,Coconut,552.0,3969000.0
1,24,2014,Whole Year,Coconut,687.0,5756000.0
1,122,2000,Whole Year,Coconut,4011.0,17215660.0
1,122,2001,Whole Year,Coconut,4133.0,14827800.0
1,122,2002,Whole Year,Coconut,4296.0,17209269.0
1,122,2003,Whole Year,Coconut,4294.0,16827552.0
1,122,2004,Whole Year,Coconut,4165.0,31934060.0
1,122,2005,Whole Year,Coconut,3914.0,15729168.0
1,122,2006,Whole Year,Coconut,4307.0,34924554.0
1,122,2008,Whole Year,Coconut,3915.0,35594856.0
1,122,2009,Whole Year,Coconut,3893.0,22798170.0
1,122,2011,Whole Year,Coconut,3663.0,29376960.0
1,122,2012,Whole Year,Coconut,3351.0,28899000.0
1,122,2013,Whole Year,Coconut,2760.0,19847000.0
1,122,2014,Whole Year,Coconut,3465.0,29033000.0
1,172,2000,Whole Year,Coconut,48237.0,588584535.0
1,172,2001,Whole Year,Coconut,48515.0,629772990.0
1,172,2002,Whole Year,Coconut,49479.0,685943720.0
1,172,2003,Whole Year,Coconut,48854.0,683171460.0
1,172,2004,Whole Year,Coconut,49381.0,674125653.0
1,172,2005,Whole Year,Coconut,49692.0,369060890.0
1,172,2006,Whole Year,Coconut,49592.0,613037376.0
