State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2002,Whole Year,Dry chillies,413.0,28.8
0,427,2003,Whole Year,Dry chillies,60.0,102.0
0,427,2004,Whole Year,Dry chillies,60.0,145.2
0,427,2005,Whole Year,Dry chillies,17.0,
0,427,2006,Whole Year,Dry chillies,3.0,9.0
0,427,2010,Rabi,Dry chillies,12.0,25.0
0,429,2006,Whole Year,Dry chillies,235.72,824.3
0,429,2010,Rabi,Dry chillies,254.0,402.0
0,559,2002,Whole Year,Dry chillies,239.0,20.9
0,559,2003,Whole Year,Dry chillies,340.0,578.0
0,559,2004,Whole Year,Dry chillies,340.0,822.8
0,559,2005,Whole Year,Dry chillies,370.7,877.6
0,559,2006,Whole Year,Dry chillies,124.6,34.7
0,559,2010,Rabi,Dry chillies,128.0,148.0
1,24,1997,Kharif,Dry chillies,3700.0,7100.0
1,24,1997,Rabi,Dry chillies,100.0,100.0
1,24,1998,Kharif,Dry chillies,4000.0,10000.0
1,24,1998,Rabi,Dry chillies,200.0,200.0
1,24,1999,Whole Year,Dry chillies,5199.0,5759.0
1,24,2000,Kharif,Dry chillies,3755.0,10146.0
1,24,2000,Rabi,Dry chillies,71.0,81.0
1,24,2001,Kharif,Dry chillies,3765.0,7127.0
1,24,2001,Rabi,Dry chillies,108.0,168.0
1,24,2002,Kharif,Dry chillies,2737.0,6128.0
1,24,2002,Rabi,Dry chillies,83.0,161.0
1,24,2003,Kharif,Dry chillies,2920.0,10702.0
1,24,2003,Rabi,Dry chillies,91.0,190.0
1,24,2004,Kharif,Dry chillies,3402.0,11288.0
1,24,2004,Rabi,Dry chillies,155.0,754.0
1,24,2005,Kharif,Dry chillies,2178.0,6175.0
1,24,2005,Rabi,Dry chillies,58.0,214.0
1,24,2006,Kharif,Dry chillies,1754.0,5658.0
1,24,2006,Rabi,Dry chillies,10.0,37.0
1,24,2007,Kharif,Dry chillies,2000.0,9000.0
1,24,2008,Kharif,Dry chillies,1574.0,5506.0
1,24,2009,Kharif,Dry chillies,1604.0,4031.0
1,24,2010,Kharif,Dry chillies,1968.0,7307.0
1,24,2011,Kharif,Dry chillies,4101.0,10425.0
1,24,2011,Rabi,Dry chillies,64.0,83.0
1,24,2012,Kharif,Dry chillies,2736.0,5603.0
1,24,2012,Rabi,Dry chillies,70.0,159.0
1,24,2013,Kharif,Dry chillies,2647.0,3965.0
1,24,2013,Rabi,Dry chillies,27.0,54.0
1,24,2014,Kharif,Dry chillies,2799.0,11848.0
1,24,2014,Rabi,Dry chillies,124.0,387.0
1,122,1997,Kharif,Dry chillies,600.0,800.0
1,122,1997,Rabi,Dry chillies,3000.0,2100.0
1,122,1998,Kharif,Dry chillies,600.0,900.0
1,122,1998,Rabi,Dry chillies,3200.0,4100.0
1,122,1999,Whole Year,Dry chillies,3370.0,4968.0
1,122,2000,Kharif,Dry chillies,522.0,770.0
1,122,2000,Rabi,Dry chillies,2676.0,3056.0
1,122,2001,Kharif,Dry chillies,443.0,641.0
1,122,2001,Rabi,Dry chillies,2958.0,4609.0
1,122,2002,Kharif,Dry chillies,519.0,791.0
1,122,2002,Rabi,Dry chillies,2199.0,4253.0
1,122,2003,Kharif,Dry chillies,412.0,1014.0
1,122,2003,Rabi,Dry chillies,2792.0,5832.0
1,122,2004,Kharif,Dry chillies,537.0,1171.0
1,122,2004,Rabi,Dry chillies,2285.0,11110.0
1,122,2005,Kharif,Dry chillies,459.0,858.0
1,122,2005,Rabi,Dry chillies,2159.0,7967.0
1,122,2006,Kharif,Dry chillies,413.0,1104.0
1,122,2006,Rabi,Dry chillies,2405.0,8975.0
1,122,2007,Kharif,Dry chillies,1000.0,1000.0
1,122,2007,Rabi,Dry chillies,2000.0,7000.0
1,122,2008,Kharif,Dry chillies,514.0,1276.0
1,122,2008,Rabi,Dry chillies,2500.0,5155.0
1,122,2009,Kharif,Dry chillies,591.0,1415.0
1,122,2009,Rabi,Dry chillies,2297.0,7695.0
1,122,2010,Rabi,Dry chillies,2034.0,4153.0
1,122,2011,Rabi,Dry chillies,1897.0,2474.0
1,122,2012,Rabi,Dry chillies,1702.0,3877.0
1,122,2013,Rabi,Dry chillies,1751.0,3488.0
1,122,2014,Rabi,Dry chillies,1693.0,5287.0
1,172,1997,Kharif,Dry chillies,700.0,2200.0
1,172,1997,Rabi,Dry chillies,700.0,1200.0
1,172,1998,Kharif,Dry chillies,1100.0,3300.0
1,172,1998,Rabi,Dry chillies,1100.0,2200.0
1,172,1999,Whole Year,Dry chillies,1825.0,3246.0
1,172,2000,Kharif,Dry chillies,868.0,2396.0
1,172,2000,Rabi,Dry chillies,539.0,1112.0
1,172,2001,Kharif,Dry chillies,628.0,2274.0
1,172,2001,Rabi,Dry chillies,936.0,1882.0
1,172,2002,Kharif,Dry chillies,512.0,1011.0
1,172,2002,Rabi,Dry chillies,597.0,993.0
1,172,2003,Kharif,Dry chillies,1070.0,4714.0
1,172,2003,Rabi,Dry chillies,1029.0,2172.0
1,172,2004,Kharif,Dry chillies,599.0,2479.0
1,172,2004,Rabi,Dry chillies,613.0,1582.0
