State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1997,Rabi,Gram,28000.0,14800.0
1,24,1998,Rabi,Gram,26200.0,25900.0
1,24,1999,Rabi,Gram,26835.0,9365.0
1,24,2000,Kharif,Gram,21.0,14.0
1,24,2000,Rabi,Gram,33858.0,22685.0
1,24,2001,Kharif,Gram,16.0,17.0
1,24,2001,Rabi,Gram,47894.0,50145.0
1,24,2002,Rabi,Gram,54264.0,20186.0
1,24,2003,Rabi,Gram,51461.0,15438.0
1,24,2004,Rabi,Gram,42106.0,9516.0
1,24,2005,Rabi,Gram,49105.0,48172.0
1,24,2006,Rabi,Gram,83533.0,30739.0
1,24,2007,Rabi,Gram,75000.0,78000.0
1,24,2008,Rabi,Gram,73055.0,68379.0
1,24,2009,Rabi,Gram,92936.0,107248.0
1,24,2010,Rabi,Gram,94240.0,73601.0
1,24,2011,Rabi,Gram,68483.0,38008.0
1,24,2012,Rabi,Gram,89676.0,77301.0
1,24,2013,Rabi,Gram,85768.0,68614.0
1,24,2014,Rabi,Gram,68092.0,38676.0
1,122,1999,Rabi,Gram,1.0,1.0
1,122,2000,Kharif,Gram,6.0,5.0
1,122,2001,Kharif,Gram,5.0,6.0
1,122,2002,Rabi,Gram,20.0,16.0
1,122,2004,Kharif,Gram,9.0,8.0
1,122,2004,Rabi,Gram,2.0,2.0
1,122,2008,Rabi,Gram,19.0,74.0
1,122,2009,Rabi,Gram,2.0,2.0
1,122,2011,Rabi,Gram,2.0,1.0
1,122,2012,Rabi,Gram,17.0,13.0
1,122,2013,Rabi,Gram,8.0,10.0
1,122,2014,Rabi,Gram,7.0,7.0
1,172,1999,Rabi,Gram,10.0,11.0
1,172,2000,Rabi,Gram,7.0,17.0
1,172,2001,Rabi,Gram,26.0,49.0
1,172,2002,Rabi,Gram,31.0,41.0
1,172,2003,Rabi,Gram,5.0,9.0
1,172,2004,Rabi,Gram,9.0,14.0
1,172,2005,Rabi,Gram,13.0,25.0
1,172,2006,Rabi,Gram,170.0,324.0
1,172,2007,Rabi,Gram,1000.0,1000.0
1,172,2008,Rabi,Gram,728.0,1267.0
1,172,2009,Rabi,Gram,498.0,818.0
1,172,2010,Rabi,Gram,316.0,526.0
1,172,2011,Rabi,Gram,92.0,139.0
1,172,2012,Rabi,Gram,124.0,225.0
1,172,2013,Rabi,Gram,134.0,258.0
1,172,2014,Rabi,Gram,97.0,187.0
1,217,1997,Rabi,Gram,3000.0,1500.0
1,217,1998,Rabi,Gram,1400.0,2700.0
1,217,1999,Rabi,Gram,868.0,965.0
1,217,2000,Rabi,Gram,1452.0,3453.0
1,217,2001,Rabi,Gram,2820.0,5285.0
1,217,2002,Rabi,Gram,9847.0,12909.0
1,217,2003,Kharif,Gram,44.0,79.0
1,217,2003,Rabi,Gram,17127.0,30656.0
1,217,2004,Rabi,Gram,3719.0,5679.0
1,217,2005,Rabi,Gram,6350.0,9970.0
1,217,2006,Rabi,Gram,11684.0,18099.0
1,217,2007,Rabi,Gram,15000.0,25000.0
1,217,2008,Rabi,Gram,12603.0,26025.0
1,217,2009,Rabi,Gram,9439.0,12280.0
1,217,2010,Rabi,Gram,9334.0,16521.0
1,217,2011,Rabi,Gram,11693.0,23854.0
1,217,2012,Rabi,Gram,22669.0,42708.0
1,217,2013,Rabi,Gram,9507.0,21676.0
1,217,2014,Rabi,Gram,5945.0,13691.0
1,274,1997,Rabi,Gram,14200.0,7000.0
1,274,1998,Kharif,Gram,100.0,100.0
1,274,1998,Rabi,Gram,17400.0,26600.0
1,274,1999,Rabi,Gram,22263.0,15651.0
1,274,2000,Rabi,Gram,30637.0,38541.0
1,274,2001,Kharif,Gram,1.0,1.0
1,274,2001,Rabi,Gram,42871.0,54060.0
1,274,2002,Kharif,Gram,2.0,1.0
1,274,2002,Rabi,Gram,54056.0,28109.0
1,274,2003,Rabi,Gram,44584.0,49221.0
1,274,2004,Rabi,Gram,35568.0,28988.0
1,274,2005,Rabi,Gram,33462.0,55513.0
1,274,2006,Rabi,Gram,71786.0,32663.0
1,274,2007,Rabi,Gram,67000.0,87000.0
1,274,2008,Rabi,Gram,71451.0,67450.0
1,274,2009,Rabi,Gram,77338.0,38128.0
1,274,2010,Rabi,Gram,69518.0,76817.0
1,274,2011,Rabi,Gram,90366.0,74913.0
1,274,2012,Rabi,Gram,112194.0,18849.0
1,274,2013,Rabi,Gram,97046.0,131594.0
1,274,2014,Rabi,Gram,68169.0,43083.0
1,335,1998,Rabi,Gram,100.0,100.0
1,335,1999,Rabi,Gram,34.0,38.0
1,335,2000,Rabi,Gram,4.0,10.0
1,335,2001,Rabi,Gram,30.0,56.0
1,335,2002,Rabi,Gram,48.0,63.0
1,335,2003,Kharif,Gram,2.0,4.0
1,335,2003,Rabi,Gram,153.0,274.0
1,335,2004,Rabi,Gram,586.0,895.0
1,335,2005,Rabi,Gram,44.0,84.0
1,335,2006,Rabi,Gram,321.0,612.0
1,335,2007,Rabi,Gram,1000.0,2000.0
1,335,2008,Rabi,Gram,931.0,1621.0
1,335,2009,Rabi,Gram,891.0,1463.0
1,335,2010,Rabi,Gram,814.0,1354.0
1,335,2011,Rabi,Gram,1283.0,1944.0
1,335,2012,Rabi,Gram,1906.0,3461.0
1,335,2013,Rabi,Gram,1072.0,2066.0
1,335,2014,Rabi,Gram,769.0,1485.0
1,340,1997,Rabi,Gram,48300.0,22800.0
1,340,1998,Rabi,Gram,54400.0,44500.0
1,340,1999,Rabi,Gram,61739.0,27412.0
1,340,2000,Rabi,Gram,65868.0,57437.0
1,340,2001,Kharif,Gram,10.0,12.0
1,340,2001,Rabi,Gram,107059.0,125901.0
1,340,2002,Rabi,Gram,143953.0,157053.0
1,340,2003,Rabi,Gram,139705.0,110507.0
1,340,2004,Rabi,Gram,110677.0,120527.0
1,340,2005,Rabi,Gram,138260.0,226885.0
1,340,2006,Rabi,Gram,217586.0,207142.0
1,340,2007,Rabi,Gram,236000.0,412000.0
1,340,2008,Rabi,Gram,224086.0,327390.0
1,340,2009,Rabi,Gram,239387.0,335860.0
1,340,2010,Rabi,Gram,217475.0,265102.0
1,340,2011,Rabi,Gram,201034.0,153188.0
1,340,2012,Rabi,Gram,218223.0,231971.0
1,340,2013,Rabi,Gram,201345.0,277856.0
1,340,2014,Rabi,Gram,143877.0,190205.0
1,463,1997,Rabi,Gram,15100.0,7400.0
1,463,1998,Rabi,Gram,13000.0,25400.0
1,463,1999,Rabi,Gram,16875.0,18765.0
1,463,2000,Kharif,Gram,61.0,145.0
1,463,2000,Rabi,Gram,33531.0,79737.0
1,463,2001,Rabi,Gram,43496.0,81512.0
1,463,2002,Rabi,Gram,67372.0,88325.0
1,463,2003,Rabi,Gram,78451.0,140427.0
1,463,2004,Rabi,Gram,72599.0,110859.0
1,463,2005,Rabi,Gram,90384.0,175616.0
1,463,2006,Rabi,Gram,104508.0,203582.0
1,463,2007,Rabi,Gram,105000.0,135000.0
1,463,2008,Rabi,Gram,93681.0,164972.0
1,463,2009,Rabi,Gram,94477.0,161650.0
1,463,2010,Rabi,Gram,73323.0,123549.0
1,463,2011,Rabi,Gram,94684.0,138996.0
1,463,2012,Rabi,Gram,112135.0,209468.0
1,463,2013,Rabi,Gram,69465.0,135109.0
1,463,2014,Rabi,Gram,50750.0,95867.0
1,566,1999,Rabi,Gram,120.0,133.0
1,566,2000,Rabi,Gram,654.0,1555.0
1,566,2001,Rabi,Gram,930.0,1743.0
1,566,2002,Kharif,Gram,16.0,21.0
1,566,2002,Rabi,Gram,2165.0,2838.0
1,566,2003,Rabi,Gram,2604.0,4661.0
1,566,2004,Rabi,Gram,3017.0,4607.0
1,566,2005,Rabi,Gram,3110.0,5968.0
1,566,2006,Rabi,Gram,10832.0,20667.0
1,566,2007,Rabi,Gram,12000.0,10000.0
1,566,2008,Rabi,Gram,10513.0,12353.0
1,566,2009,Rabi,Gram,9935.0,12955.0
1,566,2010,Rabi,Gram,9512.0,13184.0
1,566,2011,Rabi,Gram,11944.0,16339.0
1,566,2012,Rabi,Gram,11533.0,13597.0
1,566,2013,Rabi,Gram,7429.0,9680.0
1,566,2014,Rabi,Gram,3699.0,7069.0
1,567,2006,Rabi,Gram,15.0,29.0
1,567,2008,Rabi,Gram,16.0,28.0
1,567,2009,Rabi,Gram,16.0,26.0
1,567,2010,Rabi,Gram,12.0,20.0
1,567,2012,Kharif,Gram,18.0,20.0
1,567,2014,Rabi,Gram,1.0,2.0
1,625,1997,Rabi,Gram,200.0,100.0
1,625,1998,Rabi,Gram,100.0,300.0
1,625,1999,Rabi,Gram,203.0,226.0
1,625,2000,Rabi,Gram,27.0,64.0
1,625,2001,Rabi,Gram,97.0,182.0
1,625,2002,Rabi,Gram,93.0,122.0
1,625,2003,Rabi,Gram,215.0,385.0
1,625,2004,Rabi,Gram,64.0,98.0
1,625,2005,Rabi,Gram,31.0,59.0
1,625,2006,Rabi,Gram,33.0,63.0
1,625,2008,Rabi,Gram,58.0,101.0
1,625,2009,Rabi,Gram,60.0,99.0
1,625,2010,Rabi,Gram,80.0,133.0
1,625,2011,Rabi,Gram,65.0,98.0
1,625,2012,Rabi,Gram,43.0,78.0
1,625,2013,Rabi,Gram,81.0,156.0
1,625,2014,Rabi,Gram,87.0,168.0
1,626,1997,Rabi,Gram,100.0,100.0
1,626,1998,Rabi,Gram,100.0,300.0
1,626,1999,Rabi,Gram,97.0,108.0
1,626,2000,Rabi,Gram,71.0,169.0
1,626,2001,Rabi,Gram,61.0,114.0
1,626,2002,Rabi,Gram,322.0,422.0
1,626,2003,Rabi,Gram,178.0,319.0
1,626,2004,Rabi,Gram,99.0,151.0
1,626,2005,Rabi,Gram,93.0,178.0
1,626,2006,Rabi,Gram,165.0,315.0
1,626,2008,Rabi,Gram,214.0,373.0
1,626,2009,Rabi,Gram,237.0,389.0
1,626,2010,Rabi,Gram,202.0,336.0
1,626,2011,Rabi,Gram,250.0,379.0
1,626,2012,Rabi,Gram,254.0,461.0
1,626,2013,Rabi,Gram,525.0,1012.0
1,626,2014,Rabi,Gram,229.0,442.0
1,633,1999,Rabi,Gram,61.0,68.0
1,633,2000,Rabi,Gram,5.0,12.0
1,633,2001,Rabi,Gram,6.0,11.0
1,633,2002,Rabi,Gram,23.0,30.0
1,633,2009,Rabi,Gram,200.0,328.0
1,633,2014,Rabi,Gram,44.0,85.0
3,41,2005,Rabi,Gram,58.0,26.0
3,41,2006,Rabi,Gram,118.0,53.0
3,41,2007,Rabi,Gram,97.0,44.0
3,41,2008,Rabi,Gram,68.0,31.0
3,41,2009,Rabi,Gram,94.0,42.0
3,41,2010,Rabi,Gram,45.0,20.0
3,41,2011,Rabi,Gram,69.0,31.0
3,41,2012,Rabi,Gram,72.0,35.0
3,41,2013,Rabi,Gram,80.0,40.0
3,41,2014,Rabi,Gram,78.0,49.0
3,64,1997,Rabi,Gram,255.0,102.0
3,64,1998,Rabi,Gram,255.0,102.0
3,64,1999,Rabi,Gram,229.0,92.0
3,64,2000,Rabi,Gram,211.0,84.0
3,64,2001,Rabi,Gram,219.0,87.0
3,64,2002,Rabi,Gram,220.0,88.0
3,64,2003,Rabi,Gram,222.0,98.0
3,64,2004,Rabi,Gram,212.0,88.0
3,64,2005,Rabi,Gram,153.0,64.0
3,64,2006,Rabi,Gram,165.0,70.0
3,64,2007,Rabi,Gram,165.0,69.0
3,64,2008,Rabi,Gram,123.0,52.0
3,64,2009,Rabi,Gram,107.0,45.0
3,64,2010,Rabi,Gram,90.0,38.0
3,64,2011,Rabi,Gram,114.0,50.0
3,64,2012,Rabi,Gram,99.0,47.0
3,64,2013,Rabi,Gram,83.0,39.0
3,64,2014,Rabi,Gram,83.0,51.0
3,95,1997,Rabi,Gram,37.0,20.0
3,95,1998,Rabi,Gram,40.0,23.0
3,95,1999,Rabi,Gram,47.0,25.0
3,95,2000,Rabi,Gram,47.0,25.0
3,95,2001,Rabi,Gram,38.0,22.0
3,95,2002,Rabi,Gram,47.0,24.0
3,95,2003,Rabi,Gram,38.0,21.0
3,95,2004,Rabi,Gram,35.0,19.0
3,95,2005,Rabi,Gram,21.0,10.0
3,95,2006,Rabi,Gram,20.0,9.0
3,95,2007,Rabi,Gram,23.0,11.0
3,95,2008,Rabi,Gram,26.0,13.0
3,95,2009,Rabi,Gram,27.0,14.0
3,95,2010,Rabi,Gram,28.0,14.0
3,95,2011,Rabi,Gram,23.0,15.0
3,95,2012,Rabi,Gram,20.0,13.0
3,95,2013,Rabi,Gram,265.0,202.0
3,95,2014,Rabi,Gram,242.0,232.0
3,103,1997,Rabi,Gram,40.0,21.0
3,103,1998,Rabi,Gram,42.0,22.0
3,103,1999,Rabi,Gram,42.0,22.0
3,103,2000,Rabi,Gram,42.0,22.0
3,103,2001,Rabi,Gram,43.0,22.0
3,103,2002,Rabi,Gram,44.0,23.0
3,103,2003,Rabi,Gram,48.0,25.0
3,103,2004,Rabi,Gram,52.0,27.0
3,103,2005,Rabi,Gram,54.0,28.0
3,103,2006,Rabi,Gram,60.0,31.0
3,103,2007,Rabi,Gram,56.0,29.0
3,103,2008,Rabi,Gram,54.0,28.0
3,103,2009,Rabi,Gram,52.0,28.0
3,103,2010,Rabi,Gram,56.0,29.0
3,103,2011,Rabi,Gram,59.0,32.0
3,103,2012,Rabi,Gram,61.0,35.0
3,103,2013,Rabi,Gram,64.0,38.0
3,103,2014,Rabi,Gram,61.0,46.0
3,119,2005,Rabi,Gram,21.0,10.0
3,119,2006,Rabi,Gram,19.0,9.0
3,119,2007,Rabi,Gram,15.0,7.0
3,119,2008,Rabi,Gram,15.0,7.0
3,119,2009,Rabi,Gram,16.0,8.0
3,119,2010,Rabi,Gram,213.0,100.0
3,119,2011,Rabi,Gram,81.0,42.0
3,119,2012,Rabi,Gram,133.0,69.0
3,119,2013,Rabi,Gram,141.0,75.0
3,119,2014,Rabi,Gram,118.0,79.0
3,137,1997,Rabi,Gram,339.0,221.0
3,137,1998,Rabi,Gram,355.0,232.0
3,137,1999,Rabi,Gram,255.0,166.0
3,137,2000,Rabi,Gram,179.0,116.0
3,137,2001,Rabi,Gram,169.0,110.0
3,137,2002,Rabi,Gram,186.0,121.0
3,137,2003,Rabi,Gram,187.0,121.0
3,137,2004,Rabi,Gram,155.0,101.0
3,137,2005,Rabi,Gram,117.0,76.0
3,137,2006,Rabi,Gram,45.0,29.0
3,137,2007,Rabi,Gram,24.0,16.0
3,137,2008,Rabi,Gram,42.0,27.0
3,137,2009,Rabi,Gram,42.0,27.0
3,137,2010,Rabi,Gram,47.0,31.0
3,137,2011,Rabi,Gram,40.0,26.0
3,137,2012,Rabi,Gram,11.0,8.0
3,137,2013,Rabi,Gram,15.0,11.0
3,137,2014,Rabi,Gram,17.0,15.0
3,152,1997,Rabi,Gram,15.0,6.0
3,152,1998,Rabi,Gram,13.0,5.0
3,152,1999,Rabi,Gram,11.0,5.0
3,152,2000,Rabi,Gram,21.0,9.0
3,152,2001,Rabi,Gram,8.0,3.0
3,152,2002,Rabi,Gram,7.0,3.0
3,152,2003,Rabi,Gram,7.0,3.0
3,152,2004,Rabi,Gram,8.0,3.0
3,152,2005,Rabi,Gram,9.0,4.0
3,152,2006,Rabi,Gram,8.0,4.0
3,152,2007,Rabi,Gram,7.0,4.0
3,152,2008,Rabi,Gram,7.0,4.0
3,152,2009,Rabi,Gram,7.0,4.0
3,152,2010,Rabi,Gram,6.0,2.0
3,152,2011,Rabi,Gram,6.0,4.0
3,152,2012,Rabi,Gram,9.0,6.0
3,152,2013,Rabi,Gram,6.0,4.0
3,152,2014,Rabi,Gram,5.0,4.0
3,155,1997,Rabi,Gram,399.0,261.0
3,155,1998,Rabi,Gram,384.0,252.0
3,155,1999,Rabi,Gram,386.0,253.0
3,155,2000,Rabi,Gram,370.0,242.0
3,155,2001,Rabi,Gram,338.0,222.0
3,155,2002,Rabi,Gram,313.0,205.0
3,155,2003,Rabi,Gram,310.0,203.0
3,155,2004,Rabi,Gram,293.0,192.0
3,155,2005,Rabi,Gram,260.0,170.0
3,155,2006,Rabi,Gram,242.0,159.0
3,155,2007,Rabi,Gram,243.0,159.0
3,155,2008,Rabi,Gram,255.0,167.0
3,155,2009,Rabi,Gram,224.0,146.0
3,155,2010,Rabi,Gram,165.0,108.0
3,155,2011,Rabi,Gram,155.0,102.0
3,155,2012,Rabi,Gram,165.0,117.0
3,155,2013,Rabi,Gram,167.0,122.0
3,155,2014,Rabi,Gram,163.0,486.0
3,158,1997,Rabi,Gram,159.0,75.0
3,158,1998,Rabi,Gram,175.0,83.0
3,158,1999,Rabi,Gram,172.0,81.0
3,158,2000,Rabi,Gram,172.0,81.0
3,158,2001,Rabi,Gram,170.0,80.0
3,158,2002,Rabi,Gram,90.0,42.0
3,158,2003,Rabi,Gram,94.0,44.0
3,158,2004,Rabi,Gram,28.0,13.0
3,158,2005,Rabi,Gram,7.0,3.0
3,158,2006,Rabi,Gram,2.0,1.0
3,158,2007,Rabi,Gram,2.0,1.0
3,158,2008,Rabi,Gram,2.0,1.0
3,158,2009,Rabi,Gram,1.0,1.0
3,158,2010,Rabi,Gram,1.0,1.0
3,158,2012,Rabi,Gram,1.0,1.0
3,159,1997,Rabi,Gram,26.0,8.0
3,159,1998,Rabi,Gram,16.0,5.0
3,159,1999,Rabi,Gram,5.0,2.0
3,159,2000,Rabi,Gram,4.0,1.0
3,159,2001,Rabi,Gram,4.0,1.0
3,159,2002,Rabi,Gram,4.0,1.0
3,159,2003,Rabi,Gram,4.0,1.0
3,159,2004,Rabi,Gram,4.0,1.0
3,159,2005,Rabi,Gram,5.0,2.0
3,159,2006,Rabi,Gram,5.0,2.0
3,159,2007,Rabi,Gram,6.0,2.0
3,159,2008,Rabi,Gram,6.0,2.0
3,159,2009,Rabi,Gram,9.0,3.0
3,159,2010,Rabi,Gram,7.0,2.0
3,159,2011,Rabi,Gram,7.0,2.0
3,159,2012,Rabi,Gram,8.0,3.0
3,206,1997,Rabi,Gram,180.0,72.0
3,206,1998,Rabi,Gram,170.0,68.0
3,206,1999,Rabi,Gram,172.0,83.0
3,206,2000,Rabi,Gram,164.0,70.0
3,206,2001,Rabi,Gram,90.0,39.0
3,206,2002,Rabi,Gram,80.0,36.0
3,206,2003,Rabi,Gram,83.0,36.0
3,206,2004,Rabi,Gram,85.0,37.0
3,206,2005,Rabi,Gram,86.0,38.0
3,206,2006,Rabi,Gram,75.0,33.0
3,206,2007,Rabi,Gram,116.0,51.0
3,206,2008,Rabi,Gram,125.0,49.0
3,206,2009,Rabi,Gram,130.0,55.0
3,206,2010,Rabi,Gram,140.0,60.0
3,206,2011,Rabi,Gram,145.0,62.0
3,206,2012,Rabi,Gram,148.0,67.0
3,206,2013,Rabi,Gram,150.0,259.0
3,206,2014,Rabi,Gram,186.0,109.0
3,208,1997,Rabi,Gram,16.0,8.0
3,208,1998,Rabi,Gram,18.0,9.0
3,208,1999,Rabi,Gram,18.0,9.0
3,208,2000,Rabi,Gram,19.0,9.0
3,208,2001,Rabi,Gram,19.0,9.0
3,208,2002,Rabi,Gram,19.0,9.0
3,208,2003,Rabi,Gram,21.0,9.0
3,208,2004,Rabi,Gram,20.0,9.0
3,208,2005,Rabi,Gram,25.0,11.0
