State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1999,Rabi,Linseed,12.0,1.0
1,24,2000,Rabi,Linseed,8.0,2.0
1,24,2001,Rabi,Linseed,5.0,1.0
1,24,2002,Rabi,Linseed,8.0,2.0
1,24,2003,Rabi,Linseed,7.0,2.0
1,24,2004,Rabi,Linseed,34.0,4.0
1,24,2005,Rabi,Linseed,29.0,11.0
1,24,2006,Rabi,Linseed,15.0,4.0
1,24,2008,Rabi,Linseed,14.0,5.0
1,24,2012,Kharif,Linseed,7.0,3.0
1,24,2013,Kharif,Linseed,7.0,3.0
1,24,2013,Whole Year,Linseed,7.0,3.0
1,122,1999,Rabi,Linseed,28.0,2.0
1,122,2000,Rabi,Linseed,30.0,6.0
1,122,2001,Rabi,Linseed,21.0,5.0
1,122,2002,Rabi,Linseed,14.0,4.0
1,122,2003,Rabi,Linseed,19.0,5.0
1,122,2004,Rabi,Linseed,11.0,1.0
1,122,2005,Rabi,Linseed,5.0,2.0
1,122,2006,Rabi,Linseed,4.0,1.0
1,122,2010,Rabi,Linseed,18.0,
1,122,2011,Rabi,Linseed,11.0,2.0
1,172,2000,Rabi,Linseed,14.0,3.0
1,217,2010,Rabi,Linseed,137.0,32.0
1,274,2008,Rabi,Linseed,528.0,197.0
1,274,2010,Rabi,Linseed,289.0,67.0
1,274,2011,Rabi,Linseed,350.0,74.0
1,274,2012,Kharif,Linseed,415.0,200.0
1,274,2013,Kharif,Linseed,466.0,225.0
1,274,2013,Whole Year,Linseed,466.0,225.0
1,274,2014,Kharif,Linseed,361.0,174.0
1,335,2008,Rabi,Linseed,7.0,3.0
1,335,2010,Rabi,Linseed,5.0,1.0
1,340,1999,Rabi,Linseed,6.0,1.0
1,340,2000,Rabi,Linseed,6.0,1.0
1,340,2002,Rabi,Linseed,2.0,1.0
1,340,2003,Rabi,Linseed,1.0,0.0
1,340,2004,Rabi,Linseed,6.0,1.0
1,340,2005,Rabi,Linseed,6.0,2.0
1,626,1999,Rabi,Linseed,473.0,182.0
3,41,2005,Rabi,Linseed,728.0,422.0
3,41,2006,Rabi,Linseed,768.0,445.0
3,41,2007,Rabi,Linseed,735.0,426.0
3,41,2008,Rabi,Linseed,516.0,316.0
3,41,2009,Rabi,Linseed,673.0,398.0
3,41,2010,Rabi,Linseed,680.0,402.0
3,41,2011,Rabi,Linseed,623.0,401.0
3,41,2012,Rabi,Linseed,480.0,306.0
3,41,2013,Rabi,Linseed,478.0,210.0
3,41,2014,Rabi,Linseed,455.0,339.0
3,64,1997,Rabi,Linseed,2600.0,1430.0
3,64,1998,Rabi,Linseed,2600.0,1430.0
3,64,1999,Rabi,Linseed,2645.0,1455.0
3,64,2000,Rabi,Linseed,2605.0,1433.0
3,64,2001,Rabi,Linseed,2600.0,1431.0
3,64,2002,Rabi,Linseed,2655.0,1461.0
3,64,2003,Rabi,Linseed,2832.0,1558.0
3,64,2004,Rabi,Linseed,2780.0,1530.0
3,64,2005,Rabi,Linseed,2034.0,1119.0
3,64,2006,Rabi,Linseed,2033.0,1118.0
3,64,2007,Rabi,Linseed,2034.0,1118.0
3,64,2008,Rabi,Linseed,1921.0,1057.0
3,64,2009,Rabi,Linseed,1924.0,1058.0
3,64,2010,Rabi,Linseed,1872.0,1029.0
3,64,2011,Rabi,Linseed,1888.0,1149.0
3,64,2012,Rabi,Linseed,1827.0,1199.0
3,64,2013,Rabi,Linseed,1688.0,1007.0
3,64,2014,Rabi,Linseed,1665.0,1278.0
3,95,1997,Rabi,Linseed,749.0,384.0
3,95,1998,Rabi,Linseed,599.0,320.0
3,95,1999,Rabi,Linseed,585.0,286.0
3,95,2000,Rabi,Linseed,534.0,276.0
3,95,2001,Rabi,Linseed,580.0,293.0
3,95,2002,Rabi,Linseed,502.0,276.0
3,95,2003,Rabi,Linseed,603.0,305.0
3,95,2004,Rabi,Linseed,529.0,258.0
3,95,2005,Rabi,Linseed,363.0,152.0
3,95,2006,Rabi,Linseed,359.0,150.0
3,95,2007,Rabi,Linseed,376.0,161.0
3,95,2008,Rabi,Linseed,373.0,159.0
3,95,2009,Rabi,Linseed,360.0,154.0
3,95,2010,Rabi,Linseed,270.0,121.0
3,95,2011,Rabi,Linseed,280.0,128.0
3,95,2012,Rabi,Linseed,243.0,117.0
3,95,2013,Rabi,Linseed,252.0,131.0
3,95,2014,Rabi,Linseed,221.0,118.0
3,103,1997,Rabi,Linseed,38.0,16.0
3,103,1998,Rabi,Linseed,38.0,16.0
3,103,1999,Rabi,Linseed,38.0,16.0
3,103,2000,Rabi,Linseed,38.0,16.0
3,103,2001,Rabi,Linseed,38.0,16.0
3,103,2002,Rabi,Linseed,39.0,17.0
3,103,2003,Rabi,Linseed,40.0,17.0
3,103,2004,Rabi,Linseed,43.0,20.0
3,103,2005,Rabi,Linseed,44.0,20.0
3,103,2006,Rabi,Linseed,46.0,20.0
3,103,2007,Rabi,Linseed,30.0,13.0
3,103,2008,Rabi,Linseed,30.0,14.0
3,103,2009,Rabi,Linseed,31.0,14.0
3,103,2010,Rabi,Linseed,25.0,11.0
3,103,2011,Rabi,Linseed,25.0,14.0
3,103,2012,Rabi,Linseed,26.0,14.0
3,103,2013,Rabi,Linseed,26.0,13.0
3,103,2014,Rabi,Linseed,27.0,17.0
3,119,2005,Rabi,Linseed,247.0,103.0
3,119,2006,Rabi,Linseed,244.0,102.0
3,119,2007,Rabi,Linseed,247.0,105.0
3,119,2008,Rabi,Linseed,238.0,107.0
3,119,2009,Rabi,Linseed,343.0,148.0
3,119,2010,Rabi,Linseed,227.0,100.0
3,119,2011,Rabi,Linseed,269.0,126.0
3,119,2012,Rabi,Linseed,203.0,102.0
3,119,2013,Rabi,Linseed,197.0,131.0
3,119,2014,Rabi,Linseed,189.0,111.0
3,137,1997,Rabi,Linseed,660.0,293.0
3,137,1998,Rabi,Linseed,670.0,291.0
3,137,1999,Rabi,Linseed,645.0,277.0
3,137,2000,Rabi,Linseed,625.0,288.0
3,137,2001,Rabi,Linseed,855.0,367.0
3,137,2002,Rabi,Linseed,835.0,369.0
3,137,2003,Rabi,Linseed,650.0,311.0
3,137,2004,Rabi,Linseed,795.0,357.0
3,137,2005,Rabi,Linseed,266.0,139.0
3,137,2006,Rabi,Linseed,343.0,180.0
3,137,2007,Rabi,Linseed,325.0,170.0
3,137,2008,Rabi,Linseed,523.0,274.0
3,137,2009,Rabi,Linseed,525.0,275.0
3,137,2010,Rabi,Linseed,521.0,273.0
3,137,2011,Rabi,Linseed,500.0,293.0
3,137,2012,Rabi,Linseed,480.0,304.0
3,137,2013,Rabi,Linseed,434.0,423.0
3,137,2014,Rabi,Linseed,417.0,309.0
3,152,1997,Rabi,Linseed,12.0,4.0
3,152,1998,Rabi,Linseed,12.0,8.0
3,152,1999,Rabi,Linseed,10.0,4.0
3,152,2000,Rabi,Linseed,21.0,10.0
3,152,2001,Rabi,Linseed,40.0,21.0
3,152,2002,Rabi,Linseed,20.0,10.0
3,152,2003,Rabi,Linseed,22.0,11.0
3,152,2004,Rabi,Linseed,20.0,10.0
3,152,2005,Rabi,Linseed,25.0,12.0
3,152,2006,Rabi,Linseed,20.0,10.0
3,152,2007,Rabi,Linseed,20.0,10.0
3,152,2008,Rabi,Linseed,10.0,4.0
3,152,2009,Rabi,Linseed,10.0,5.0
3,152,2010,Rabi,Linseed,36.0,18.0
3,152,2011,Rabi,Linseed,20.0,12.0
3,152,2012,Rabi,Linseed,19.0,12.0
3,152,2013,Rabi,Linseed,9.0,6.0
3,152,2014,Rabi,Linseed,9.0,7.0
3,155,1997,Rabi,Linseed,1138.0,626.0
3,155,1998,Rabi,Linseed,1144.0,630.0
3,155,1999,Rabi,Linseed,1140.0,627.0
3,155,2000,Rabi,Linseed,1138.0,626.0
3,155,2001,Rabi,Linseed,868.0,477.0
3,155,2002,Rabi,Linseed,959.0,528.0
3,155,2003,Rabi,Linseed,897.0,494.0
3,155,2004,Rabi,Linseed,883.0,486.0
3,155,2005,Rabi,Linseed,667.0,367.0
3,155,2006,Rabi,Linseed,646.0,355.0
3,155,2007,Rabi,Linseed,420.0,230.0
3,155,2008,Rabi,Linseed,381.0,209.0
3,155,2009,Rabi,Linseed,459.0,252.0
3,155,2010,Rabi,Linseed,305.0,167.0
3,155,2011,Rabi,Linseed,290.0,186.0
3,155,2012,Rabi,Linseed,285.0,197.0
3,155,2013,Rabi,Linseed,280.0,191.0
3,155,2014,Rabi,Linseed,286.0,232.0
3,158,1997,Rabi,Linseed,18.0,6.0
3,158,1998,Rabi,Linseed,15.0,6.0
3,158,1999,Rabi,Linseed,15.0,6.0
3,158,2000,Rabi,Linseed,2.0,1.0
3,158,2001,Rabi,Linseed,2.0,1.0
3,158,2002,Rabi,Linseed,2.0,1.0
3,158,2003,Rabi,Linseed,2.0,1.0
3,158,2004,Rabi,Linseed,1.0,1.0
3,158,2005,Rabi,Linseed,8.0,3.0
3,158,2006,Rabi,Linseed,4.0,2.0
3,158,2007,Rabi,Linseed,4.0,2.0
3,158,2008,Rabi,Linseed,4.0,1.0
3,158,2009,Rabi,Linseed,6.0,2.0
3,158,2010,Rabi,Linseed,8.0,3.0
3,158,2011,Rabi,Linseed,8.0,3.0
3,158,2012,Rabi,Linseed,8.0,3.0
