State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2010,Rabi,Maize,3.84,18.22
0,429,2010,Rabi,Maize,86.7,96.4
0,559,2010,Rabi,Maize,73.0,253.0
1,24,1997,Kharif,Maize,2800.0,4900.0
1,24,1997,Rabi,Maize,600.0,2400.0
1,24,1998,Kharif,Maize,3300.0,6700.0
1,24,1998,Rabi,Maize,300.0,1600.0
1,24,1999,Kharif,Maize,3358.0,9540.0
1,24,1999,Rabi,Maize,455.0,2203.0
1,24,2000,Kharif,Maize,3475.0,9049.0
1,24,2000,Rabi,Maize,399.0,2148.0
1,24,2001,Kharif,Maize,2667.0,7129.0
1,24,2001,Rabi,Maize,447.0,2893.0
1,24,2002,Kharif,Maize,3541.0,3431.0
1,24,2002,Rabi,Maize,1288.0,8933.0
1,24,2003,Kharif,Maize,6246.0,10718.0
1,24,2003,Rabi,Maize,1212.0,6787.0
1,24,2004,Kharif,Maize,3495.0,10031.0
1,24,2004,Rabi,Maize,3572.0,25822.0
1,24,2005,Kharif,Maize,5958.0,21538.0
1,24,2005,Rabi,Maize,1435.0,10721.0
1,24,2006,Kharif,Maize,4877.0,20181.0
1,24,2006,Rabi,Maize,3120.0,23640.0
1,24,2007,Kharif,Maize,7000.0,32000.0
1,24,2007,Rabi,Maize,6000.0,48000.0
1,24,2008,Kharif,Maize,6041.0,20896.0
1,24,2008,Rabi,Maize,3658.0,32300.0
1,24,2009,Kharif,Maize,8852.0,43924.0
1,24,2009,Rabi,Maize,4615.0,33736.0
1,24,2010,Kharif,Maize,10726.0,51174.0
1,24,2010,Rabi,Maize,4750.0,43306.0
1,24,2011,Kharif,Maize,25447.0,63465.0
1,24,2011,Rabi,Maize,6208.0,48168.0
1,24,2012,Kharif,Maize,22039.0,63516.0
1,24,2012,Rabi,Maize,7070.0,50098.0
1,24,2013,Kharif,Maize,27087.0,53226.0
1,24,2013,Rabi,Maize,7777.0,57970.0
1,24,2014,Kharif,Maize,16839.0,42687.0
1,24,2014,Rabi,Maize,4474.0,31618.0
1,122,1997,Kharif,Maize,100.0,300.0
1,122,1998,Kharif,Maize,100.0,300.0
1,122,1998,Rabi,Maize,100.0,300.0
1,122,1999,Kharif,Maize,181.0,514.0
1,122,1999,Rabi,Maize,67.0,324.0
1,122,2000,Kharif,Maize,357.0,930.0
1,122,2000,Rabi,Maize,56.0,302.0
1,122,2001,Kharif,Maize,294.0,786.0
1,122,2001,Rabi,Maize,81.0,524.0
1,122,2002,Kharif,Maize,261.0,253.0
1,122,2002,Rabi,Maize,284.0,1968.0
1,122,2003,Kharif,Maize,742.0,1273.0
1,122,2003,Rabi,Maize,392.0,2195.0
1,122,2004,Kharif,Maize,509.0,1461.0
1,122,2004,Rabi,Maize,354.0,2559.0
1,122,2005,Kharif,Maize,417.0,2150.0
1,122,2005,Rabi,Maize,356.0,2660.0
1,122,2006,Kharif,Maize,386.0,1378.0
1,122,2006,Rabi,Maize,788.0,5971.0
1,122,2007,Kharif,Maize,1000.0,3000.0
1,122,2007,Rabi,Maize,1000.0,4000.0
1,122,2008,Kharif,Maize,843.0,3937.0
1,122,2008,Rabi,Maize,957.0,8450.0
1,122,2009,Kharif,Maize,1326.0,4915.0
1,122,2009,Rabi,Maize,611.0,4466.0
1,122,2010,Kharif,Maize,970.0,4969.0
1,122,2010,Rabi,Maize,539.0,4914.0
1,122,2011,Kharif,Maize,930.0,3084.0
1,122,2011,Rabi,Maize,877.0,6805.0
1,122,2012,Kharif,Maize,1078.0,4375.0
1,122,2012,Rabi,Maize,547.0,3876.0
1,122,2013,Kharif,Maize,1905.0,7683.0
1,122,2013,Rabi,Maize,1303.0,9713.0
1,122,2014,Kharif,Maize,2693.0,8820.0
1,122,2014,Rabi,Maize,984.0,6429.0
1,172,1997,Kharif,Maize,1600.0,2900.0
1,172,1997,Rabi,Maize,3600.0,13700.0
1,172,1998,Kharif,Maize,1700.0,3600.0
1,172,1998,Rabi,Maize,3800.0,18700.0
1,172,1999,Kharif,Maize,1522.0,4324.0
1,172,1999,Rabi,Maize,4266.0,20652.0
1,172,2000,Kharif,Maize,1406.0,3661.0
1,172,2000,Rabi,Maize,4108.0,22117.0
1,172,2001,Kharif,Maize,1204.0,3218.0
1,172,2001,Rabi,Maize,2597.0,16810.0
1,172,2002,Kharif,Maize,1423.0,1379.0
1,172,2002,Rabi,Maize,5975.0,41407.0
1,172,2003,Kharif,Maize,2116.0,3631.0
1,172,2003,Rabi,Maize,6392.0,35795.0
1,172,2004,Kharif,Maize,1881.0,5556.0
1,172,2004,Rabi,Maize,6094.0,41080.0
1,172,2005,Kharif,Maize,1763.0,6308.0
1,172,2005,Rabi,Maize,7838.0,59349.0
1,172,2006,Kharif,Maize,1735.0,4757.0
1,172,2006,Rabi,Maize,6191.0,61867.0
1,172,2007,Kharif,Maize,2000.0,6000.0
1,172,2007,Rabi,Maize,6000.0,49000.0
1,172,2008,Kharif,Maize,1602.0,5154.0
1,172,2008,Rabi,Maize,6581.0,49107.0
1,172,2009,Kharif,Maize,983.0,3547.0
1,172,2009,Rabi,Maize,8005.0,59821.0
1,172,2010,Kharif,Maize,469.0,1399.0
1,172,2010,Rabi,Maize,7463.0,54704.0
1,172,2011,Kharif,Maize,468.0,1727.0
1,172,2011,Rabi,Maize,8067.0,54017.0
1,172,2012,Kharif,Maize,495.0,1938.0
1,172,2012,Rabi,Maize,9485.0,71659.0
1,172,2013,Kharif,Maize,513.0,1626.0
1,172,2013,Rabi,Maize,10684.0,92096.0
1,172,2014,Kharif,Maize,755.0,2500.0
1,172,2014,Rabi,Maize,12156.0,98257.0
1,217,1997,Kharif,Maize,1700.0,3100.0
1,217,1997,Rabi,Maize,5000.0,19000.0
1,217,1998,Kharif,Maize,2300.0,4700.0
1,217,1998,Rabi,Maize,2800.0,14100.0
1,217,1999,Kharif,Maize,3853.0,10946.0
1,217,1999,Rabi,Maize,3755.0,18178.0
1,217,2000,Kharif,Maize,5281.0,13752.0
1,217,2000,Rabi,Maize,4516.0,24314.0
1,217,2001,Kharif,Maize,2549.0,6814.0
1,217,2001,Rabi,Maize,4369.0,28281.0
1,217,2002,Kharif,Maize,2327.0,2255.0
1,217,2002,Rabi,Maize,6450.0,44699.0
1,217,2003,Kharif,Maize,3891.0,6677.0
1,217,2003,Rabi,Maize,22949.0,128514.0
1,217,2004,Kharif,Maize,2749.0,8121.0
1,217,2004,Rabi,Maize,32788.0,279714.0
1,217,2005,Kharif,Maize,1617.0,5786.0
1,217,2005,Rabi,Maize,22565.0,237023.0
1,217,2006,Kharif,Maize,1132.0,3104.0
1,217,2006,Rabi,Maize,34010.0,280276.0
1,217,2007,Kharif,Maize,1000.0,3000.0
1,217,2007,Rabi,Maize,58000.0,517000.0
1,217,2008,Kharif,Maize,784.0,2522.0
1,217,2008,Rabi,Maize,95547.0,950884.0
1,217,2009,Kharif,Maize,530.0,1912.0
1,217,2009,Rabi,Maize,68798.0,529745.0
1,217,2010,Kharif,Maize,269.0,802.0
1,217,2010,Rabi,Maize,80083.0,904377.0
1,217,2011,Kharif,Maize,792.0,2922.0
1,217,2011,Rabi,Maize,70965.0,627331.0
1,217,2012,Kharif,Maize,1103.0,4319.0
1,217,2012,Rabi,Maize,82043.0,662579.0
1,217,2013,Kharif,Maize,1530.0,4850.0
1,217,2013,Rabi,Maize,85535.0,643394.0
1,217,2014,Kharif,Maize,367.0,1215.0
1,217,2014,Rabi,Maize,63701.0,611020.0
1,274,1997,Kharif,Maize,200.0,100.0
1,274,1998,Kharif,Maize,100.0,100.0
1,274,1999,Kharif,Maize,104.0,295.0
1,274,1999,Rabi,Maize,11.0,53.0
1,274,2000,Kharif,Maize,104.0,271.0
1,274,2000,Rabi,Maize,51.0,275.0
1,274,2001,Kharif,Maize,53.0,142.0
1,274,2001,Rabi,Maize,31.0,201.0
1,274,2002,Kharif,Maize,136.0,132.0
1,274,2002,Rabi,Maize,25.0,173.0
1,274,2003,Kharif,Maize,68.0,117.0
1,274,2003,Rabi,Maize,4.0,22.0
1,274,2004,Kharif,Maize,125.0,359.0
1,274,2005,Kharif,Maize,156.0,804.0
1,274,2005,Rabi,Maize,1.0,7.0
1,274,2006,Kharif,Maize,123.0,439.0
1,274,2006,Rabi,Maize,35.0,265.0
1,274,2008,Kharif,Maize,623.0,2909.0
1,274,2008,Rabi,Maize,1398.0,12344.0
1,274,2009,Kharif,Maize,559.0,2072.0
1,274,2009,Rabi,Maize,840.0,6140.0
1,274,2010,Kharif,Maize,426.0,2182.0
1,274,2010,Rabi,Maize,987.0,8998.0
1,274,2011,Kharif,Maize,574.0,1903.0
1,274,2011,Rabi,Maize,1014.0,7868.0
1,274,2012,Kharif,Maize,497.0,2017.0
1,274,2012,Rabi,Maize,2201.0,15596.0
1,274,2013,Kharif,Maize,1125.0,4537.0
1,274,2013,Rabi,Maize,4364.0,32529.0
1,274,2014,Kharif,Maize,408.0,1336.0
1,274,2014,Rabi,Maize,2945.0,19243.0
1,335,1997,Kharif,Maize,5900.0,10500.0
1,335,1997,Rabi,Maize,2200.0,8200.0
1,335,1998,Kharif,Maize,3000.0,6200.0
1,335,1998,Rabi,Maize,1700.0,8600.0
1,335,1999,Kharif,Maize,5147.0,14623.0
1,335,1999,Rabi,Maize,2301.0,11139.0
1,335,2000,Kharif,Maize,7375.0,19205.0
1,335,2000,Rabi,Maize,3009.0,16200.0
1,335,2001,Kharif,Maize,4512.0,12061.0
1,335,2001,Rabi,Maize,2707.0,17522.0
