State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,2000,Whole Year,Potato,4.0,34.0
1,24,2002,Whole Year,Potato,2.0,17.0
1,24,2004,Whole Year,Potato,2.0,20.0
1,24,2010,Whole Year,Potato,21.0,236.0
1,24,2011,Whole Year,Potato,18.0,181.0
1,24,2012,Rabi,Potato,36.0,634.0
1,24,2013,Whole Year,Potato,82.0,1179.0
1,24,2014,Kharif,Potato,15.0,281.0
1,24,2014,Rabi,Potato,77.0,1442.0
1,122,2000,Whole Year,Potato,957.0,8177.0
1,122,2001,Whole Year,Potato,1024.0,9447.0
1,122,2002,Whole Year,Potato,1126.0,9776.0
1,122,2003,Whole Year,Potato,1291.0,12045.0
1,122,2004,Whole Year,Potato,1892.0,18727.0
1,122,2005,Whole Year,Potato,1312.0,12841.0
1,122,2006,Whole Year,Potato,1429.0,12086.0
1,122,2008,Whole Year,Potato,1374.0,12392.0
1,122,2009,Whole Year,Potato,1402.0,12099.0
1,122,2010,Whole Year,Potato,1138.0,10817.0
1,122,2011,Whole Year,Potato,1151.0,15206.0
1,122,2012,Kharif,Potato,240.0,3618.0
1,122,2012,Rabi,Potato,845.0,12739.0
1,122,2013,Whole Year,Potato,1297.0,22926.0
1,122,2014,Kharif,Potato,302.0,5186.0
1,122,2014,Rabi,Potato,920.0,15799.0
1,274,2010,Whole Year,Potato,1.0,11.0
1,274,2012,Rabi,Potato,1.0,18.0
1,274,2014,Rabi,Potato,3.0,52.0
1,340,2002,Whole Year,Potato,1.0,5.0
1,340,2004,Whole Year,Potato,142.0,1406.0
1,340,2008,Whole Year,Potato,15.0,135.0
1,340,2009,Whole Year,Potato,8.0,69.0
1,340,2010,Whole Year,Potato,14.0,157.0
1,340,2011,Whole Year,Potato,32.0,321.0
1,340,2012,Rabi,Potato,25.0,440.0
1,340,2013,Whole Year,Potato,17.0,244.0
1,340,2014,Rabi,Potato,7.0,121.0
1,566,2013,Whole Year,Potato,9.0,129.0
1,567,2000,Whole Year,Potato,7.0,60.0
1,567,2001,Whole Year,Potato,8.0,52.0
1,567,2014,Kharif,Potato,10.0,173.0
1,625,2000,Whole Year,Potato,136.0,1163.0
1,625,2001,Whole Year,Potato,173.0,1117.0
1,625,2002,Whole Year,Potato,161.0,1398.0
1,625,2003,Whole Year,Potato,201.0,1875.0
1,625,2004,Whole Year,Potato,181.0,1791.0
1,625,2005,Whole Year,Potato,138.0,1351.0
1,625,2006,Whole Year,Potato,134.0,1134.0
1,625,2008,Whole Year,Potato,95.0,857.0
1,625,2009,Whole Year,Potato,36.0,311.0
1,625,2010,Whole Year,Potato,96.0,1076.0
