State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Sugarcane,1.0,2.0
0,427,2001,Whole Year,Sugarcane,1.0,1.0
0,427,2002,Whole Year,Sugarcane,5.0,40.0
0,427,2006,Whole Year,Sugarcane,0.2,0.5
0,427,2010,Autumn,Sugarcane,13.4,41.75
0,429,2000,Whole Year,Sugarcane,141.0,3736.0
0,429,2001,Whole Year,Sugarcane,81.0,2379.0
0,429,2006,Whole Year,Sugarcane,71.3,1500.0
0,429,2010,Autumn,Sugarcane,73.33,889.2
0,559,2002,Whole Year,Sugarcane,455.0,13760.0
0,559,2003,Whole Year,Sugarcane,268.0,2879.52
0,559,2004,Whole Year,Sugarcane,145.26,1560.0
0,559,2005,Whole Year,Sugarcane,128.02,2448.2
0,559,2006,Whole Year,Sugarcane,53.5,999.5
0,559,2010,Autumn,Sugarcane,67.5,402.0
1,24,1997,Kharif,Sugarcane,700.0,72900.0
1,24,1998,Whole Year,Sugarcane,700.0,65900.0
1,24,1999,Whole Year,Sugarcane,884.0,83126.0
1,24,2000,Whole Year,Sugarcane,284.0,25395.0
1,24,2001,Whole Year,Sugarcane,490.0,42470.0
1,24,2002,Whole Year,Sugarcane,329.0,22481.0
1,24,2003,Whole Year,Sugarcane,454.0,32386.0
1,24,2004,Whole Year,Sugarcane,400.0,34072.0
1,24,2005,Whole Year,Sugarcane,227.0,20612.0
1,24,2006,Whole Year,Sugarcane,339.0,30937.0
1,24,2008,Whole Year,Sugarcane,131.0,12305.0
1,24,2009,Whole Year,Sugarcane,112.0,9968.0
1,24,2010,Whole Year,Sugarcane,235.0,20981.0
1,24,2011,Whole Year,Sugarcane,410.0,39186.0
1,24,2012,Kharif,Sugarcane,76.0,6954.0
1,24,2013,Kharif,Sugarcane,281.0,26505.0
1,24,2014,Kharif,Sugarcane,30.0,2456.0
1,122,1997,Kharif,Sugarcane,29600.0,2775100.0
1,122,1998,Whole Year,Sugarcane,34500.0,3377000.0
