State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,24,1997,Rabi,Wheat,300.0,200.0
1,24,1998,Rabi,Wheat,400.0,200.0
1,24,1999,Rabi,Wheat,439.0,294.0
1,24,2000,Rabi,Wheat,520.0,297.0
1,24,2001,Rabi,Wheat,307.0,213.0
1,24,2002,Rabi,Wheat,362.0,333.0
1,24,2003,Rabi,Wheat,414.0,123.0
1,24,2004,Rabi,Wheat,393.0,88.0
1,24,2005,Rabi,Wheat,297.0,175.0
1,24,2006,Rabi,Wheat,190.0,50.0
1,24,2008,Rabi,Wheat,164.0,217.0
1,24,2009,Rabi,Wheat,179.0,97.0
1,24,2010,Rabi,Wheat,131.0,171.0
1,24,2011,Rabi,Wheat,75.0,100.0
1,24,2012,Rabi,Wheat,134.0,151.0
1,24,2013,Rabi,Wheat,62.0,39.0
1,24,2013,Whole Year,Wheat,62.0,39.0
1,122,2000,Rabi,Wheat,5.0,3.0
1,122,2001,Rabi,Wheat,4.0,
1,122,2002,Rabi,Wheat,5.0,7.0
1,122,2003,Rabi,Wheat,7.0,2.0
1,122,2004,Rabi,Wheat,2.0,
1,122,2006,Rabi,Wheat,4.0,1.0
1,217,2010,Rabi,Wheat,43.0,56.0
1,274,1998,Rabi,Wheat,100.0,
1,274,1999,Rabi,Wheat,163.0,109.0
1,274,2000,Rabi,Wheat,117.0,67.0
1,274,2001,Rabi,Wheat,39.0,27.0
1,274,2002,Rabi,Wheat,30.0,28.0
1,274,2003,Rabi,Wheat,39.0,12.0
1,274,2004,Rabi,Wheat,1.0,
1,274,2005,Rabi,Wheat,81.0,48.0
1,274,2006,Rabi,Wheat,32.0,8.0
1,274,2008,Rabi,Wheat,122.0,83.0
1,274,2009,Rabi,Wheat,61.0,79.0
1,274,2010,Rabi,Wheat,20.0,26.0
1,274,2011,Rabi,Wheat,17.0,22.0
1,274,2012,Rabi,Wheat,2.0,2.0
1,274,2013,Rabi,Wheat,12.0,8.0
1,274,2013,Whole Year,Wheat,12.0,8.0
1,274,2014,Rabi,Wheat,274.0,195.0
1,340,1997,Rabi,Wheat,600.0,300.0
1,340,1998,Rabi,Wheat,700.0,400.0
1,340,1999,Rabi,Wheat,789.0,529.0
1,340,2000,Rabi,Wheat,850.0,484.0
1,340,2001,Rabi,Wheat,1264.0,876.0
1,340,2002,Rabi,Wheat,941.0,867.0
1,340,2003,Rabi,Wheat,694.0,206.0
1,340,2004,Rabi,Wheat,393.0,88.0
1,340,2005,Rabi,Wheat,711.0,418.0
1,340,2006,Rabi,Wheat,670.0,176.0
1,340,2008,Rabi,Wheat,747.0,405.0
1,340,2009,Rabi,Wheat,550.0,251.0
1,340,2010,Rabi,Wheat,563.0,808.0
1,340,2011,Rabi,Wheat,221.0,243.0
1,340,2012,Rabi,Wheat,314.0,421.0
1,340,2013,Rabi,Wheat,274.0,202.0
1,340,2013,Whole Year,Wheat,274.0,202.0
1,340,2014,Rabi,Wheat,46.0,61.0
1,463,2001,Rabi,Wheat,15.0,10.0
1,463,2002,Rabi,Wheat,73.0,67.0
1,567,1999,Rabi,Wheat,5.0,3.0
2,26,2004,Rabi,Wheat,30.0,60.0
2,26,2005,Rabi,Wheat,32.0,65.0
2,26,2006,Rabi,Wheat,34.0,73.0
2,26,2007,Rabi,Wheat,30.0,48.0
2,26,2008,Rabi,Wheat,30.0,49.0
2,26,2009,Rabi,Wheat,25.0,37.0
2,26,2010,Rabi,Wheat,10.0,15.0
2,26,2011,Rabi,Wheat,10.0,16.0
2,26,2012,Rabi,Wheat,13.0,20.0
2,26,2013,Rabi,Wheat,13.0,20.0
2,113,1997,Rabi,Wheat,240.0,260.0
2,113,1998,Rabi,Wheat,225.0,230.0
2,113,1999,Rabi,Wheat,225.0,235.0
2,113,2000,Rabi,Wheat,225.0,235.0
2,113,2001,Rabi,Wheat,200.0,220.0
2,113,2002,Rabi,Wheat,200.0,320.0
2,113,2003,Rabi,Wheat,205.0,392.0
2,113,2004,Rabi,Wheat,210.0,401.0
2,113,2005,Rabi,Wheat,160.0,240.0
2,113,2006,Rabi,Wheat,170.0,283.0
2,113,2007,Rabi,Wheat,268.0,482.0
2,113,2008,Rabi,Wheat,274.0,548.0
2,113,2009,Rabi,Wheat,285.0,576.0
2,113,2010,Rabi,Wheat,280.0,574.0
2,113,2011,Rabi,Wheat,280.0,635.0
2,113,2012,Rabi,Wheat,297.0,613.0
2,113,2013,Rabi,Wheat,280.0,521.0
2,113,2014,Rabi,Wheat,373.0,858.0
2,157,1997,Rabi,Wheat,196.0,294.0
2,157,1998,Rabi,Wheat,100.0,140.0
2,157,1999,Rabi,Wheat,131.0,350.0
2,157,2000,Rabi,Wheat,170.0,250.0
2,157,2001,Rabi,Wheat,15.0,25.0
2,174,1997,Rabi,Wheat,19.0,81.0
2,174,1998,Rabi,Wheat,5.0,6.0
2,174,1999,Rabi,Wheat,15.0,19.0
2,174,2000,Rabi,Wheat,12.0,17.0
2,174,2001,Rabi,Wheat,470.0,795.0
2,174,2002,Rabi,Wheat,16.0,28.0
2,174,2003,Rabi,Wheat,16.0,28.0
2,174,2004,Rabi,Wheat,20.0,32.0
